case,detective,believed_murderer
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
1,holmes,Wilson
2,holmes,Hook
2,holmes,William
2,holmes,William
2,holmes,Hook
2,holmes,William
2,holmes,William
2,holmes,William
2,holmes,William
2,holmes,Hook
2,holmes,William
2,holmes,William
2,holmes,William
2,holmes,William
2,holmes,William
2,holmes,William
2,holmes,William
2,holmes,William
2,holmes,William
2,holmes,William
2,holmes,William
2,holmes,William
2,holmes,William
2,holmes,William
2,holmes,William
2,holmes,William
2,holmes,William
2,holmes,William
2,holmes,Hook
2,holmes,William
2,holmes,William
2,holmes,William
2,holmes,William
2,holmes,Hook
2,holmes,William
2,holmes,Hook
2,holmes,William
2,holmes,Hook
2,holmes,William
2,holmes,William
2,holmes,William
2,holmes,Hook
2,holmes,William
2,holmes,William
2,holmes,Hook
2,holmes,Hook
2,holmes,Hook
2,holmes,William
2,holmes,William
2,holmes,William
2,holmes,William
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
3,holmes,John Saar
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Wilson
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Wilson
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
1,marple,Zack
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
2,marple,William
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
