case,believed_murderer
1,Zack
1,Zack
1,Wilson
1,Zack
1,Zack
1,Zack
1,Wilson
1,Wilson
1,Zack
1,Zack
1,Zack
1,Wilson
1,Zack
1,Zack
1,Zack
1,Zack
1,Zack
1,Zack
1,Wilson
1,Zack
1,Zack
1,Zack
1,Wilson
1,Zack
1,Wilson
1,Zack
1,Wilson
1,Wilson
1,Wilson
1,Wilson
1,Wilson
1,Wilson
1,Zack
1,Zack
1,Zack
1,Zack
1,Zack
1,Wilson
1,Zack
1,Zack
1,Zack
1,Wilson
1,Zack
1,Wilson
1,Zack
1,Zack
1,Zack
1,Wilson
1,Zack
1,Zack
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
2,William
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
3,John Saar
