case,run_id,character,slope,r2,p_value,std_err,n_turns
case1,run_20260115_184344,holmes,0.11137468379291589,0.38038466487033484,0.14015971226311574,0.0635698315586862,7
case1,run_20260115_184344,marple,0.01143282121196284,0.003874861429852605,0.8945284807121668,0.08197799115393095,7
case1,run_20260115_184344,poirot,0.09358295822319737,0.28464298988085623,0.21746635026703617,0.06634725198196657,7
case1,run_20260115_184527,holmes,0.1610329963683326,0.14775226159491606,0.5229194352064102,0.22329042830021356,5
case1,run_20260115_184527,marple,-0.041496906621198405,0.24290711232024864,0.3988981612483821,0.042296999854408726,5
case1,run_20260115_184527,poirot,0.07767290716964868,0.07327140921348607,0.6596070445984932,0.15948430191311538,5
case1,run_20260115_184643,holmes,0.305483803566765,0.9135664806299147,0.011078174404735136,0.05424985504292971,5
case1,run_20260115_184643,marple,0.3090926730327542,0.5628926363996862,0.14407325664174725,0.15725677344319988,5
case1,run_20260115_184643,poirot,0.1985817099317777,0.26204214375636903,0.3779326240152621,0.19240166545509052,5
case1,run_20260115_184824,holmes,0.028762587410541957,0.12057534504325884,0.5000748564385539,0.03883899805170459,6
case1,run_20260115_184824,marple,0.1334591329476457,0.3684982938230076,0.20128580859990258,0.08735501181506995,6
case1,run_20260115_184824,poirot,0.13264209292441909,0.1976464831829271,0.3770725477374114,0.13362561127126954,6
case1,run_20260115_184954,holmes,0.304912885440155,0.9439646150053582,0.0057272496207915555,0.042891227264098275,5
case1,run_20260115_184954,marple,-0.3734721595907849,0.6926202593991133,0.08037696436510745,0.14364404626778232,5
case1,run_20260115_184954,poirot,0.22336017641167866,0.43801843492366677,0.22370574827444056,0.14606963928161448,5
case1,run_20260115_190417,holmes,0.03983645137167713,0.0769668589760173,0.5058953468710718,0.056319888315023284,8
case1,run_20260115_190417,marple,0.01139047742969628,0.0034970744785864927,0.8893781062879687,0.07849701655545582,8
case1,run_20260115_190417,poirot,0.1390572651251495,0.6259480967054531,0.019350989443324217,0.0438848715377462,8
case1,run_20260122_141750,holmes,0.05182999261352435,0.12208943582558329,0.49721033602366516,0.06949238953203735,6
case1,run_20260122_141750,marple,0.37410731632478267,0.9770332693157275,0.00019933567146787233,0.028678809471890984,6
case1,run_20260122_141750,poirot,0.16627579095273487,0.3445816417065378,0.220620415115261,0.11466008509271694,6
case2,run_20260115_190823,holmes,0.2570090200928338,0.6456421478573274,0.1014105748004042,0.10992914038757653,5
case2,run_20260115_190823,marple,-0.09121774564550691,0.5542439630342502,0.14896797262566355,0.047229879621543056,5
case2,run_20260115_190823,poirot,-0.08760957791107837,0.11737089201877937,0.5724851857066526,0.13870747976228612,5
case2,run_20260115_191951,holmes,0.2050703826119321,0.7562709896761889,0.05538323992029646,0.06721360760027777,5
case2,run_20260115_191951,marple,0.4591201580943425,0.45277468988166913,0.21322255015961683,0.29141221440086407,5
case2,run_20260115_191951,poirot,0.08176893938367323,0.5436893203883495,0.15505859426755136,0.04324965552111293,5
case2,run_20260115_192338,holmes,0.03618655190553775,0.055028541788121554,0.5434895989902504,0.05667787068952101,9
case2,run_20260115_192338,marple,0.09096714744318403,0.25653844170436535,0.16409364105147214,0.05853135645071328,9
case2,run_20260115_192338,poirot,0.09724663148129702,0.49022225351374693,0.03570954193217615,0.03748171657110841,9
case3,run_20260115_193111,holmes,-0.02615145866517167,0.05504446880745595,0.7040417519064108,0.06255818407472587,5
case3,run_20260115_193111,marple,0.034146026019728874,0.006598278261766066,0.8966888738831426,0.24189488243027218,5
case3,run_20260115_193111,poirot,0.06421707180900926,0.021795780026054756,0.8127117180830508,0.24838103312471008,5
case3,run_20260115_195239,holmes,0.11646303724543264,0.1675169344633608,0.4938168165853534,0.1498945456306258,5
case3,run_20260115_195239,marple,-0.12578412994009977,0.1325782393060302,0.5468549779777458,0.18575660096821495,5
case3,run_20260115_195239,poirot,0.0578223214213117,0.016675148321842137,0.8360417561396332,0.2563589894856963,5
case3,run_20260116_151430,holmes,0.15063595645494857,0.7804293574060936,0.008362672327469019,0.035732547908218226,7
case3,run_20260116_151430,marple,0.04794374747127739,0.04621375510813308,0.6434231550892924,0.0974062610356759,7
case3,run_20260116_151430,poirot,0.11650936075447309,0.44135503502523754,0.10357796878432393,0.058620527074568496,7
