case,run_id,turn,character,distance
case1,run_20260115_184954,1,holmes,1.065
case1,run_20260115_184954,1,marple,0.916
case1,run_20260115_184954,1,poirot,0.467
case1,run_20260115_184954,2,holmes,0.941
case1,run_20260115_184954,2,marple,0.932
case1,run_20260115_184954,2,poirot,0.94
case1,run_20260115_184954,3,holmes,1.012
case1,run_20260115_184954,3,marple,0.732
case1,run_20260115_184954,3,poirot,0.896
case1,run_20260115_184954,4,holmes,1.063
case1,run_20260115_184954,4,marple,0.901
case1,run_20260115_184954,4,poirot,0.809
case1,run_20260115_184954,5,holmes,0.561
case1,run_20260115_184954,5,marple,0.886
case1,run_20260115_184954,5,poirot,0.98
case1,run_20260115_184643,1,holmes,0.908
case1,run_20260115_184643,1,marple,0.691
case1,run_20260115_184643,1,poirot,0.96
case1,run_20260115_184643,2,holmes,1.033
case1,run_20260115_184643,2,marple,0.696
case1,run_20260115_184643,2,poirot,0.995
case1,run_20260115_184643,3,holmes,1.063
case1,run_20260115_184643,3,marple,0.913
case1,run_20260115_184643,3,poirot,0.832
case1,run_20260115_184643,4,holmes,0.983
case1,run_20260115_184643,4,marple,0.914
case1,run_20260115_184643,4,poirot,0.518
case1,run_20260115_184643,5,holmes,1.068
case1,run_20260115_184643,5,marple,1.016
case1,run_20260115_184643,5,poirot,1.031
case1,run_20260115_185111,1,holmes,0.445
case1,run_20260115_185111,1,marple,0.852
case1,run_20260115_185111,1,poirot,0.692
case1,run_20260115_184527,1,holmes,1.093
case1,run_20260115_184527,1,marple,0.739
case1,run_20260115_184527,1,poirot,0.824
case1,run_20260115_184527,2,holmes,1.065
case1,run_20260115_184527,2,marple,0.972
case1,run_20260115_184527,2,poirot,0.345
case1,run_20260115_184527,3,holmes,1.044
case1,run_20260115_184527,3,marple,1.056
case1,run_20260115_184527,3,poirot,0.911
case1,run_20260115_184527,4,holmes,1.044
case1,run_20260115_184527,4,marple,1.035
case1,run_20260115_184527,4,poirot,1.03
case1,run_20260115_184527,5,holmes,1.073
case1,run_20260115_184527,5,marple,1.023
case1,run_20260115_184527,5,poirot,1.019
case1,run_20260115_184759,1,holmes,0.986
case1,run_20260115_184759,1,marple,0.739
case1,run_20260115_184759,1,poirot,0.832
case1,run_20260115_184759,2,holmes,1.084
case1,run_20260115_184759,2,marple,1.036
case1,run_20260115_184759,2,poirot,0.966
case1,run_20260115_190152,1,holmes,1.065
case1,run_20260115_190152,1,marple,0.793
case1,run_20260115_190152,1,poirot,1.009
case1,run_20260115_190152,2,holmes,0.98
case1,run_20260115_190152,2,marple,1.036
case1,run_20260115_190152,2,poirot,1.051
case1,run_20260115_190152,3,holmes,1.059
case1,run_20260115_190152,3,marple,1.048
case1,run_20260115_190152,3,poirot,0.95
case1,run_20260115_190152,4,holmes,1.023
case1,run_20260115_190152,4,marple,1.048
case1,run_20260115_190152,4,poirot,0.996
case1,run_20260115_190417,1,holmes,1.028
case1,run_20260115_190417,1,marple,1.009
case1,run_20260115_190417,1,poirot,0.822
case1,run_20260115_190417,2,holmes,1.069
case1,run_20260115_190417,2,marple,1.004
case1,run_20260115_190417,2,poirot,0.977
case1,run_20260115_190417,3,holmes,1.085
case1,run_20260115_190417,3,marple,0.975
case1,run_20260115_190417,3,poirot,1.057
case1,run_20260115_190417,4,holmes,1.092
case1,run_20260115_190417,4,marple,0.971
case1,run_20260115_190417,4,poirot,0.97
case1,run_20260115_190417,5,holmes,1.078
case1,run_20260115_190417,5,marple,1.02
case1,run_20260115_190417,5,poirot,1.041
case1,run_20260115_190417,6,holmes,1.104
case1,run_20260115_190417,6,marple,1.058
case1,run_20260115_190417,6,poirot,1.015
case1,run_20260115_190417,7,holmes,1.073
case1,run_20260115_190417,7,marple,1.038
case1,run_20260115_190417,7,poirot,1.034
case1,run_20260115_190417,8,holmes,1.009
case1,run_20260115_190417,8,marple,1.022
case1,run_20260115_190417,8,poirot,1.011
case1,run_20260115_184824,1,holmes,0.992
case1,run_20260115_184824,1,marple,0.927
case1,run_20260115_184824,1,poirot,0.49
case1,run_20260115_184824,2,holmes,1.069
case1,run_20260115_184824,2,marple,0.35
case1,run_20260115_184824,2,poirot,0.882
case1,run_20260115_184824,3,holmes,1.037
case1,run_20260115_184824,3,marple,0.988
case1,run_20260115_184824,3,poirot,0.824
case1,run_20260115_184824,4,holmes,1.062
case1,run_20260115_184824,4,marple,1.019
case1,run_20260115_184824,4,poirot,1.01
case1,run_20260115_184824,5,holmes,1.046
case1,run_20260115_184824,5,marple,0.955
case1,run_20260115_184824,5,poirot,0.871
case1,run_20260115_184824,6,holmes,1.02
case1,run_20260115_184824,6,marple,0.99
case1,run_20260115_184824,6,poirot,1.022
case1,run_20260122_141750,1,holmes,1.04
case1,run_20260122_141750,1,marple,0.935
case1,run_20260122_141750,1,poirot,0.959
case1,run_20260122_141750,2,holmes,0.957
case1,run_20260122_141750,2,marple,0.942
case1,run_20260122_141750,2,poirot,1.027
case1,run_20260122_141750,3,holmes,0.765
case1,run_20260122_141750,3,marple,0.918
case1,run_20260122_141750,3,poirot,0.931
case1,run_20260122_141750,4,holmes,1.042
case1,run_20260122_141750,4,marple,0.412
case1,run_20260122_141750,4,poirot,1.025
case1,run_20260122_141750,5,holmes,1.06
case1,run_20260122_141750,5,marple,0.909
case1,run_20260122_141750,5,poirot,1.017
case1,run_20260122_141750,6,holmes,1.044
case1,run_20260122_141750,6,marple,1.057
case1,run_20260122_141750,6,poirot,1.018
case1,run_20260115_184344,1,holmes,0.574
case1,run_20260115_184344,1,marple,0.974
case1,run_20260115_184344,1,poirot,0.994
case1,run_20260115_184344,2,holmes,1.039
case1,run_20260115_184344,2,marple,0.188
case1,run_20260115_184344,2,poirot,0.705
case1,run_20260115_184344,3,holmes,0.981
case1,run_20260115_184344,3,marple,0.807
case1,run_20260115_184344,3,poirot,0.968
case1,run_20260115_184344,4,holmes,1.007
case1,run_20260115_184344,4,marple,0.917
case1,run_20260115_184344,4,poirot,0.996
case1,run_20260115_184344,5,holmes,1.049
case1,run_20260115_184344,5,marple,0.228
case1,run_20260115_184344,5,poirot,1.03
case1,run_20260115_184344,6,holmes,1.002
case1,run_20260115_184344,6,marple,1.037
case1,run_20260115_184344,6,poirot,0.967
case1,run_20260115_184344,7,holmes,0.995
case1,run_20260115_184344,7,marple,0.92
case1,run_20260115_184344,7,poirot,0.948
case2,run_20260115_191025,1,holmes,0.99
case2,run_20260115_191025,1,marple,0.66
case2,run_20260115_191025,1,poirot,0.967
case2,run_20260115_191025,2,holmes,1.056
case2,run_20260115_191025,2,marple,0.542
case2,run_20260115_191025,2,poirot,0.958
case2,run_20260115_191025,3,holmes,1.067
case2,run_20260115_191025,3,marple,0.535
case2,run_20260115_191025,3,poirot,0.881
case2,run_20260115_191025,4,holmes,1.041
case2,run_20260115_191025,4,marple,1.019
case2,run_20260115_191025,4,poirot,0.875
case2,run_20260115_191449,1,holmes,0.145
case2,run_20260115_191449,1,marple,0.842
case2,run_20260115_191449,1,poirot,0.958
case2,run_20260115_191348,1,holmes,0.947
case2,run_20260115_191348,1,marple,0.903
case2,run_20260115_191348,1,poirot,0.848
case2,run_20260115_191348,2,holmes,0.45
case2,run_20260115_191348,2,marple,0.502
case2,run_20260115_191348,2,poirot,0.095
case2,run_20260115_191348,3,holmes,0.96
case2,run_20260115_191348,3,marple,1.013
case2,run_20260115_191348,3,poirot,0.936
case2,run_20260115_191348,4,holmes,1.038
case2,run_20260115_191348,4,marple,1.027
case2,run_20260115_191348,4,poirot,1.019
case2,run_20260115_191251,1,holmes,0.544
case2,run_20260115_191251,1,marple,0.742
case2,run_20260115_191251,1,poirot,0.621
case2,run_20260115_191251,2,holmes,0.619
case2,run_20260115_191251,2,marple,0.926
case2,run_20260115_191251,2,poirot,0.92
case2,run_20260115_191251,3,holmes,0.257
case2,run_20260115_191251,3,marple,0.63
case2,run_20260115_191251,3,poirot,0.487
case2,run_20260115_191251,4,holmes,0.153
case2,run_20260115_191251,4,marple,0.99
case2,run_20260115_191251,4,poirot,0.91
case2,run_20260115_190940,1,holmes,1.074
case2,run_20260115_190940,1,marple,1.041
case2,run_20260115_190940,1,poirot,1.019
case2,run_20260115_190940,2,holmes,0.761
case2,run_20260115_190940,2,marple,0.979
case2,run_20260115_190940,2,poirot,0.962
case2,run_20260115_190940,3,holmes,1.036
case2,run_20260115_190940,3,marple,0.961
case2,run_20260115_190940,3,poirot,1.013
case2,run_20260115_190823,1,holmes,0.597
case2,run_20260115_190823,1,marple,0.816
case2,run_20260115_190823,1,poirot,0.98
case2,run_20260115_190823,2,holmes,1.038
case2,run_20260115_190823,2,marple,0.914
case2,run_20260115_190823,2,poirot,0.957
case2,run_20260115_190823,3,holmes,1.07
case2,run_20260115_190823,3,marple,0.95
case2,run_20260115_190823,3,poirot,0.961
case2,run_20260115_190823,4,holmes,1.061
case2,run_20260115_190823,4,marple,0.998
case2,run_20260115_190823,4,poirot,1.016
case2,run_20260115_190823,5,holmes,1.068
case2,run_20260115_190823,5,marple,1.044
case2,run_20260115_190823,5,poirot,1.018
case2,run_20260115_191951,1,holmes,0.833
case2,run_20260115_191951,1,marple,0.726
case2,run_20260115_191951,1,poirot,0.044
case2,run_20260115_191951,2,holmes,1.011
case2,run_20260115_191951,2,marple,0.675
case2,run_20260115_191951,2,poirot,0.48
case2,run_20260115_191951,3,holmes,1.073
case2,run_20260115_191951,3,marple,1.0
case2,run_20260115_191951,3,poirot,1.023
case2,run_20260115_191951,4,holmes,1.008
case2,run_20260115_191951,4,marple,0.874
case2,run_20260115_191951,4,poirot,1.032
case2,run_20260115_191951,5,holmes,1.079
case2,run_20260115_191951,5,marple,1.06
case2,run_20260115_191951,5,poirot,1.039
case2,run_20260115_191756,1,holmes,0.951
case2,run_20260115_191756,1,marple,0.863
case2,run_20260115_191756,1,poirot,0.887
case2,run_20260115_191756,2,holmes,0.836
case2,run_20260115_191756,2,marple,0.842
case2,run_20260115_191756,2,poirot,0.869
case2,run_20260115_191756,3,holmes,0.901
case2,run_20260115_191756,3,marple,1.007
case2,run_20260115_191756,3,poirot,0.19
case2,run_20260115_191122,1,holmes,1.1
case2,run_20260115_191122,1,marple,0.984
case2,run_20260115_191122,1,poirot,0.981
case2,run_20260115_191122,2,holmes,1.041
case2,run_20260115_191122,2,marple,1.044
case2,run_20260115_191122,2,poirot,1.041
case2,run_20260115_192338,1,holmes,0.991
case2,run_20260115_192338,1,marple,0.642
case2,run_20260115_192338,1,poirot,0.93
case2,run_20260115_192338,2,holmes,0.981
case2,run_20260115_192338,2,marple,0.777
case2,run_20260115_192338,2,poirot,0.869
case2,run_20260115_192338,3,holmes,1.041
case2,run_20260115_192338,3,marple,0.589
case2,run_20260115_192338,3,poirot,0.905
case2,run_20260115_192338,4,holmes,0.858
case2,run_20260115_192338,4,marple,0.559
case2,run_20260115_192338,4,poirot,1.002
case2,run_20260115_192338,5,holmes,0.743
case2,run_20260115_192338,5,marple,0.813
case2,run_20260115_192338,5,poirot,0.402
case2,run_20260115_192338,6,holmes,0.725
case2,run_20260115_192338,6,marple,0.627
case2,run_20260115_192338,6,poirot,1.002
case2,run_20260115_192338,7,holmes,0.575
case2,run_20260115_192338,7,marple,0.202
case2,run_20260115_192338,7,poirot,1.005
case2,run_20260115_192338,8,holmes,0.953
case2,run_20260115_192338,8,marple,0.961
case2,run_20260115_192338,8,poirot,1.005
case2,run_20260115_192338,9,holmes,0.855
case2,run_20260115_192338,9,marple,1.024
case2,run_20260115_192338,9,poirot,0.962
case3,run_20260116_151430,1,holmes,0.963
case3,run_20260116_151430,1,marple,0.847
case3,run_20260116_151430,1,poirot,0.766
case3,run_20260116_151430,2,holmes,0.786
case3,run_20260116_151430,2,marple,0.284
case3,run_20260116_151430,2,poirot,0.186
case3,run_20260116_151430,3,holmes,1.043
case3,run_20260116_151430,3,marple,0.343
case3,run_20260116_151430,3,poirot,0.915
case3,run_20260116_151430,4,holmes,0.276
case3,run_20260116_151430,4,marple,0.824
case3,run_20260116_151430,4,poirot,0.792
case3,run_20260116_151430,5,holmes,0.932
case3,run_20260116_151430,5,marple,0.777
case3,run_20260116_151430,5,poirot,0.968
case3,run_20260116_151430,6,holmes,0.82
case3,run_20260116_151430,6,marple,0.918
case3,run_20260116_151430,6,poirot,0.115
case3,run_20260116_151430,7,holmes,1.014
case3,run_20260116_151430,7,marple,0.645
case3,run_20260116_151430,7,poirot,0.95
case3,run_20260115_195135,1,holmes,0.935
case3,run_20260115_195135,1,marple,0.56
case3,run_20260115_195135,1,poirot,0.818
case3,run_20260115_195135,2,holmes,0.821
case3,run_20260115_195135,2,marple,0.407
case3,run_20260115_195135,2,poirot,0.92
case3,run_20260115_195135,3,holmes,0.914
case3,run_20260115_195135,3,marple,0.813
case3,run_20260115_195135,3,poirot,0.987
case3,run_20260115_195135,4,holmes,0.79
case3,run_20260115_195135,4,marple,0.957
case3,run_20260115_195135,4,poirot,0.986
case3,run_20260115_193042,1,holmes,0.987
case3,run_20260115_193042,1,marple,0.534
case3,run_20260115_193042,1,poirot,0.741
case3,run_20260115_193042,2,holmes,1.067
