case,run_id,turn,character,slope,intercept,r2,mean_distance
case1,run_20260115_184344,5,holmes,0.045,0.77,0.336,0.95
case1,run_20260115_184344,5,marple,0.034,0.587,0.042,0.724
case1,run_20260115_184344,5,poirot,0.016,0.88,0.101,0.944
case1,run_20260115_184527,5,holmes,-0.006,1.082,0.211,1.064
case1,run_20260115_184527,5,marple,0.063,0.776,0.589,0.965
case1,run_20260115_184527,5,poirot,0.108,0.503,0.364,0.826
case1,run_20260115_184643,5,holmes,0.027,0.93,0.409,1.011
case1,run_20260115_184643,5,marple,0.087,0.586,0.892,0.846
case1,run_20260115_184643,5,poirot,-0.034,0.968,0.065,0.867
case1,run_20260115_184759,5,holmes,0.098,0.888,1.0,1.035
case1,run_20260115_184759,5,marple,0.297,0.442,1.0,0.887
case1,run_20260115_184759,5,poirot,0.134,0.699,1.0,0.899
case1,run_20260115_184824,5,holmes,0.003,1.028,0.031,1.038
case1,run_20260115_184824,5,marple,0.062,0.655,0.202,0.872
case1,run_20260115_184824,5,poirot,0.08,0.568,0.606,0.85
case1,run_20260115_184954,5,holmes,-0.089,1.194,0.439,0.929
case1,run_20260115_184954,5,marple,-0.009,0.901,0.031,0.874
case1,run_20260115_184954,5,poirot,0.09,0.55,0.47,0.818
case1,run_20260115_190152,5,holmes,-0.004,1.043,0.021,1.032
case1,run_20260115_190152,5,marple,0.078,0.787,0.637,0.981
case1,run_20260115_190152,5,poirot,-0.014,1.036,0.185,1.001
case1,run_20260115_190417,5,holmes,-0.001,1.071,0.004,1.067
case1,run_20260115_190417,5,marple,0.007,0.982,0.305,1.012
case1,run_20260115_190417,5,poirot,0.018,0.908,0.369,0.991
case1,run_20260122_141750,5,holmes,0.017,0.924,0.082,0.985
case1,run_20260122_141750,5,marple,0.0,0.862,0.0,0.862
case1,run_20260122_141750,5,poirot,0.01,0.96,0.22,0.996
case2,run_20260115_190823,5,holmes,0.096,0.677,0.543,0.967
case2,run_20260115_190823,5,marple,0.054,0.782,0.966,0.944
case2,run_20260115_190823,5,poirot,0.014,0.946,0.525,0.987
case2,run_20260115_190940,5,holmes,-0.019,0.995,0.013,0.957
case2,run_20260115_190940,5,marple,-0.04,1.074,0.913,0.994
case2,run_20260115_190940,5,poirot,-0.003,1.004,0.009,0.998
case2,run_20260115_191025,5,holmes,0.016,0.997,0.386,1.039
case2,run_20260115_191025,5,marple,0.107,0.421,0.369,0.689
case2,run_20260115_191025,5,poirot,-0.035,1.009,0.865,0.92
case2,run_20260115_191122,5,holmes,-0.059,1.159,1.0,1.071
case2,run_20260115_191122,5,marple,0.06,0.924,1.0,1.014
case2,run_20260115_191122,5,poirot,0.06,0.92,1.0,1.011
case2,run_20260115_191251,5,holmes,-0.154,0.777,0.786,0.393
case2,run_20260115_191251,5,marple,0.045,0.71,0.122,0.822
case2,run_20260115_191251,5,poirot,0.043,0.626,0.068,0.734
case2,run_20260115_191348,5,holmes,0.078,0.653,0.141,0.849
case2,run_20260115_191348,5,marple,0.088,0.641,0.215,0.861
case2,run_20260115_191348,5,poirot,0.135,0.386,0.169,0.725
case2,run_20260115_191756,5,holmes,-0.025,0.945,0.184,0.896
case2,run_20260115_191756,5,marple,0.072,0.761,0.638,0.904
case2,run_20260115_191756,5,poirot,-0.349,1.345,0.769,0.648
case2,run_20260115_191951,5,holmes,0.049,0.854,0.603,1.001
case2,run_20260115_191951,5,marple,0.087,0.607,0.672,0.867
case2,run_20260115_191951,5,poirot,0.254,-0.039,0.802,0.724
case2,run_20260115_192338,5,holmes,-0.028,0.999,0.256,0.858
case2,run_20260115_192338,5,marple,0.023,0.574,0.065,0.688
case2,run_20260115_192338,5,poirot,0.012,0.837,0.03,0.898
case3,run_20260115_192935,5,holmes,0.019,1.015,0.515,1.061
case3,run_20260115_192935,5,marple,0.051,0.881,0.642,1.008
case3,run_20260115_192935,5,poirot,-0.019,0.993,0.07,0.944
case3,run_20260115_193042,5,holmes,0.08,0.908,1.0,1.027
case3,run_20260115_193042,5,marple,0.399,0.135,1.0,0.734
case3,run_20260115_193042,5,poirot,0.252,0.489,1.0,0.867
case3,run_20260115_193111,5,holmes,-0.022,1.021,0.055,0.955
case3,run_20260115_193111,5,marple,0.041,0.834,0.71,0.958
