case,run_id,turn,character,pos,neg,neu,compound
case1,run_20260115_184954,1,holmes,0.059,0.208,0.734,-0.964
case1,run_20260115_184954,1,marple,0.075,0.121,0.804,-0.856
case1,run_20260115_184954,1,poirot,0.082,0.103,0.814,-0.424
case1,run_20260115_184954,2,holmes,0.046,0.09,0.864,-0.857
case1,run_20260115_184954,2,marple,0.044,0.099,0.857,-0.873
case1,run_20260115_184954,2,poirot,0.032,0.111,0.857,-0.898
case1,run_20260115_184954,3,holmes,0.069,0.132,0.799,-0.925
case1,run_20260115_184954,3,marple,0.082,0.084,0.834,-0.675
case1,run_20260115_184954,3,poirot,0.036,0.083,0.882,-0.856
case1,run_20260115_184954,4,holmes,0.034,0.122,0.844,-0.976
case1,run_20260115_184954,4,marple,0.06,0.099,0.841,-0.843
case1,run_20260115_184954,4,poirot,0.05,0.087,0.863,-0.77
case1,run_20260115_184954,5,holmes,0.056,0.066,0.878,-0.477
case1,run_20260115_184954,5,marple,0.063,0.082,0.855,-0.828
case1,run_20260115_184954,5,poirot,0.026,0.091,0.883,-0.939
case1,run_20260115_184643,1,holmes,0.066,0.144,0.79,-0.818
case1,run_20260115_184643,1,marple,0.141,0.076,0.782,0.743
case1,run_20260115_184643,1,poirot,0.036,0.121,0.843,-0.918
case1,run_20260115_184643,2,holmes,0.024,0.105,0.871,-0.947
case1,run_20260115_184643,2,marple,0.06,0.076,0.864,-0.638
case1,run_20260115_184643,2,poirot,0.01,0.125,0.865,-0.952
case1,run_20260115_184643,3,holmes,0.007,0.105,0.889,-0.975
case1,run_20260115_184643,3,marple,0.026,0.088,0.887,-0.852
case1,run_20260115_184643,3,poirot,0.021,0.052,0.927,-0.788
case1,run_20260115_184643,4,holmes,0.035,0.074,0.891,-0.898
case1,run_20260115_184643,4,marple,0.048,0.086,0.866,-0.856
case1,run_20260115_184643,4,poirot,0.025,0.032,0.942,-0.47
case1,run_20260115_184643,5,holmes,0.026,0.114,0.861,-0.982
case1,run_20260115_184643,5,marple,0.021,0.082,0.896,-0.955
case1,run_20260115_184643,5,poirot,0.007,0.146,0.847,-0.986
case1,run_20260115_185111,1,holmes,0.098,0.062,0.84,0.527
case1,run_20260115_185111,1,marple,0.165,0.051,0.784,0.903
case1,run_20260115_185111,1,poirot,0.127,0.059,0.813,0.727
case1,run_20260115_184527,1,holmes,0.024,0.233,0.743,-0.988
case1,run_20260115_184527,1,marple,0.149,0.077,0.774,0.79
case1,run_20260115_184527,1,poirot,0.095,0.0,0.905,0.859
case1,run_20260115_184527,2,holmes,0.039,0.155,0.806,-0.976
case1,run_20260115_184527,2,marple,0.069,0.172,0.759,-0.904
case1,run_20260115_184527,2,poirot,0.071,0.087,0.842,-0.305
case1,run_20260115_184527,3,holmes,0.049,0.13,0.82,-0.957
case1,run_20260115_184527,3,marple,0.046,0.167,0.787,-0.991
case1,run_20260115_184527,3,poirot,0.052,0.091,0.856,-0.872
case1,run_20260115_184527,4,holmes,0.051,0.145,0.804,-0.956
case1,run_20260115_184527,4,marple,0.05,0.148,0.802,-0.972
case1,run_20260115_184527,4,poirot,0.034,0.138,0.828,-0.987
case1,run_20260115_184527,5,holmes,0.021,0.148,0.832,-0.984
case1,run_20260115_184527,5,marple,0.047,0.132,0.821,-0.962
case1,run_20260115_184527,5,poirot,0.035,0.135,0.83,-0.977
case1,run_20260115_184759,1,holmes,0.044,0.13,0.826,-0.899
case1,run_20260115_184759,1,marple,0.158,0.101,0.742,0.784
case1,run_20260115_184759,1,poirot,0.068,0.122,0.81,-0.79
case1,run_20260115_184759,2,holmes,0.012,0.181,0.807,-0.99
case1,run_20260115_184759,2,marple,0.021,0.221,0.758,-0.96
case1,run_20260115_184759,2,poirot,0.012,0.143,0.845,-0.921
case1,run_20260115_190152,1,holmes,0.038,0.194,0.768,-0.968
case1,run_20260115_190152,1,marple,0.13,0.073,0.797,0.848
case1,run_20260115_190152,1,poirot,0.0,0.162,0.838,-0.961
case1,run_20260115_190152,2,holmes,0.037,0.117,0.846,-0.893
case1,run_20260115_190152,2,marple,0.012,0.168,0.819,-0.97
case1,run_20260115_190152,2,poirot,0.097,0.247,0.656,-0.975
case1,run_20260115_190152,3,holmes,0.045,0.177,0.778,-0.966
case1,run_20260115_190152,3,marple,0.044,0.169,0.787,-0.983
case1,run_20260115_190152,3,poirot,0.059,0.109,0.832,-0.909
case1,run_20260115_190152,4,holmes,0.028,0.113,0.859,-0.937
case1,run_20260115_190152,4,marple,0.047,0.168,0.785,-0.983
case1,run_20260115_190152,4,poirot,0.009,0.094,0.897,-0.954
case1,run_20260115_190417,1,holmes,0.066,0.142,0.792,-0.939
case1,run_20260115_190417,1,marple,0.046,0.179,0.776,-0.941
case1,run_20260115_190417,1,poirot,0.063,0.126,0.81,-0.779
