turn,prob_mean,prob_ci_low,prob_ci_high,brier_mean,brier_ci_low,brier_ci_high,n_runs
1,0.43158492,0.2145906,0.71334654,0.5640572,0.28518447,0.7843379,14
2,0.037719134,0.0020014804,0.08986195,0.93321806,0.83706206,0.9961784,13
3,0.016956342,0.0025285224,0.043580074,0.9683839,0.91973275,0.99487984,13
4,0.041488178,0.0036515866,0.11353679,0.9325738,0.8193392,0.9926907,12
5,0.0060356683,0.0008646126,0.012968473,0.9880263,0.97421956,0.99827194,6
6,0.030164342,0.00035561636,0.08851792,0.94395524,0.83581096,0.9992889,5
7,0.001245874,0.00039687514,0.0026775529,0.99751127,0.9946534,0.9992064,4
8,0.0013391429,0.00028595852,0.0023923274,0.9973246,0.995221,0.9994281,2
9,0.0020055228,0.00032917148,0.0036818741,0.99599576,0.99264973,0.9993417,2
10,0.053931482,0.053931482,0.053931482,0.89504564,0.89504564,0.89504564,1
