turn,prob_mean,prob_ci_low,prob_ci_high,brier_mean,brier_ci_low,brier_ci_high,n_runs
1,0.86183155,0.66636854,0.99607044,0.12495857,3.78742e-05,0.30353263,14
2,0.6927667,0.46477273,0.8918819,0.24590172,0.05439937,0.46240583,13
3,0.68644404,0.46170336,0.8832768,0.24855304,0.06421585,0.4747678,13
4,0.7397263,0.50018376,0.9636226,0.23279822,0.005271776,0.46605524,12
5,0.5153366,0.18912828,0.8369767,0.44940266,0.13448873,0.78258485,6
6,0.7622115,0.4015681,0.99434865,0.17911686,4.808401e-05,0.5107096,5
7,0.6979533,0.30376726,0.98513484,0.22876431,0.00027122162,0.6362907,4
8,0.51726776,0.037773065,0.9967625,0.46294558,1.0481315e-05,0.9258807,2
9,0.9620747,0.9284779,0.9956715,0.0025670745,1.873582e-05,0.005115413,2
10,0.9956715,0.9956715,0.9956715,1.873582e-05,1.873582e-05,1.873582e-05,1
