turn,prob_mean,prob_ci_low,prob_ci_high,brier_mean,brier_ci_low,brier_ci_high,n_runs
1,0.5690958,0.33052933,0.78492475,0.37268922,0.15453635,0.63690585,14
2,0.48183295,0.25329587,0.71946716,0.45170215,0.2230932,0.6818216,13
3,0.405509,0.19126043,0.6404359,0.53598684,0.25496602,0.77015543,13
4,0.5159137,0.26124507,0.757499,0.43021193,0.17597574,0.6856842,12
5,0.32334235,0.0070965798,0.641471,0.6549294,0.3234232,0.9864356,6
6,0.47090492,0.08608676,0.855723,0.4656422,0.06772972,0.8635548,5
7,0.62083316,0.21139264,0.90174985,0.2818233,0.013248279,0.7543685,4
8,0.39724925,0.31495622,0.4795423,0.37008065,0.27087626,0.469285,2
9,0.4865741,0.0032489873,0.96989924,0.4972093,0.0009060559,0.9935126,2
10,0.78992724,0.78992724,0.78992724,0.044130564,0.044130564,0.044130564,1
