number,quote
1,"quote"""
2,"""Well, Watson, what do you make of it?"""
3,"at least, a well-polished, silver-plated coffee-pot in front of me,"""
4,"tell me, Watson, what do you make of our visitor's stick? Since we have been so unfortunate as to miss him and have no notion of his errand, this accidental souvenir becomes of importance. Let me hear you reconstruct the man by an examination of it."""
5,"that Dr. Mortimer is a successful, elderly medical man, well-esteemed since those who know him give him this mark of their appreciation."""
6,"though originally a very handsome one has been so knocked about that I can hardly imagine a town practitioner carrying it. The thick-iron ferrule is worn down, so it is evident that he has done a great amount of walking with it."""
7,"there is the 'friends of the C.C.H.' I should guess that to be the Something Hunt, the local hunt to whose members he has possibly given some surgical assistance, and which has made him a small presentation in return."""
8,"Watson, you excel yourself,"""
9,"but you are a conductor of light. Some people without possessing genius have a remarkable power of stimulating it. I confess, my dear fellow, that I am very much in your debt."""
10,"you will observe that he could not have been on the staff of the hospital, since only a man well-established in a London practice could hold such a position, and such a one would not drift into the country. What was he, then? If he was in the hospital and yet not on the staff he could only have been a house-surgeon or a house-physician--little more than a senior student. And he left five years ago--the date is on the stick. So your grave, middle-aged family practitioner vanishes into thin air, my dear Watson, and there emerges a young fellow under thirty, amiable, unambitious, absent"
11,quote
12,"""My dear fellow, how can you possibly be so sure of that?"""
13,"""For the very simple reason that I see the dog himself on our very door-step, and there is the ring of its owner. Don't move, I beg you, Watson. He is a professional brother of yours, and your presence may be of assistance to me. Now is the dramatic moment of fate, Watson, when you hear a step upon the stair which is walking into your life, and you know not whether for good or ill. What does Dr. James Mortimer, the man of science, ask of Sherlock Holmes, the specialist in crime? Come in!"""
14,"""A presentation, I see."""
15,"""From Charing Cross Hospital?"""
16,"""Dear, dear, that's bad!"""
17,"""Only that you have disarranged our little deductions. Your marriage, you say?"""
18,"""Come, come, we are not so far wrong, after all,"""
19,"""And now, Dr. James Mortimer--"""
20,"""Mister, sir, Mister--a humble M.R.C.S."""
21,"""And a man of precise mind, evidently."""
22,"""A dabbler in science, Mr. Holmes, a picker up of shells on the shores of the great unknown ocean. I presume that it is Mr. Sherlock Holmes whom I am addressing and not--"""
23,"""No, this is my friend Dr. Watson."""
