number,quote
1,quote
2,"""It is cocaine,"" he said,""--a seven-per-cent solution. Would you care to try it?"""
3,"""Perhaps you are right, Watson,"" he said.""I suppose that its influence is physically a bad one. I find it, however, so transcendently stimulating and clarifying to the mind that its secondary action is a matter of small moment."""
4,"""But consider!"" I said,""Count the cost! Your brain may, as you say, be roused and excited, but it is a pathological and morbid process, which involves increased tissue-change and may at last leave a permanent weakness. You know, too, what a black reaction comes upon you. Surely the game is hardly worth the candle. Why should you, for a mere passing pleasure, risk the loss of those great powers with which you have been endowed? Remember that I speak not only as one comrade to another, but as a medical man to one for whose constitution he is to some extent answerable."""
5,"""My mind,"" he said,""rebels at stagnation. Give me problems, give me work, give me the most abstruse cryptogram or the most intricate analysis, and I am in my own proper atmosphere. I can dispense then with artificial stimulants. But I abhor the dull routine of existence. I crave for mental exaltation. That is why I have chosen my own particular profession,--or rather created it, for I am the only one in the world."""
6,"""The only unofficial detective?"" I said, raising my eyebrows."
7,"""The only unofficial consulting detective,"" he answered.""I am the last and highest court of appeal in detection. When Gregson or Lestrade or Athelney Jones are out of their depths--which, by the way, is their normal state--the matter is laid before me. I examine the data, as an expert, and pronounce a specialist's opinion. I claim no credit in such cases. My name figures in no newspaper. The work itself, the pleasure of finding a field for my peculiar powers, is my highest reward. But you have yourself had some experience of my methods of work in the Jefferson Hope case."""
8,"""Honestly, I cannot congratulate you upon it. Detection is, or ought to be, an exact science, and should be treated in the same cold and unemotional manner. You have attempted to tinge it with romantic"
9,quote
10,"""Not at all,"" I answered, earnestly. ""It is of the greatest interest"
11,especially since I have had the opportunity of observing your
12,"""Why, hardly,"" he answered, leaning back luxuriously in his armchair,"
13,
14,but deduction lets me know that when there
15,"""It is simplicity itself,"" he remarked, chuckling at my"
16,"--""so absurdly simple that an explanation is superfluous;"
17,as far as
18,nowhere else in the neighborhood. So much is observation. The
19,"""How, then, did you deduce the telegram?"""
20,"""Why, of course I knew that you had not written a letter, since I sat"
21,"then, but to send a wire?"
22,and the one which remains must be the
23,"""In this case it certainly is so,"" I replied, after a little thought."
24,"however, is, as you say, of the simplest.  Would you"
25,"""On the contrary,"" he answered, ""it would prevent me from taking a"
26,"""I have heard you say that it is difficult for a man to have any"
27,quote
28,""" Mrs. Cecil Forrester,"" he repeated thoughtfully. ""I believe that I was of some slight service to her. The case, however, as I remember it, was a very simple one."""
29,"""She did not think so. But at least you cannot say the same of mine. I can hardly imagine anything more strange, more utterly inexplicable, than the situation in which I find myself."""
30,"""State your case,"" said he, in brisk, business tones."
31,"""A singular case,"" remarked Holmes."
