number,quote
1,"perhaps you would not
     care for him as a constant companion."
2,"I see that you have read it since you have
     marked it. I dont deny that it is smartly written. It irritates me
     though. It is evidently the theory of some arm-chair lounger who
     evolves all these neat little paradoxes in the seclusion of his own
     study. It is not practical. I should like to see him clapped down in
     a third class carriage on the Underground, and asked to give the
     trades of all his fellow-travellers. I would lay a thousand to one
     against him."
3,"Audley Court was not an attractive locality. The narrow passage led
     us into a quadrangle paved with flags and lined by sordid dwellings. We picked our way among groups of dirty children, and through lines
     of discoloured linen, until we came to Number 46, the door of which
     was decorated with a small slip of brass on which the name Rance was
     engraved. On enquiry we found that the constable was in bed, and we
     were shown into a little front parlour to await his coming. He appeared presently, looking a little irritable at being disturbed
     in his slumbers."
4,"We started off for the cab together, leaving our informant
     incredulous, but obviously uncomfortable."
5,"said
     my companion, gravely; and as he spoke there rushed into the room
     half a dozen of the dirtiest and most ragged street Arabs that ever I
     clapped eyes on."
6,"There was a violent peal at the bell, and in a few seconds the
     fair-haired detective came up the stairs, three steps at a time, and
     burst into our sitting-room."
7,"Nothing. Stangerson had Drebbers purse in his pocket, but it seems
     that this was usual, as he did all the paying. There was eighty odd
     pounds in it, but nothing had been taken. Whatever the motives of
     these extraordinary crimes, robbery is certainly not one of them. There were no papers or memoranda in the murdered mans pocket,
     except a single telegram, dated from Cleveland about a month ago, and
     containing the words, J. H. is in Europe. There was no name
     appended to this message."
8,"Nothing of any importance. The mans novel, with which he had read
     himself to sleep was lying upon the bed, and his pipe was on a chair
     beside him. There was a glass of water on the table, and on the
     window-sill a small chip ointment box containing a couple of pills."
9,"I took
     them and the purse and the telegram, intending to have them put in a
     place of safety at the Police Station. It was the merest chance my
     taking these pills, for I am bound to say that I do not attach any
     importance to them."
10,"From their
     lightness and transparency, I should imagine that they are soluble in
     water,"
11,"Now would you mind going down and
     fetching that poor little devil of a terrier which has been bad so
     long, and which the landlady wanted you to put out of its pain
     yesterday."
12,"I will now cut one of these pills in two,"
13,"One half we return
     into the box for future purposes. The other half I will place in this
     wine glass, in which is a teaspoonful of water. You perceive that our
     friend, the Doctor, is right, and that it readily dissolves."
14,"if we can only
     find the man to put them on."
15,"The cabman may as well
     help me with my boxes. Just ask him to step up, Wiggins."
16,"It will serve to take him
     to Scotland Yard. And now, gentlemen,"
17,"I guess youre going
     to take me to the police-station,"
18,My cabs at the door. If youll loose my legs Ill walk down to it. Im not so light to lift as I used to be.
19,The way you kept on my trail was a caution.
20,"Good! and Gregson can come inside with me. You too, Doctor, you have
     taken an interest in the case and may as well stick to us."
21,"Thats the result of all our Study in Scarlet: to get them a
     testimonial!"
22,"I see it, I deduce it. How do I know that you have been getting
     yourself very wet lately, and that you have a most clumsy and
     careless servant girl?"
23,"this is too much. You would certainly have
     been burned, had you lived a few centuries ago. It is true that I had
     a country walk on Thursday and came home in a dreadful mess, but as I
     have changed my clothes I cant imagine how you deduce it. As to Mary
     Jane, she is incorrigible, and my wife has given her notice, but
     there, again, I fail to see how you work it out."
24,"Such paper could
     not be bought under half a crown a packet. It is peculiarly strong
     and stiff."
25,"It is not an English
     paper at all. Hold it up to the light."
26,"The name of the maker, no doubt; or his monogram, rather."
27,"This is my friend and colleague,
     Dr. Watson, who is occasionally good enough to help me in my cases. Whom have I the honour to address?"
28,"by binding you both to absolute secrecy for two years; at the end of
     that time the matter will be of no importance. At present it is not
     too much to say that it is of such weight it may have an influence
     upon European history."
29,"The
     august person who employs me wishes his agent to be unknown to you,
     and I may confess at once that the title by which I have just called
     myself is not exactly my own."
30,"The circumstances are of great delicacy, and every precaution has to
     be taken to quench what might grow to be an immense scandal and
     seriously compromise one of the reigning families of Europe. To speak
     plainly, the matter implicates the great House of Ormstein,
     hereditary kings of Bohemia."
31,"you can
     understand that I am not accustomed to doing such business in my own
     person. Yet the matter was so delicate that I could not confide it to
     an agent without putting myself in his power. I have come incognito
     from Prague for the purpose of consulting you."
32,"The facts are briefly these: Some five years ago, during a lengthy
     visit to Warsaw, I made the acquaintance of the well-known
     adventuress, Irene Adler. The name is no doubt familiar to you."
33,"Hum! Born in New Jersey in the year 1858. Contralto--hum! La Scala, hum! Prima donna Imperial Opera of
     Warsaw--yes! Retired from operatic stage--ha! Living in London--quite
     so! Your Majesty, as I understand, became entangled with this young
     person, wrote her some compromising letters, and is now desirous of
     getting those letters back."
