number,quote
1,"You are in error, my friend. You do not understand my meaning. A robbery would be a relief since it would dispossess my mind of the fear of something else."
2,"Thats an idea, that is. Ought to be put in a book."
3,"It had quite slipped my memory. Let me see, what was the date mentioned?"
4,"The sanity of a city full of men against the insanity of one man? I fear, Hastings—I very much fear. Remember the long-continued successes of Jack the Ripper."
5,"And this is Mr. Hercule Poirot, also from London, and er—"
6,"You are incontestably right, Hastings. Am I correct in supposing that you intend to be a cavalier to one of the ladies?"
7,"She took them out of the attaché case on her table,"
8,well make a note of that. It will be something for the police to go on. The man may have some connection with the case.
9,"Look here, Leidner, Im going to read to you exactly what every member of your expedition was doing between one and two this afternoon."
10,"even if they had been open, no one could have entered or left the room that way. My fellows and I have assured ourselves of that. It is the same with all the other windows giving on the open country. They all have iron bars and all the bars are in good condition. To have got into your wifes room, a stranger must have come through the arched doorway into the courtyard. But we have the united assurance of the guard, the cook and the houseboy that nobody did so."
11,"Facts? Facts? Lies told by an Indian cook and a couple of Arab house-boys. You know these fellows as well as I do, Reilly, so do you, Maitland. Truth as truth means nothing to them. They say what you want them to say as a mere matter of politeness."
12,My wife receives threatening letters. She has reason to fear a certain person. Then she is—killed. And you ask me to believe that she is killed—not by that person—but by someone entirely different! I say that that is ridiculous.
13,"Coincidence—eh? What do you say, Maitland? Are you in favour of the idea? Shall we put it up to Leidner?"
14,Have you ever heard of a man called Hercule Poirot Leidner?
15,"My fellows are good scouts at scouring the countryside and investigating Arab blood feuds, but frankly, Leidner, this business of your wifes seems to me rather out of my class. The whole thing looks confoundedly fishy. Im more than willing to have the fellow take a look at the case."
16,Nothing to show whether she took it herself from the laboratory?
17,"No—but I could see, of course, that it was a corrosive acid."
18,"Is it your opinion, nurse, that Miss Johnson deliberately administered this stuff to herself?"
19,Not in the least. I puzzled and puzzled over it but I couldnt even get a glimmering.
20,A person who is sleeping quite soundly will often wake up at the sound of a footfall. If the table could be reached from the window it would be the safer way.
21,But I shouldnt say that theres much doubt about this being the instrument with which Mrs. Leidner was killed!
22,"I dont know where she hid this to begin with,"
23,Theres the French Fathers disappearance to be cleared up too. My men are out hunting around in case hes been knocked on the head and his body rolled into a convenient irrigation ditch.
24,Hed been cross-questioning me about the man with a squint who was looking in at the window that day. He asked me just where hed stood on the path and then he said he was going out to have a look round. He said in detective stories the criminal always dropped a convenient clue.
25,"So thats what he was after, was it? By Jove, I wonder if he did find anything. A bit of a coincidence if both he and Miss Johnson discovered a clue to the identity of the murderer at practically the same time."
26,Ill be quiet. But I must leave this place. Joseph and I can go in and sleep at the Rest House.
27,"No, he has not been here for some time. But he is the son—adopted son,
rather—of Mr. Ackroyd of Fernly Park."
28,"One prefers to remain incognito. I am not anxious for notoriety. I
have not even troubled to correct the local version of my name."
29,"And so he is engaged to Mr.
Ackroyds niece, the charming Miss Flora."
30,"You have not the trust in me of Miss Flora,"
31,"I shouldnt put so much
stress on the footmarks if it wasnt for everything else."
32,"I observe that you do not
quit my side. How say you, Dr. Sheppard, shall we investigate that
summer-house? It interests me."
33,"You and I, M. le docteur, we
investigate this affair side by side. Without you I should be lost. I
desire a little information from the good Mr. Hammond."
34,"however strong the circumstantial evidence against
him may be. The mere fact that he was hard pressed for money——"
35,"To begin with, I want to make a very special plea
to mademoiselle."
36,"On every page,
many, many times was the word I. What _he_ thought—what _he_ did.
But you—you have kept your personality in the background; only once or
twice does it obtrude—in scenes of home life, shall we say?"
37,Linda? I dont know. I expect shes mooning round the island somewhere.
38,And the husband? Did he know about it? What did he feel?
39,Havent the least idea. Might have been the weather—extra fine day and all that.
40,It is no question of suspicion. Everyone on the island will be asked to account for his or her movements between a quarter to eleven and twenty minutes to twelve this morning.
41,Captain Marshall has told us that you and she met casually at a cocktail party. Is that right?
42,Well—not exactly. As a matter of fact I saw a fair amount of her one way and another.
43,I dont know whether he knew about it or not.
44,"What about her husband? Did he mind, do you think?"
45,"Well, what I mean to say—strangled, you know. Same idea. Feller suddenly sees red!"
46,He may have been. I cant really tell you anything about that. Captain Marshall is rather old-fashioned—he hasnt got the modern habit of shouting matrimonial woes upon the housetop.
47,"Yes. Blackmail, or no blackmail. I still feel it points to him. And his manner—well, his manner is unfortunate."
48,Arlena Marshall wasnt killed by a woman. Its a man weve got to look for. Weve got to stick to the men in the case.
49,Not at all. Never said anything of the sort. Just letting you know that hes the sort of fellow who could go berserk on occasions.
50,Can you tell me what arrangements I can make about the funeral?
51,Has the police department been testing the speed of my typing? I hope my character is cleared.
