number,quote
1,quote
2,I have done this before. . . .
3,Why do those words always move one so profoundly?
4,How long ago was it that I had taken this selfsame journey? Had felt (ridiculously) that the best of life was over for me!
5,"It had seemed in 1916 to young Arthur Hastings that he was already old and mature. How little had I realized that, for me, life was only then beginning."
6,"I had been journeying, though I did not know it, to meet the man whose influence over me was to shape and mould my life."
7,"Actually, I had been going to stay with my old friend, John Cavendish, whose mother, recently remarried, had a country house named Styles."
8,How well I remembered my amazement when I had seen the limping figure with the large moustache coming up the village street.
9,"Hercule Poirot! Since those days he had been my dearest friend, his influence had moulded my life."
10,"In company with him, in the hunting down of yet another murderer, I had met my wife, the truest and sweetest companion any man could have had."
11,"She lay now in Argentine soil, having died as she would have wished, with no long drawn out suffering, or feebleness of old age."
12,But she had left a very lonely and unhappy man behind her.
13,Ah! If I could go back—live life all over again.
14,If this could have been that day in 1916 when I first travelled to Styles . . .
15,What changes had taken place since then! What gaps amongst the familiar faces!
16,Styles itself had been sold by the Cavendishes.
17,"John Cavendish was dead, though his wife, Mary (that fascinating enigmatical creature), was still alive, living in Devonshire."
18,Laurance was living with his wife and children in South Africa.
19,"But one thing, strangely enough, was the same."
20,I was going to Styles to meet Hercule Poirot.
21,"How stupefied I had been to receive his letter, with its heading Styles Court, Styles, Essex."
22,The last time
23,"poor little M. Poirot. The way he’s been looking forward to your coming. It would melt a heart of stone. Terribly sorry I am for him, suffering the way he does."""
24,""""
25,"no, far too modern. These girls nowadays always seem embarrassed at having to admit to a father or mother at all."""
26,""" I said, “are practically a disgrace.”"
27,”
28,"Poirot,” I protested. “Must you—”"
29,Poirot. And how are you yourself?”
30,indeed. The best heart in the world.”
31,"mon cher, is what I mean by the core. My brain, it still functions magnificently.”"
32,quote
33,"It sounds terrible,"
34,"There is something to be said for the old days,"
35,"But one must not complain,"
36,"I say, Poirot, you're not—er—hard up, are you?"
37,I know the war hit investments very badly—
38,"Then that's all right,"
39,"I think I can understand your feeling,"
40,"They were good days,"
41,"You may speak for yourself, Hastings,"
42,"For me, my arrival at Styles St. Mary was a sad and painful time,"
43,"I had forgotten that,"
44,"You attribute always to others the sentiments that you yourself experience,"
45,"No, no,"
46,"What a memory you have, Poirot,"
47,Do you remember what you said?
48,Look forward? What is there to look forward to?
49,You really mean that?
50,You really mean it?
51,"At first you imagined, did you not, that I had the softening of the brain?"
52,"No, no,"
53,"Only this seems such an unlikely place,"
54,Who else is there?
55,And one of them is a murderer?
56,But why—how—why should you think—?
57,"You can study these at your leisure, Hastings."
58,For the moment I should not bother with the newspaper cuttings.
59,"Deeply interested, I started reading."
60,quote
61,"""Yes, that is true—but I don’t see what particular inferences you draw from that."""
62,"""Yes."""
63,"""Yes, that is true—but I don’t see what particular inferences you draw from that."""
64,"""Yes, that is true—but I don’t see what particular inferences you draw from that."""
65,"""Is there something in common between them all that I have missed?"""
66,"""I don’t think I understand."""
67,"""Yes, that is true—but I don’t see what particular inferences you draw from that."""
68,"""What do you mean?"""
