number,quote
1,quote
2,It was in June of 1935 that I came home from my ranch in South America for a stay of about six months.
3,"It had been a difficult time for us out there. Like everyone else, we had suffered from world depression."
4,"I need hardly say that one of my first actions on reaching England was to look up my old friend, Hercule Poirot."
5,It was in June of 1935 that I came home from my ranch in South America for a stay of about six months.
6,"“But yes, my friend, it is of a most pleasing symmetry, do you not find it so?”"
7,"I said that I thought there could be too much squareness and, alluding to an old joke, I asked if in this super-modern hostelry they managed to induce hens to lay square eggs."
8,Poirot laughed heartily.
9,"“Ah, you remember that? Alas! no—science has not yet induced the hens to conform to modern tastes, they still lay eggs of different sizes and colours!”"
10,"You’re looking in fine fettle, Poirot,” I said. “You’ve hardly aged at all. In fact, if it were possible, I should say that you had fewer grey hairs than when I saw you last.”"
11,“And why is that not possible? It is quite true.”
12,Do you mean your hair is turning from grey to black instead of from black to grey?”
13,“Precisely.”
14,But surely that’s a scientific impossibility!”
15,“Not at all.”
16,“But that’s very extraordinary. It seems against nature.”
17,"As usual, Hastings, you have the beautiful and unsuspicious mind. Years do not change that in you! You perceive a fact and mention the solution of it in the same breath without noticing that you are doing so!”"
18,"I stared at him, puzzled."
19,Without a word he walked into his bedroom and returned with a bottle in his hand which he handed to me.
20,"“Poirot,” I cried. “You have dyed your hair!”"
21,"“Ah, the comprehension comes to you!”"
22,So that’s why your hair looks so much blacker than it did last time I was back.”
23,“Exactly.”
24,"Dear me,”"
25,"I suppose.”,"
26,
27,
28,
29,
30,
31,"can’t you do something?”,"
32,"the 21st is Friday. If a whacking great robbery takes place near Andover then—"","
33,
34,
35,
36,”
37,"Hastings, there is a little device—my hairdresser is a man of great ingenuity—one attaches it to the scalp and brushes one’s own hair over it—it is not a wig, you comprehend—but—"""
38,”
39,
40,
41,"I think you'll find it's not a pleasant job."""
42,but he has several lines of dialogue. Here are the extracted lines:
43,"” I said. “that a second murder in a book often cheers things up. If the murder happens in the first chapter, and you have to follow up everybody’s alibi until the last page but one—well, it does get a bit tedious.”"
44,” I said. “What would you order?”
45,” I said. “What would you order?”
46,” I said. “I can’t see any excitement in that!”
47,quote
48,"You think that this man Ascher came into the shop drunk, started abusing his wife and finally struck her down?"
49,had like to have another look at that very odd letter you received. I was wondering if it was just possible that it came from this man Ascher.
50,"It doesn’t read like Ascher, I doubt if Ascher would use the term ‘our’ British police—not unless he was trying to be extra cunning—and I doubt if he’s got the wits for that. Then the man’s a wreck—all to pieces. His hand’s too shaky to print letters clearly like this. It’s good quality notepaper and ink, too. It’s odd that the letter should mention the 21st of the month. Of course it might be coincidence."
51,That is possible—yes.
52,"But I don’t like this kind of coincidence, Mr. Poirot. It’s a bit too pat."
53,Do you know anything of Mrs. Ascher’s past?
54,"She’s a Hampshire woman. Went into service as a girl up in London—that’s where she met Ascher and married him. Things must have been difficult for them during the war. She actually left him for good in 1922. They were in London then. She came back here to get away from him, but he got wind of where she was and followed her down here, pestering her for money—"
55,"It’s the man Ascher, sir. We’ve brought him in."
