number,quote
1,"Evie, here's our wounded hero! Mr. Hastings—Miss Howard."""
2,quote
3,"""I shall never forget my first sight of Mary Cavendish."""
4,"""This is a pleasure, Mr. Hastings."""
5,"""Then you’ll write to the Princess after tea, Alfred? I’ll write to Lady Tadminster for the second day, myself. Or shall we wait until we hear from the Princess? In case of a refusal, Lady Tadminster might open it the first day, and Mrs. Crosbie the second. Then there’s the Duchess—about the school fête."""
6,"""Is soldiering your regular profession, Mr. Hastings?"""
7,"""Perhaps. Either that or a fresh start altogether."""
8,"""What would you really choose as a profession, if you could just consult your inclination?"""
9,"""You’ll laugh at me."""
10,"""Well, I’ve always had a secret hankering to be a detective!"""
11,"""Like a good detective story myself,"" remarked Miss Howard. “Lots of nonsense written, though. Criminal discovered in last chapter. Every one dumbfounded. Real crime—you’d know at once.”"
12,"""There have been a great number of undiscovered crimes,"""
13,"""Then,” I said, much amused, “you think that if you were mixed up in a crime, say a murder, you’d be able to spot the murderer right off?”"
14,"""Mightn’t be able to prove it to a pack of lawyers. But I’m certain I’d know. I’d feel it in my fingertips if he came near me.”"
15,"""It might be a ‘she,’ ”"
16,"""Might. But murder’s a violent crime. Associate it more with a man.”"
17,"""Why, Mary, what a gruesome conversation!” cried Mrs. Inglethorp. “It makes me feel as if a goose were walking over my grave. Oh, there’s Cynthia!”"
18,"""You work at Tadminster, don’t you, Miss Murdoch?"""
19,"""Do they bully you, then?”"
20,"""I have got a cousin who is nursing,” I remarked. “And she is terrified of ‘Sisters.’ ”"
21,"""How many people do you poison?”"
22,"""Cynthia,"" called Mrs. Inglethorp, “do you think you could write"
23,quote
24,"Come for a stroll, Hastings. This has been a most rotten business. She always had a rough tongue, but there is no stauncher friend in England than Evelyn Howard."
25,That is Mrs. Raikes.
26,"Mr. Hastings, you're honest. I can trust you?"
27,"Look after her, Mr. Hastings. My poor Emily. They're a lot of sharks—all of them. Oh, I know what I'm talking about. There isn't one of them that's not hard up and trying to get money out of her. I've protected her as much as I could. Now I'm out of the way, they'll impose upon her."
28,"Young man, trust me. I've lived in the world rather longer than you have. All I ask you is to keep your eyes open. You'll see what I mean."
29,"Above all, Mr. Hastings, watch that devil—her husband!"
30,That's Dr. Bauerstein.
31,quote
32,"""Mon ami Hastings!"""
33,"""Poirot!"""
34,"""This is a very pleasant meeting for me, Miss Cynthia. This is my old friend, Monsieur Poirot, whom I have not seen for years."""
35,"""Yes, my friend, she had kindly extended hospitality to seven of my country people who, alas, are refugees from their native land. We Belgians will always remember her with gratitude."""
36,"""He's a dear little man,"""
37,then?”
38,and will never speak to him again.”
39,"quote"""
40,","""
41,"no—not that—not that!"""
42,"no—leave me. I’d rather be alone. Let me just be quiet for a minute or two. Go down to the others."""
43,"time is an advantage if—if—there has been foul play."""
