number,quote
1,"Watson?"""
2,Holmes
3,"but he has no art whatever at making comments."""
4,Holmes
5,Holmes
6,quote
7,""" said Stamford, introducing us."
8,gripping my hand with a strength
9,"I perceive."""
10,""" said he, chuckling to himself. ""The question now is"
11,"chemically, no doubt,"" I answered, ""but"
12,"man, it is the most practical medico-legal discovery for years."
13,and drew me over to the table at which he had been
14,""" he said, digging a long"
15,and drawing off the resulting drop of blood
16,I add this small quantity of blood to a
17,"however, that we shall be able to"
18,"he threw into the vessel a few white crystals, and then"
19,and a brownish dust was precipitated
20,"clapping his hands, and looking as delighted as a"
21,""" I remarked."
22,this
23,there are hundreds of men now walking the earth who
24,quote
25,You appear to be astonished.
26,Now that I do know it I shall do my best to forget it.
27,What the deuce is it to me?
28,If we went round the moon it would not make a pennyworth of difference to me or to my work.
29,quote
30,"""I have to use this room as a place of business,"" he said, ""and these people are my clients."""
31,"""What is it?"" asked Sherlock Holmes."
32,"""You!"""
33,"""Yes, I have a turn both for observation and for deduction. The theories which I have expressed there, and which appear to you to be so chimerical are really extremely practical--so practical that I depend upon them for my bread and cheese."""
34,"""Well, I have a trade of my own. I suppose I am the only one in the world. I'm a consulting detective, if you can understand what that is. Here in London we have lots of Government detectives and lots of private ones. When these fellows are at fault they come to me, and I manage to put them on the right scent. They lay all the evidence before me, and I am generally able, by the help of my knowledge of the history of crime, to set them straight. There is a strong family resemblance about misdeeds, and if you have all the details of a thousand at your finger ends, it is odd if you can't unravel the thousand and first. Lestrade is a well-known detective. He got himself into a fog recently over a forgery case, and that was what brought him here."""
35,"""And these other people?"""
36,"""They are mostly sent on by private inquiry agencies. They are all people who are in trouble about something, and want a little enlightening. I listen to their story, they listen to my comments, and then I pocket my fee."""
37,"""Quite so. I have a kind of intuition that way. Now and again a case turns up which is a little more complex. Then I have to bustle about and see things with my own eyes. You see I have a lot of special knowledge which I apply to the problem, and which facilitates matters wonderfully. Those rules of deduction laid down in that article which aroused your scorn, are invaluable to me in practical work. Observation with me is second nature. You appeared to be surprised when I told you, on our first meeting, that you had come from Afghanistan."""
38,"""You were told, no doubt."""
39,"""Nothing of the sort. I knew you came from Afghanistan. From long habit the train of thoughts ran so swiftly through my mind, that"
40,""", ""Why,"" ""Yes,"" ""Get your hat,"" ""You wish me to come?"""
41,quote
42,"""To Let"" card had developed like a cataract upon the"
43,"""With two such men as yourself and Lestrade upon the ground,"
44,"""You are sure that there is no wound?"""
45,"""There is nothing new under the sun. It has all been done before."""
46,"""He has not been moved at all?"""
47,"""You can take him to the mortuary now. There is nothing more to be learned."""
48,"""You're sure it doesn't simplify them?"""
49,quote
50,"""Have you sent to Cleveland?"""
51,"""We telegraphed this morning."""
52,"""How did you word your inquiries?"""
53,"""We simply detailed the circumstances, and said that we should be"
54,"""You did not ask for particulars on any point which appeared to you"
55,"""I asked about Stangerson."""
56,"""Nothing else? Is there no circumstance on which this whole case"
57,"""I have said all I have to say,"""
58,"""Mr. Gregson,"" he said, ""I have just made a discovery of the highest"
59,and one which would have been overlooked had I not made a
60,"""Come here,"" he said, bustling back into the room, the atmosphere of"
61,
62,"""Look at that!"" he said, triumphantly."
63,"""What do you think of that?"" cried the detective, with the air of a"
64,and no one thought of looking there.
65,
66,"""And what does it mean now that you have found it?"" asked Gregson in"
67,"""Mean? Why, it means that the writer was going to put the female name"
68,but was disturbed before he or she had time to finish. You
69,when this case comes to be cleared up you will find
70,Mr. Sherlock Holmes. You may be very smart and
71,"but the old hound is the best, when all is said and done."""
72,quote
73,"""And his age?"""
74,"""Well, if a man can stride four and a-half feet without the smallest effort, he can't be quite in the sere and yellow."""
75,"""There is no mystery about it at all. I am simply applying to ordinary life a few of those precepts of observation and deduction which I advocated in that article. Is there anything else that puzzles you?"""
76,"""The writing on the wall was done with a man's forefinger dipped in blood. My glass allowed me to observe that the plaster was slightly scratched in doing it, which would not have been the case if the man's nail had been trimmed."""
77,"""I gathered up some scattered ash from the floor. It was dark in colour and flakey--such an ash as is only made by a Trichinopoly. I have made a special study of cigar ashes--in fact, I have written a monograph upon the subject. I flatter myself that I can distinguish at a glance the ash of any known brand, either of cigar or of tobacco."""
78,"""Ah, that was a more daring shot, though I have no doubt that I was right. You must not ask me that at the present state of the affair."""
79,"""You sum up the difficulties of the situation succinctly and well,"""
80,"""As to poor Lestrade's discovery it was simply a blind intended to put the police upon a wrong track, by suggesting Socialism and secret societies. It was not done by a German. The A, if you noticed, was printed somewhat after the German fashion."""
81,"""Now, a real German invariably prints in the Latin character, so that we may safely say that this was not written by one, but by a clumsy imitator who overdid his part."""
82,"""I'm not going to tell you much more of the case, Doctor. You know a conjuror gets no credit when once he has explained his trick, and if I show you too much of my method of working, you will come to the conclusion that I am a very ordinary individual after all."""
83,"""I'll tell you one other thing. Patent-leathers and Square-toes came in the same cab, and they walked down the pathway together as friendly as possible--arm-in-arm, in all probability."""
84,"""Patent-leathers stood still while Square-toes walked up"
85,""""
86,"though. What did you do next?"""
87,""""
88,""""
89,""""
90,""""
91,"Rance, that you will never rise in the force. That head of yours should be for use as well as ornament. You might have gained your sergeant's stripes last night. The man whom you held in your hands is the man who holds the clue of this mystery, and whom we are seeking. There is no use of arguing about it now; I tell you that it is so. Come along, Doctor."""
92,""""
93,"and not taking advantage of it."""
94,"man, the ring: that was what he came back for. If we have no other way of catching him, we can always bait our line with the ring. I shall have him, Doctor--I'll lay you two to one that I have him. I must thank you for it all. I might not have gone but for you, and so have missed the finest study I ever came across: a study in scarlet, eh? Why shouldn't we use a little art jargon. There's the scarlet thread of murder running through the colourless skein of life, and our duty is to unravel it, and isolate it, and expose every inch of it. And now for lunch, and then for Norman Neruda. Her attack and her bowing are splendid. What's that little thing of Chopin's she plays so magnificently: Tra-la-la-lira-lira-lay."""
95,quote
96,"""And then?"""
97,"""Oh, you can leave me to deal with him then. Have you any arms?"""
98,"""You had better clean it and load it. He will be a desperate man, and though I shall take him unawares, it is as well to be ready for anything."""
99,"""The plot thickens,"" he said, as I entered; ""I have just had an answer to my American telegram. My view of the case is the correct one."""
100,"""My fiddle would be the better for new strings,"" he remarked. ""Put your pistol in your pocket. When the fellow comes speak to him in an ordinary way. Leave the rest to me. Don't frighten him by looking at him too hard."""
101,"""It is eight o'clock now,"""
102,"""Yes. He will probably be here in a few minutes. Open the door slightly. That will do. Now put the key on the inside. Thank you!"
103,"""This is a queer old book I picked up at a stall yesterday--De Jure inter Gentes--published in Latin at Liege in the Lowlands, in 1642."""
104,"""Philippe de Croy, whoever he may have been. On the fly-leaf, in very faded ink, is written 'Ex libris Guliolmi Whyte.' I wonder who William Whyte was. Some pragmatical seventeenth century lawyer, I suppose."""
105,"""Here comes our man, I think."""
106,"""Does Dr. Watson live here?"""
107,"""You had better clean it and load it. He will be a desperate man, and though I shall take him unawares, it is as well to be ready for anything."""
108,"""My fiddle would be the better for new strings,"" he remarked. ""Put your pistol in your pocket. When the fellow comes speak to him in an ordinary way. Leave the rest to me. Don't frighten him by looking at him too hard."""
109,"""The plot thickens,"" he said, as I entered; ""I have just had an answer to my American telegram. My view of the case is the correct one."""
110,"""My fiddle would be the better for new strings,"" he remarked. ""Put your pistol in your pocket. When the fellow comes speak to him in an ordinary way. Leave the"
111,quote
112,"""Old woman be damned!"""
113,"""We were the old women to be so taken in. It must have been a young man, and an active one, too, besides being an incomparable actor. The get-up was inimitable. He saw that he was followed, no doubt, and used this means of giving me the slip. It shows that the man we are after is not as lonely as I imagined he was, but has friends who are ready to risk something for him. Now, Doctor, you are looking done-up. Take my advice and turn in."""
114,"""Un sot trouve toujours un plus sot qui l'admire."""
115,"""'Tention!"""
