number,quote
1,quote
2,"""Well, Watson, what do you make of it?"""
3,"""How did you know what I was doing? I believe you have eyes in the back of your head."""
4,"""I have, at least, a well-polished, silver-plated coffee-pot in front of me,"""
5,"""But, tell me, Watson, what do you make of our visitor's stick? Since we have been so unfortunate as to miss him and have no notion of his errand, this accidental souvenir becomes of importance. Let me hear you reconstruct the man by an examination of it."""
6,"""I think,"" said I, following as far as I could the methods of my companion, ""that Dr. Mortimer is a successful, elderly medical man, well-esteemed since those who know him give him this mark of their appreciation."""
7,"""Good!"" said Holmes."
8,"""I think also that the probability is in favour of his being a country practitioner who does a great deal of his visiting on foot."""
9,"""Why so?"""
10,"""Because this stick, though originally a very handsome one has been so knocked about that I can hardly imagine a town practitioner carrying it. The thick-iron ferrule is worn down, so it is evident that he has done a great amount of walking with it."""
11,"""Perfectly sound!"""
12,"""And then again, there is the 'friends of the C.C.H.' I should guess that to be the Something Hunt, the local hunt to whose members he has possibly given some surgical assistance, and which has made him a small presentation in return."""
13,"""Really, Watson, you excel yourself,"""
14,"""I am bound to say that in all the accounts which you have been so good as to give of my own small achievements you have habitually underrated your own abilities. It may be that you are not yourself luminous, but you are a conductor of light. Some people without possessing genius have a remarkable power of stimulating it. I confess, my dear fellow, that I am very much in your debt."""
15,"""He had never said as much before, and I must admit that his words gave me keen pleasure, for I had often been piqued by his indifference to my admiration and to the attempts which I had made to give publicity to his"
16,quote
17,"""My dear fellow, how can you possibly be so sure of that?"""
18,"""For the very simple reason that I see the dog himself on our very"
19,"and there is the ring of its owner. Don't move, I beg you,"
20,and your presence may
21,"Watson,"
22,
23,"the man of science, ask of Sherlock Holmes, the specialist"
24,"""A presentation, I see."""
25,"""From Charing Cross Hospital?"""
26,"""Dear, dear, that's bad!"""
27,"""Come, come, we are not so far wrong, after all,"""
28,"""And now, Dr. James Mortimer--"""
29,"""No, this is my friend Dr. Watson."""
30,"""Glad to meet you, sir. I have heard your name mentioned in"
31,Mr.
32,"sir, until the original is available, would be an ornament to"
33,but
34,"""You are an enthusiast in your line of thought, I perceive, sir, as I am in"
35,""""
36,"""I observe from your forefinger that you make your own cigarettes. Have no hesitation in lighting one."""
