number,quote
1,quote
2,
3,which is likely Watson.)
4,quote
5,"""You're surprised to see me, sir,"""
6,"""Well, I've a conscience, sir, and when I chanced to see you go into this house, as I came hobbling after you, I thought to myself, I'll just step in and see that kind gentleman, and tell him that if I was a bit gruff in my manner there was not any harm meant, and that I am much obliged to him for picking up my books."""
7,"""You make too much of a trifle,"""
8,"""Well, sir, if it isn't too great a liberty, I am a neighbour of yours, for you'll find my little bookshop at the corner of Church Street, and very happy to see you, I am sure. Maybe you collect yourself, sir; here's British Birds, and Catullus, and The Holy War--a bargain every one of them. With five volumes you could just fill that gap on that second shelf. It looks untidy, does it not, sir?"""
9,"""My dear Watson,"""
10,"""I owe you a thousand apologies. I had no idea that you would be so affected."""
11,"""Wait a moment,"""
12,"""Are you sure that you are really fit to discuss things? I have given you a serious shock by my unnecessarily dramatic reappearance."""
13,"""I am all right, but indeed, Holmes, I can hardly believe my eyes. Good heavens, to think that you--you of all men--should be standing in my study!"""
14,"""Well, you're not a spirit, anyhow,"""
15,"""My dear chap, I am overjoyed to see you. Sit down and tell me how you came alive out of that dreadful chasm."""
16,"""I am glad to stretch myself, Watson,"""
17,"""It is no joke when a tall man has to take a foot off his stature for several hours on end. Now, my dear fellow, in the matter of these explanations we have, if I may ask for your co-operation, a hard and dangerous night's work in front of us. Perhaps it would be better if I gave you an account of the whole situation when that work is finished."""
18,"""You'll come with me to-night?"""
19,"""When you like and where you like."""
20,"""This is indeed like the old days. We shall have time for a mouthful of dinner before we need go"
21,quote
22,"but I was well assured from the bearing of this master huntsman that the adventure was a most grave one, while the sardonic smile which occasionally broke through his ascetic gloom boded little good for the object of our quest."
23,"my dear Watson,"" said he, ""and I have a piece of work for us both to-night which, if we can bring it to a successful conclusion, will in itself justify a man's life on this planet."""
24,""" he answered. ""We have three years of the past to discuss. Let that suffice until half-past nine, when we start upon the notable adventure of the empty house."""
25,quote
26,"""Do you know where we are?"""
27,"""Surely that is Baker Street,"""
28,"""Exactly. We are in Camden House, which stands opposite to our own old quarters."""
29,"""But why are we here?"""
30,"""Because it commands so excellent a view of that picturesque pile."""
31,"""Might I trouble you, my dear Watson, to draw a little nearer to the window, taking every precaution not to show yourself, and then to look up at our old rooms—"""
32,"""We will see if my three years of absence have entirely taken away my power to surprise you."""
33,"""Well?"""
34,"""I trust that age doth not wither nor custom stale my infinite variety,'"""
35,"""It really is rather like me, is it not?"""
36,"""The credit of the execution is due to Monsieur Oscar Meunier, of Grenoble, who spent some days in doing the moulding."""
37,"""Because, my dear Watson, I had the strongest possible reason for wishing certain people to think that I was there when I was really elsewhere."""
38,"""And you thought the rooms were watched?"""
39,"""I knew that they were watched."""
40,"""By whom?"""
41,"""By my old enemies, Watson. By the charming society whose leader lies in the Reichenbach Fall."""
42,"""How do you know?"""
43,"""Because I recognised their sentinel when I glanced out of my window."""
44,"""That is the man who is after me to-night, Watson, and that is the man who is quite unaware that we are after him."""
