number,quote
1,quote
2,"""If it isn’t Captain Hastings back from the wilds of the what do you call it! Quite like old days seeing you here with Monsieur Poirot. You’re looking well, too. Just a little bit thin on top, eh? Well, that’s what we’re all coming to. I’m the same.”"
3,"""Well, I never,"""
4,"""You’re looking well, too. Just a little bit thin on top, eh? Well, that’s what we’re all coming to. I’m the same.”"
5,"""Quite like old days seeing you here with Monsieur Poirot. You’re looking well, too. Just a little bit thin on top, eh? Well, that’s what we’re all coming to. I’m the same.”"
6,"""You’re looking well, too. Just a little bit thin on top, eh? Well, that’s what we’re all coming to. I’m the same.”"
7,"""You’re looking well, too. Just a little bit thin on top, eh? Well, that’s what we’re all coming to. I’m the same.”"
8,"""Oh, he’s here, there and everywhere. Never been so celebrated as since he retired."""
9,"""That’s an idea, that is. Ought to be put in a book."""
10,"""Ha ha! That would be a joke, that would,"""
11,"""Ha ha! That would be a joke, that would,"""
12,"""Have you heard about Monsieur Poirot’s anonymous letter?"""
13,"""Of course, It had quite slipped my memory. Let me see, what was the date mentioned?"""
14,"""That’s what I dropped in about. Yesterday was the 21st and just out of curiosity I rang up Andover last night. It was a hoax all right. Nothing doing. One broken shop window—kid throwing stones—and a couple of drunk and disorderlies. So just for once our Belgian friend was barking up the wrong tree."""
15,"""You’d quite got the wind up about it, hadn’t you?"""
16,"""Bless you, we get dozens of letters like that coming in every day! People with nothing better to do and a bit weak in the top storey sit down and write ’em. They don’t mean any harm! Just a kind of excitement."""
17,""""
18,"” he said. “’Allo. Yes, it is Hercule Poirot speaking.”"
19,we will come….”
20,I will bring it. A tout à l’heure then.”
21,inspector?”
22,quote
23,"It doesn’t read like Ascher,”"
24,I doubt if Ascher would use the term ‘our’ British police—not unless he was trying to be extra cunning—and I doubt if he’s got the wits for that.
25,Then the man’s a wreck—all to pieces. His hand’s too shaky to print letters clearly like this.
26,"It’s good quality notepaper and ink, too. It’s odd that the letter should mention the 21st of the month. Of course it might be coincidence."
27,That is possible—yes.
28,"But I don’t like this kind of coincidence, Mr. Poirot. It’s a bit too pat."
29,Do you know anything of Mrs. Ascher’s past?
30,She’s a Hampshire woman. Went into service as a girl up in London—that’s where she met Ascher and married him.
31,"They were in London then. She came back here to get away from him, but he got wind of where she was and followed her down here, pestering her for money—"
32,"Yes, Briggs, what is it?"
33,"It’s the man Ascher, sir. We’ve brought him in."
34,Where was he?
35,Hiding in a truck on the railway siding.
36,"What do you want with me? I have not done nothing. It is a shame and a scandal to bring me here! You are swine, how dare you?"
37,"No, no, I do not mean that—you would not hurt a poor old man—not be hard on him. Everyone is hard on poor old Franz. Poor old Franz."
38,"That’ll do, Ascher,”"
39,Pull yourself together. I’m not charging you with anything—yet. And you’re not bound to make a statement unless you like.
40,I did not kill her! I did not kill her! It is all lies! You are god-damned English pigs—all against me. I never kill her—never.
41,"You threatened to often enough, Ascher."
42,"No, no. You do not understand. That was just a joke—a good joke between me and Alice. She understood."
43,"Funny kind of joke! Do you care to say where you were yesterday evening, Ascher?"
44,"Yes, yes—I tell you everything. I did not go near Alice. I am with friends—good friends. We are at the Seven Stars"
45,"I believe?"""
46,""""
47,quote
48,quote
49,
50,there are no quotes attributed to this character.
51,quote
52,quote
53,quote
54,"""Nobody else?"""
55,"""Well—er—Miss Grey."""
56,"""Yes. You see, Miss Grey was with my brother for over two years. She knows the countryside and the people round, and everything. I’ve been away for a year and a half."""
57,"""Let me see, on the morning of the day Car was killed I went off sailing. Caught eight mackerel. Lovely out there on the bay. Lunch at home. Irish stew, I remember. Slept in the hammock. Tea. Wrote some letters, missed the post, and drove into Paignton to post them. Then dinner and—I’m not ashamed to say it—reread a book of E. Nesbit’s that I used to love as a kid. Then the telephone rang—"""
58,"""No further. Now reflect, Mr. Clarke, did you meet anyone on your way down to the sea in the morning?"""
59,"""Lots of people."""
60,"""Can you remember anything about them?"""
61,"""Not a damned thing now."""
62,"""Sure?"""
63,"""Well—let’s see—I remember a remarkably fat woman—she wore a striped silk dress and I wondered why—had a couple of kids with her—two young men with a fox terrier on the beach throwing stones for it—Oh, yes, a girl with yellow hair squeaking as she bathed—funny how things come back—like a photograph developing."""
64,"""You are a good subject. Now later in the day—the garden—going to the post—"""
65,"""The gardener watering…Going to the post? Nearly ran down a bicyclist—silly woman wobbling and shouting to a friend. That’s all, I’m afraid."""
66,"""I gave her a piece of my mind,"" said Megan."
67,"""And what else? She conversed of what?"""
68,"""She talked about being hard up—of a hat and a couple of summer frocks she’d just bought. And a little of Don…She also said she disliked Milly Higley—that’s the girl at the café—and we laughed about the Merrion woman who keeps the café…I don’t remember anything else…."""
69,"""She didn’t mention any man—forgive me, Mr. Fraser—she might be meeting?"""
70,"""“Must"
71,quote
72,""""
73,quote
74,“I’m glad I showed it to you anyway.”
75,quote
76,"“That’s about as bad a witness as you’ll find,”"
77,“It’s perfectly clear that he hasn’t the faintest idea what our man looks like. Let’s have the commissionaire back.”
78,“Why not?”
79,“I’m afraid it’s no good expecting a lunatic to have reasons for what he does.”
80,quote
81,Just as well he didn’t tumble to it
82,There’ll be a couple of them—eh?
83,You think that when A B C finds out his mistake he might try again?
84,"It’s a possibility. Seems a methodical sort of chap, A B C. It will upset him if things don’t go according to programme."
85,Have patience
86,"You seem very confident, M. Poirot. Got any reason for this optimism?"
87,"Up to now, the murderer has not made a mistake. He is bound to make one soon."
