number,quote
1,quote
2,"‘Morning, gentlemen,’"
3,"’I’ve got reason to believe you’ve got one of my birds here. Escaped last night, he did.’"
4,"’Not got away again, has he?’"
5,"’You don’t say so. Well, I dare say it’s best for all parties.’"
6,’Was he—dangerous?’
7,"’Homicidal, d’you mean? Oh, no. Harmless enough. Persecution mania very acute. Full of secret societies from China that had got him shut up. They’re all the same.’"
8,’How long has he been shut up?’
9,’A matter of two years now.’
10,’I see.’
11,"’If he was sane, what would he be doing in a lunatic asylum? They all say they’re sane, you know.’"
12,quote
13,"""“No, Hastings, Number Four has left no trace, and he knows it. His visit we may call a reconnaissance. Perhaps he wanted to make quite sure that Mayerling was dead, but more likely, I think, he came to see Hercule Poirot, and to have speech with the adversary whom alone he must fear.”"
14,"""“And what about the inquest?”"
15,"""“And to what end? Can we produce anything to impress a coroner’s jury of your solid Britishers? Is our description of Number Four of any value? No; we shall allow them to call it ‘Accidental Death,’ and maybe, although I have not much hope, our clever murderer will pat himself on the back that he deceived Hercule Poirot in the first round.”"
16,"""“Poirot was right as usual. We saw no more of the man from the asylum, and the inquest, at which I gave evidence, but which Poirot did not even attend, aroused no public interest.”"
17,"""“As, in view of his intended trip to South America, Poirot had wound up his affairs before my arrival, he had at this time no cases in hand, but although he spent most of his time in the flat I could get little out of him. He remained buried in an armchair, and discouraged my attempts at conversation.”"
18,"""“And then one morning, about a week after the murder, he asked me if I would care to accompany him on a visit he wished to make.”"
19,"""“I was pleased, for I felt he was making a mistake in trying to work things out so entirely on his own, and I wished to discuss the case with him.”"
20,"""“But I found he was not communicative. Even when I asked where we were going, he would not answer.”"
21,"""“Poirot loves being mysterious. He will never part with a piece of information until the last possible moment. In this instance, having taken successively a bus and two trains, and arrived in the neighbourhood of one of London’s most depressing southern suburbs, he consented at last to explain matters.”"
22,"""“Indeed! Who is he?”"
23,"""“Who is he?”"
24,"""“Who is he?”"
25,"""“How did they get him?”"
26,"moosior,"""
27,quote
28,"""Halliday's disappeared."""
29,"""Never is—when a man disappears that way."" Japp winked."
30,"""Paris."""
31,"""Went over there on scientific work—so he said. Of course, he’d have to say something like that. But you know what it means when a man disappears over there. Either it’s Apache work, and that’s the end of it—or else it’s voluntary disappearance—and that’s a great deal the commoner of the two, I can tell you. Gay Paree and all that, you know. Sick of home life. Halliday and his wife had had a tiff before he started, which all helps to make it a pretty clear case."""
32,"""Say, mister,"" what’s this Big Four idea?"""
33,"""A Frenchwoman, eh?"" The American whistled. “And Halliday disappeared in France. Maybe there’s something in this. What’s her name?”"
34,"""But it’s a mighty big proposition, eh?” suggested the other."
35,"""Go on with you, moosior,” said Japp good-humouredly. I’ve read of supercriminals many a time, but I’ve never come across them. Well, you’ve heard Captain Kent’s story. Anything further I can do for you?”"
36,"""I’ve read of supercriminals many a time, but I’ve never come across them. Well, you’ve heard Captain Kent’s story. Anything further I can do for you?”"
37,"""Go on with you, moosior,” said Japp good-humouredly."
38,
39,the character:
40,quote
41,"""You mean,"""
42,"""Your bright intellect has grasped the idea, Hastings. Yes, I do. The tone in which you said multimillionaire was eloquent but let me impress upon you one fact—this thing is being run by men at the top—and Mr. Ryland has the reputation of being no beauty in his business dealings. An able, unscrupulous man, a man who has all the wealth that he needs, and is out for unlimited power."""
43,"""That is just it. I am not sure. I cannot be sure. Mon ami, I would give anything to know. Let me but place Number Two definitely as Abe Ryland, and we draw nearer to our goal."""
44,"""He has just arrived in London, I see by this,"""
45,"""I might do so."""
46,"""My friend, an occasion stupendous, unprecedented, never to be repeated, has presented itself! But there is danger, grave danger. I should not even ask you to attempt it."""
47,"""I would do it, myself, mon ami,"""
48,"""But, see you, it is almost impossible for me to disguise myself in the needful manner. I speak the English very well—except when I am excited—but hardly so as to deceive the ear; and even though I were to sacrifice my moustaches, I doubt not but that I should still be recognizable as Hercule Poirot."""
49,"""I doubted it also, and declared myself ready and willing to take up the part and penetrate into Ryland’s household."""
50,"""Ten to one he won’t engage me anyway,"""
51,"""Oh, yes, he will. I will arrange for you such testimonials as shall make him lick his lips. The Home Secretary himself shall recommend you."""
52,"""Oh, yes, he will do it. I investigated for him a little matter which might have caused a grave scandal. All was solved with discretion and delicacy, and now, as you would say, he perches upon my hand like the little bird and pecks the crumbs."""
53,"""Your name,"""
