number,quote
1,quote
2,"The mater will be delighted to see you again—after all those years,"
3,Your mother keeps well?
4,"Oh, yes. I suppose you know that she has married again?"
5,I am afraid I showed my surprise rather plainly.
6,Your mother keeps well?
7,"Oh, yes. I suppose you know that she has married again?"
8,Difficult! It's damnable!
9,"Got a drop or two of petrol still, you see,"
10,"My dear fellow, that's just what I want."
11,"Oh, it's pleasant enough if you want to lead the idle life."
12,That's not your wife?
13,Here's our wounded hero! Mr. Hastings—Miss Howard.
14,Weeds grow like house afire. Can’t keep even with ’em. Shall press you in. Better be careful!
15,I’m sure I shall be only too delighted to make myself useful.
16,Don't say it. Never does.
17,"Alfred? I’ll write to Lady Tadminster for the second day, myself. Or shall we wait until we hear from the Princess? In case of a refusal, Lady Tadminster might open it the first day, and Mrs. Crosbie the second. Then there’s the Duchess—about the school fête.”"
18,"certainly. After tea will do quite well. You are so thoughtful, Alfred dear.”"
19,quote
20,"“Look here, Mary, there’s the deuce of a mess. Evie’s had a row with Alfred Inglethorp, and she’s off.”"
21,“Evie? Off?”
22,"“Yes; you see she went to the mater, and—oh, here’s Evie herself.”"
23,"“At any rate,” she burst out, “I’ve spoken my mind!”"
24,"“My dear Evelyn,” cried Mrs. Cavendish, “this can’t be true!”"
25,"“True enough! Afraid I said some things to Emily she won’t forget or forgive in a hurry. Don’t mind if they’ve only sunk in a bit. Probably water off a duck’s back, though. I said right out: ‘You’re an old woman, Emily, and there’s no fool like an old fool. The man’s twenty years younger than you, and don’t you fool yourself as to what he married you for. Money! Well, don’t let him have too much of it. Farmer Raikes has got a very pretty young wife. Just ask your Alfred how much time he spends over there.’ She was very angry. Natural! I went on: ‘I’m going to warn you, whether you like it or not. That man would as soon murder you in your bed as look at you. He’s a bad lot. You can say what you like to me, but remember what I’ve told you. He’s a bad lot!’ ”"
26,“Darling Alfred” “dearest Alfred” “wicked calumnies” “wicked lies” “wicked woman” “to accuse her ‘dear husband!’ The sooner I left her house the better. So I’m off.”
27,“But not now?”
28,“This minute!”
29,"“Mr. Hastings, you’re honest. I can trust you?”"
30,"“Look after her, Mr. Hastings. My poor Emily. They’re a lot of sharks—all of them. Oh, I know what I’m talking about. There isn’t one of them that’s not hard up and trying to get money out of her. I’ve protected her as much as I could. Now I’m out of the way, they’ll impose upon her.”"
31,"“Above all, Mr. Hastings, watch that devil—her husband!”"
32,"“Young man, trust me. I’ve lived"
33,quote
34,
35,”
36,quote
37,
38,
39,"Dorcas, it is my business to know things. Is this the key that was lost?”"
40,quote
41,"A scribbled-over old envelope, and a freshly planted bed of begonias."
42,"I ought to know—my own father was a doctor. That little Wilkins is about the greatest fool that even I have ever seen. Heart seizure! Sort of thing he would say. Anyone with any sense could see at once that her husband had poisoned her. I always said he’d murder her in her bed, poor soul. Now he’s done it. And all you can do is to murmur silly things about ‘heart seizure’ and ‘inquest on Friday.’ You ought to be ashamed of yourself, John Cavendish."
43,What do you mean?
44,"Are you so sure it is a coincidence, Cavendish?"
45,What do you mean?
46,"Your mother, you tell me, had a violent quarrel with—someone yesterday afternoon—"
47,What do you mean?
48,"In consequence of that quarrel, your mother very suddenly and hurriedly makes a new will. The contents of that will we shall never know. She told no one of its provisions. This morning, no doubt, she would have consulted me on the subject—but she had no chance. The will disappears, and she takes its secret with her to her grave. Cavendish, I much fear there is no coincidence there. Monsieur Poirot, I am sure you agree with me that the facts are very suggestive."
49,"Suggestive, or not, we are most grateful to Monsieur Poirot for elucidating the matter. But for him, we should never have known of this will. I suppose I may not ask you, monsieur, what first led you to suspect the fact?"
50,"A scribbled-over old envelope, and a freshly planted bed of begonias."
51,"I think, would have pressed his questions further, but at that moment the loud purr of a motor was audible, and we all turned to the window as it swept past."
52,Wells.”
53,"There is a woman with a head and a heart too, Hastings. Though the good God gave her no beauty!"
54,"Miss Howard, I am glad she has come. There is a woman with a head and a heart too, Hastings. Though the good God gave her no beauty!"
55,I think
56,quote
57,
58,quote
59,
60,quote
61,Then what is your explanation of Mr. Mace’s statement?
62,"Why, if it isn’t Mr. Poirot!"
63,"You’ve heard me speak of Mr. Poirot? It was in 1904 he and I worked together—the Abercrombie forgery case—you remember, he was run down in Brussels. Ah, those were great days, Moosier. Then, do you remember ‘Baron’ Altara? There was a pretty rogue for you! He eluded the clutches of half the police in Europe. But we nailed him in Antwerp—thanks to Mr. Poirot here."
64,"No, indeed. Pretty clear case I should say."
65,"Hold your fire, Summerhaye,” he remarked jocularly."
