number,quote
1,quote
2,"""The train standing at Platform 3,"""
3,”
4,”
5,lady.”
6,”
7,”
8,”
9,”
10,please.”
11,”
12,strangled! I saw it—through there.”
13,quote
14,"Most distressing for you, Elspeth, and surely most unusual."
15,Most unlikely story.
16,"I recollect myself being interested when a train ran parallel to one on which I was travelling, to notice what a vivid and intimate picture one got of what was going on in one or two of the carriages."
17,"Yes, yes, I quite understand. How was she dressed?"
18,It's something.
19,"You feel quite sure, in your own mind, that the girl was—dead?"
20,Of course not.
21,"We shall know more, I expect, in the morning."
22,Yes—I think that that is what he would do.
23,quote
24,“The garden is not looking at all as it should.”
25,"“Oh, I know. Course, there’s no question of my being forbidden to stoop, but really, especially after meals—and having put on weight”—she looked down at her ample proportions—“it does bring on heartburn.”"
26,“Well?”
27,“I know.”
28,"“I think, we might walk down to the police station and talk to Sergeant Cornish. He’s intelligent and patient, and I know him very well, and he knows me. I think he’ll listen—and pass the information on to the proper quarter.”"
29,"“Now what can we do for you, Miss Marple?”"
30,"“I would like you, please, to listen to my friend Mrs. McGillicuddy’s story.”"
31,“That’s a very extraordinary story.”
32,“I know what I saw.”
33,"“You reported it to the railway officials, and you’ve come and reported it to me. That’s the proper procedure and you may rely on me to have inquiries instituted.”"
34,"“Go on, Jane,”"
35,“Anyone can be mistaken.”
36,"“Say it was all a mistake! Say I imagined the whole thing! That’s what you think now, isn’t it?”"
37,"“I still think, you know, that you were most probably not mistaken… You use glasses for reading, but you’ve got very good far sight—and what you saw impressed you very powerfully. You were definitely suffering from shock when you arrived here.”"
38,“It’s a thing I shall never forget.”
39,"“I don’t think, that there’s anything more you can do about it.”"
40,"“That’s a relief, in a way,”"
41,"“Oh, no,”"
42,“And if the police choose to be stupid—”
43,"“Oh, no,”"
44,"“Say it was all a mistake! Say I imagined the whole thing! That’s what you think now, isn’t it?”"
45,"“One wants to know,”"
46,quote
47,"“You’re getting deaf, Jane.”"
48,"“Just a little, perhaps. People do not seem to me to enunciate their words as clearly as they used to do. But it wasn’t that I did not hear you. I’m afraid I wasn’t paying attention.”"
49,"“I wonder, Elspeth, if you would mind going up by the 12:15? We could have an early lunch.”"
50,"“And I wonder, too, if Margaret would mind if you didn’t arrive for tea—if you arrived about seven, perhaps?”"
51,"“I suggest, Elspeth, that I should travel up to London with you, and that we should travel down again as far as Brackhampton in the train you travelled by the other day. You would then return to London from Brackhampton and I would come on here as you did. I, of course, would pay the fares.”"
52,"“But I confess I should like to see for myself, under your guidance, the—the—really it is most difficult to find the correct term—the terrain of the crime.”"
53,“So accordingly on the following day Miss Marple and Mrs. McGillicuddy found themselves in two opposite corners of a first-class carriage speeding out of London by the 4:50 from Paddington.”
54,“We’re due in Brackhampton in five minutes.”
55,“I expect we’re coming into Brackhampton.”
56,"“We’re getting into the outskirts, I think.”"
57,“We’ll be there in a minute.”
58,"“I’m afraid not,”"
59,"“All the same,”"
60,“This train’s just a few minutes late. Was yours on time on Friday?”
61,"“It is not,”"
62,"“But I confess I should like to see for myself, under your guidance, the…the…the… really it is most difficult to find the correct term…the terrain of the crime.”"
63,"“Don’t stand about in the cold, Elspeth. Or you’ll be the one to catch a chill. Go and get yourself a good hot cup of tea in the Restaurant Room. You’ve got time, twelve minutes before your train back to town.”"
64,“I’m
65,quote
66,"""I don't know,"""
67,"""Oh, poking her nose into things. Why maps, I wonder?"""
68,"""Of course!"""
69,quote
70,"""It's very simple, really,"" said Miss Marple. “Unusual, but simple. I want you to find a body.”"
71,"""A woman's body,"" said Miss Marple. “The body of a woman who was murdered—strangled actually—in a train.”"
72,"""Elspeth McGillicuddy doesn’t imagine things,"" said Miss Marple. “That’s why I’m relying on what she said. If it had been Dorothy Cartwright, now—it would have been quite a different matter. Dorothy always has a good story, and quite often believes it herself, and there is usually a kind of basis of truth but certainly no more. But Elspeth is the kind of woman who finds it very hard to make herself believe that anything at all extraordinary or out of the way could happen. She’s almost unsuggestible, rather like granite.”"
73,"""I was very much impressed by you,"" said Miss Marple, “and you see, I haven’t got the physical strength nowadays to get about and do things.”"
74,"""Oh, no,"" said Miss Marple. “They haven’t been slack. It’s just that I’ve got a theory about the woman’s body. It’s got to be somewhere. If it wasn’t found in the train, then it must have been pushed or thrown out of the train—but it hasn’t been discovered anywhere on the line. So I travelled down the same way to see if there was anywhere where the body could have been thrown off the train and yet wouldn’t have been found on the line—and there was. The railway line makes a big curve before getting into Brackhampton, on the edge of a high embankment. If a body were thrown out there, when the train was leaning at an angle, I think it would pitch right down the embankment.”"
75,"""But surely it would still be found—even there?"""
