number,quote
1,"’ she muttered, ‘I know.’"
2,” she said encouragingly. “Most interesting.”
3,"Miss Marple dropped her eyelids in a fluttery fashion, and Major Palgrave continued his bowdlerized version of tribal customs whilst Miss Marple resumed her thoughts of her affectionate nephew."
4,but the above list only includes explicit dialogue lines spoken by her.)
5,quote
6,“Now don’t you agree?”
7,“I don’t really feel that I’ve got sufficient experience to judge. I’m afraid I’ve led rather a sheltered life.”
8,"“And so you should, dear lady, so you should.”"
9,“You’ve had such a very varied life.”
10,“Not bad.”
11,"“Does anything ever happen here, I wonder?”"
12,"“Oh rather. Plenty of scandals—eh what? Why, I could tell you—”"
13,"“Nothing to get your teeth into in scandals nowadays. Just men and women changing partners, and calling attention to it, instead of trying decently to hush it up and be properly ashamed of themselves.”"
14,“There was even a murder here a couple of years ago. Man called Harry Western. Made a big splash in the papers. Dare say you remember it.”
15,“There was even a murder here a couple of years ago. Man called Harry Western. Made a big splash in the papers. Dare say you remember it.”
16,"“And if you ask me, that wasn’t the only murder about that time.”"
17,“Talking of murder.”
18,“Talking of murder.”
19,"“Oh, yes, I would.”"
20,"“Oh, come, come. That’s a bit fantastic.”"
21,“If a man gets a formula that works—he won’t stop. He’ll go on.”
22,“Brides in the bath—eh?”
23,"“That kind of thing, yes.”"
24,“Doctor let me have that snap just as a curiosity—”
25,“Lots of things in here—don’t know why I keep all these things….”
26,“They were part of the Major’s stock-in-trade. They illustrated his repertoire of stories.”
27,"“Forgotten all about that business. Good-looking woman she was, you’d never suspect—now where—Ah—that takes my mind back—what tusks! I must show you—”"
28,“Like to see the picture of a murderer?”
29,"“As I was saying—I’d like to have shown you those elephant tusks—Biggest elephant I’ve ever shot—Ah, hallo!”"
30,quote
31,“Such as?”
32,“I thought she could do without bread and butter pudding very nicely for the present.”
33,"“A very nice young woman; her mother, I understand, is a widow and lives in Chichester.”"
34,“Now those people—”
35,quote
36,"It’s odd how one gets impressions, isn’t it?"
37,Mr. Dyson calls his wife ‘Lucky.’ Is that her real name or a nickname?
38,I happened to ask him.
39,"”He’s very fond of joking,”"
40,"”He’s very fond of joking,”"
41,"He’s very fond of joking,”"
42,”It’s not the same as when the Sandersons were here.”
43,”Of course we are.”
44,”You think it’s going all right? A success? We’re making a go of it?”
45,”As long as you think so.”
46,”I’m a fool.”
47,"”That was shellfish,”"
48,"”The many-splendoured weather of an English day,”"
49,is anything wrong?”
50,"dear, I am sorry."""
51,it's horrid having a death here. It makes everyone depressed. Of course—he was quite old.”
52,” said Molly.
53,"but perhaps he forgot to take his pills, or took too many of them. Like insulin, you know.”"
54,"I noticed"""
55,"can they? But it’s terribly worrying—for me and Tim, I mean. People might suggest it was something in the food.”"
56,”
57,"an elderly man like Major Palgrave—he must have been over seventy—is quite liable to die. To most people it will seem quite an ordinary occurrence—sad, but not out of the way at all.”"
58,”
59,"it had been very sudden, Miss Marple thought as she walked slowly on.”"
60,that was it—the various details were coming back to her now—
61,"he had looked up—had looked—not at her—but at something behind her—behind her right shoulder to be accurate. And he had stopped talking, his face had gone purple—and he had started stuffing back everything into his wallet with slightly shaky hands and had begun talking in a loud unnatural voice about elephant tusks!”"
62,"some distance away, in the direction of the hotel, there had been Tim Kendal and his wife; and beyond them a family group of Venezuelans. But Major Palgrave had not been looking in that direction…."
63,quote
64,Oh yes? The Hillingdons and the Dysons.
65,"Yes, that’s right. They came suddenly along laughing and talking. They sat down and ordered drinks and we all talked together. Very pleasant it was. But without thinking, Major Palgrave must have put back my snapshot into his wallet and returned it to his pocket. I wasn’t paying very much attention at the time but I remembered afterward and I said to myself—‘I mustn’t forget to ask the Major to give me back my picture of Denzil.’ I did think of it last night while the dancing and the band was going on, but I didn’t like to interrupt him just then, because they were having such a merry party together and I thought ‘I will remember to ask him for it in the morning.’ Only this morning—"
66,"Yes. That’s it. You see, it is the only one I have got and I haven’t got the negative. And I would hate to lose that snapshot, because poor Denzil died some five or six years ago and he was my favourite nephew. This is the only picture I have to remind me of him. I wondered—I hoped—it is rather tiresome of me to ask—whether you could possibly manage to get hold of it for me? I don’t really know who else to ask, you see. I don’t know who’ll attend to all his belongings and things like that. It is all so difficult. They would think it such a nuisance of me. You see, they don’t understand. Nobody could quite understand what this snapshot means to me."
67,"Of course, of course. I quite understand. A most natural feeling on your part. Actually, I am meeting the local authorities shortly—the funeral is tomorrow—and someone will be coming from the Administrator’s office to look over his papers and effects before communicating with the next of kin—all that sort of thing—If you could describe this snapshot."
68,"It was just the front of a house. And someone—Denzil, I mean—was just coming out of the front door. As I say it was taken by one of my other nephews who is very keen on flower shows—and he was photographing a hibiscus, I think, or one of those beautiful—something like antipasto—lilies. Denzil just happened to come out of"
69,quote
70,"“Of course, the Major was rather fond of Planters Punch.”"
71,“Yes. Not the best thing with blood pressure—alcohol.”
72,“Like putting cobwebs on a cut?”
73,“We always used to do that when I was a child.”
74,“Very sensible.”
75,“And a linseed poultice on the chest and rubbing in camphorated oil for a bad cough.”
76,“I see you know it all!”
77,"“No, it seems much, much better.”"
78,"“Well, we won’t say whether that’s Nature or my pills,”"
79,“But you have been most kind—I am really ashamed of taking up your time—Did you say that there were no photographs in the Major’s wallet?”
80,“Oh I’m sure you looked carefully—I didn’t mean that—I was just interested—We all tend to keep such very odd things—”
81,“Treasures from the past.”
82,“Duncan is dead. After Life’s fitful fever he sleeps well!”
83,"“Now, Jane, what are you suggesting or thinking? Are you, perhaps, just making the whole thing up? Have you really got anything to build on?”"
84,"“Oh dear,”"
85,quote
86,"I’m so sorry, so very sorry, Mrs. Hillingdon. I’m afraid I kicked you."
87,"It still seems so wonderful to be here! I’ve never been to the West Indies before, you know. I thought it was the kind of place I never should come to and here I am. All by the kindness of my dear nephew. I suppose you know this part of the world very well, don’t you, Mrs. Hillingdon?"
88,You and your—your friends—or are they relations?
89,"I suppose you know this part of the world very well, don’t you, Mrs. Hillingdon?"
90,What a fool I sound.
91,He always had so many interesting stories to tell.
92,Ghastly old bore.
93,""""
94,"he told you so?"""
95,"and eating too much, I said, 'You ought to watch your diet and your drink. You've got to think of your blood pressure at your age.' And he said he'd nothing to look out for in that line, that his blood pressure was very good for his age."""
96,"I believe,"""
97,"and eating too much, I said, 'You ought to watch your diet and your drink. You've got to think of your blood pressure at your age.' And he said he'd nothing to look out for in that line, that his blood pressure was very good for his age."""
98,"ma’am, Mrs. Kendal?”"
99,"of course,”"
100,what is it? Is anything wrong?”
101,"please, Mrs. Kendal.”"
102,what is it? Is anything wrong?”
103,he asked me about them.”
104,"’ and he looked, you see. He see there was tooth powder and indigestion pills and aspirin and cascara pills, and then these pills in a bottle called Serenite.”"
105,” repeated Molly yet again.
106,"and nodded his head. But I get to thinking afterwards. Those pills weren’t there before. I’ve not seen them in his bathroom before. The others, yes. The tooth powder and the aspirin and the aftershave lotion and all the rest. But those pills, those Serenite pills, I never noticed them before.”"
107,"” said Victoria. “I just think it’s not right, so I think I better tell you about it. Perhaps you tell doctor? Perhaps it means something. Perhaps someone put those pills there so he take them and he died.”"
108,"I don’t think that’s likely at all,” said Molly."
109,"Victoria,” she"
110,"isn't it?"""
111,""""
112,""""
113,""""
114,""""
115,quote
116,"“Oh, I think only since the Hillingdons came out here. Three or four years, not more.”"
117,"“Quiet men, like Colonel Hillingdon,”"
118,"“Quiet men, like Colonel Hillingdon,”"
119,"“Quiet men, like Colonel Hillingdon,”"
120,"“Quiet men, like Colonel Hillingdon,”"
121,“Lucky—such a curious name. Do you think Mr. Dyson has any idea of—of what might be going on?”
122,"“Now that is very well put, my dear,”"
123,"“Now that is very well put, my dear,”"
124,"“Now that is very well put, my dear,”"
125,"“Yes, it is as you say.”"
126,"“Of course I didn’t mind so much,”"
127,"“Of course I didn’t mind so much,”"
128,"“There was one story he was very fond of telling,”"
129,"“I don’t think that was exactly it,”"
130,"“He had a snapshot,”"
131,"“No,”"
132,“We were interrupted—”
133,"“People do notice things so much, don’t they?”"
134,"“Indeed,”"
135,"“Only a month,”"
136,"“Only a month,”"
137,"“It seemed—unfeeling,”"
138,"“Yes,”"
139,“Was there—any money?”
140,"“Yes, I’ve heard him,”"
141,“And some people think that he was lucky to marry a rich wife.”
142,“Are the Hillingdons well off?”
143,formatted as CSV:
144,quote
145,"""I want to ask you something, Mr. Rafiel."""
146,"“I am interested in several objects of that nature, and I shall be delighted if you will give me a subscription for them. But that wasn’t actually what I was going to ask you. What I was going to ask you was if Major Palgrave ever told you a story about a murder.”"
147,“I didn’t really know what to think. What exactly did he tell you?”
148,"“Oh,” said Miss Marple slightly taken aback, “and who did she murder?”"
149,“Poison?”
150,"“No, I think she gave him a sleeping draught and then stuck him in a gas oven. Resourceful female. Then she said it was suicide. She got off quite lightly. Diminished responsibility or something. That’s what it’s called nowadays if you’re a good-looking woman, or some miserable young hooligan whose mother’s been too fond of him. Bah!”"
151,“Oh—” said Miss Marple.
152,“Shall I find him for you?”
153,“I’ll go and look for him.”
154,"“Mr. Rafiel is asking for you,” she said."
155,"“Here we go again,” said Mr. Kendal."
156,"“I feel sorry for that chap,” said Miss Marple."
157,"“Not just now, thank you—I suppose looking after someone like Mr. Rafiel must always be rather exacting. Invalids are frequently difficult—”"
158,“I didn’t mean only that—It’s very well paid and you expect to put up with a good deal of crotchetiness—old Rafiel’s not really a bad sort. I mean more that—”
159,“It’s really awful the amount of social problems there are in a place like this.”
160,“Dr. Graham looks rather worried.”
161,“You too? Because of Major Palgrave’s death?”
162,"“Yes,” said Miss Marple."
163,“Surely a doctor—”
164,“What are the dreams about?”
165,“I have got to apologize to
166,quote
167,"“Excuse me, Miss Marple,”"
168,"“I don’t wonder your doubting me,”"
169,“I realized that you ought to have the fullest information possible—in case—”
170,“In case what?”
171,“In case you decided to take any steps about it.”
172,quote
173,"""Something has got to be done."""
174,"""I quite understand that."""
175,"""It is, perhaps, only natural that there should be chit-chat,"""
176,"""No,"""
177,"""Certainly I have,"""
178,"""It is often informative and useful."""
179,"""I very much fear so,"""
180,"""That is definite, is it?"""
181,"""Yes,"""
182,quote
183,“And they found?”
184,“Exactly! And yet everyone seems to have taken it as a fact.”
185,"“Exactly,”"
186,"“It only needs a murmur here and there,”"
187,"“You don’t say it of your own knowledge, you just say that Mrs. B. told you that Colonel C. told her.”"
188,"“Oh yes, it can be done. And the people you say it to go on and repeat it to others as if they know it of their own knowledge.”"
189,"“She mayn’t have thought of it as blackmail,”"
190,"“Why should you think I know any more than you do, Mr. Rafiel?”"
191,“Make money? Out here?”
192,“Take-over bids?”
193,"“I know he did. Damn’ boring, most of them. And you hadn’t only got to hear them once. If you got anywhere within range you heard them three or four times over.”"
194,"“I know,”"
195,"“I don’t mean specifically,”"
