number,quote
1,quote
2,"“I know, dear, I know.”"
3,"“Yes, I know. Archie, do listen.”"
4,“Oh.”
5,"“Murder Game,”"
6,“Oh.”
7,"“That’s all it is. Mind you,”"
8,"“You draw lots. One person’s the murderer, nobody knows who. Lights out. Murderer chooses his victim. The victim has to count twenty before he screams. Then the person who’s chosen to be the detective takes charge. Questions everybody. Where they were, what they were doing, tries to trip the real fellow up. Yes, it’s a good game—if the detective—er—knows something about police work.”"
9,"“Like you, Archie. You had all those interesting cases to try in your district.”"
10,"“Yes, Laura,”"
11,“Miss Blacklock ought to have asked you to help her in getting the thing up.”
12,"“Oh, well, she’s got that young cub staying with her. Expect this is his idea. Nephew or something. Funny idea, though, sticking it in the paper.”"
13,“Funny kind of invitation. I can tell you one thing. They can count me out.”
14,“Short notice. For all they know I might be busy.”
15,"“But you’re not, are you, darling?”"
16,"“And I do think, Archie, that you really ought to go—just to help poor Miss Blacklock out. I’m sure she’s counting on you to make the thing a success. I mean, you know so much about police work and procedure. The whole thing will fall flat if you don’t go and help to make it a success. After all, one must be neighbourly.”"
17,"“Of course, if you put it like that, Laura …”"
18,"“If you put it like that, Laura,”"
19,"“I really do think it’s your duty, Archie,”"
20,Bunch. You’re very clever.”
21,quote
22,"I think you’re right, Dora."
23,I don’t like it at all.
24,Nonsense.
25,It’s dangerous. I’m sure it is.
26,it’s just some silly idiot trying to be funny.
27,my dear—
28,"I can speak to you, yes, please, no?"
29,"Mitzi, what is it?"
30,I hope? I give you my notices and I go—I go at once!
31,"I am upset. I do not wish to die! Already in Europe I escape. My family they all die—they are all killed—my mother, my little brother, my so sweet little niece—all, all they are killed. But me I run away—I hide. I get to England. I work. I do work that never—never would I do in my own country—I—"
32,you mean in the Gazette?
33,"it is written here. See—here it says a murder. At Little Paddocks. That is here, is it not? This evening at 6:30. Ah! I do not wait to be murdered—no."
34,"of course not. But my dear child, if anyone wanted to murder you, they wouldn’t advertise the fact in the paper, would they?"
35,"perhaps, they do not mean to murder anyone at all? Perhaps it is you they mean to murder, Miss Blacklock."
36,why should they?
37,"my mother, my little brother, my so sweet niece…."
38,"yes. But I cannot really believe anyone wants to murder you, Mitzi. Of course, if you want to go off like this"
39,quote
40,"“There,” she said briskly, “that’s done.”"
41,“Twenty past six. Somebody ought to be here soon—unless I’m entirely wrong in my estimate of my neighbours.”
42,"“Don’t you, dear?… I dare say you wouldn’t. But most people are rather more inquisitive than you are.”"
43,"“You might move that tray—or the whole table if you like—round the corner into the bay window in the other room, Patrick, if you don’t mind. After all, I am not giving a party! I haven’t asked anyone. And I don’t intend to make it obvious that I expect people to turn up.”"
44,"“Patrick, would you mind … there’s a new bottle in the cupboard in the pantry … Bring it and a corkscrew. I—we—might as well have a new bottle. This—this has been opened some time.”"
45,"“Taking this seriously, aren’t you, darling?”"
46,"“Hush,” said Miss Blacklock quickly. “That’s the bell. You see, my intelligent anticipation is being justified.”"
47,“Are you getting any bulbs from Holland this year?”
48,"“If it’s going to begin,” she said cheerfully, “it ought to begin soon. It’s just a minute to the half hour. In the meantime, have a glass of sherry.”"
49,"“Well,” said Miss Blacklock, “I’m as much in the dark as you are. I don’t know what—”"
50,"Mitzi,”"
51,”
52,”
53,”
54,quote
55,I like having somebody young about the place.
56,Please don’t be too prejudiced against the poor thing because she’s a liar.
57,"I do really believe that, like so many liars, there is a real substratum of truth behind her lies."
58,"Quite frankly, Mitzi is a maddening person."
59,"And also, when she wants to, she can cook very nicely."
60,I’ll try not to ruffle her more than I can help.
61,Was that Miss Julia Simmons who opened the door to me?
62,Yes. Would you like to see her now? Patrick has gone out.
63,"Thank you, Miss Blacklock. I’d like to see Miss Simmons now if I may."
64,"Please tell me about last night, Miss Simmons."
65,"Oh, we all slept like logs. Reaction, I suppose."
66,"Apparently you don’t … Well, there was Colonel and Mrs. Easterbrook, Miss Hinchcliffe and Miss Murgatroyd, Mrs. Swettenham and Edmund Swettenham, and Mrs. Harmon, the Vicar’s wife."
67,The exception was Mrs. Harmon. She’s rather a pet.
68,Aunt Letty said in her dry way that it was due to happen quite soon.
69,"And then that clock chimed and just as it finished, the lights went out, the door was flung open and a masked figure said, ‘Stick ’em up, guys,’ or something like that."
70,Where was everybody when this happened?
