number,quote
1,quote
2,quote
3,"“One has to accept change, I suppose.”"
4,"“Progress,”"
5,quote
6,"""Do you always stay here when you come up, Jane? Odd I haven’t seen you here before."""
7,"""Oh no, indeed. I couldn’t afford to, and anyway, I hardly ever leave home these days. No, it was a very kind niece of mine who thought it would be a treat for me to have a short visit to London. Joan is a very kind girl—at least perhaps hardly a girl."""
8,"""Miss Marple reflected with a qualm that Joan must now be close on fifty. ""She is a painter, you know. Quite a well-known painter. Joan West. She had an exhibition not long ago."""
9,"""“This modern stuff, I suppose,” she said, her eyes wandering. “There’s Cicely Longhurst—dyed her hair again, I see.”"
10,"""“I’m afraid dear Joan is rather modern.”"
11,"""“Good idea,” said Raymond West. His last book was doing very well indeed, and he felt in a generous mood."
12,"""“She enjoyed her trip to the West Indies, I think, though it was a pity she had to get mixed-up in a murder case. Quite the wrong thing at her age.”"
13,"""“That sort of thing seems to happen to her.”"
14,"""“It’s very, very kind of you, my dear, but I really don’t think—”"
15,"""“But it’s good for you, Aunt Jane. Good to get away from home sometimes. It gives you new ideas, and new things to think about.”"
16,"""“What I would really like—” Miss Marple hesitated."
17,"""“I would really like to go to Bertram’s Hotel—in London.”"
18,"""“Bertram’s Hotel?” The name was vaguely familiar."
19,"""“I stayed there once—when I was fourteen. With my uncle and aunt, Uncle Thomas, that was, he was Canon of Ely. And I’ve never forgotten it. If I could stay there—a week would be quite enough—two weeks might be too expensive.”"
20,"""“Oh, that’s all right. Of course you shall go. I ought to have thought that you might want to go to London—the shops and everything. We’ll fix it up—if Bertram’s Hotel still"
21,quote
22,One wonders if she is happy
23,"No, indeed"
24,"No, I don't think so either"
25,"Oh yes, but I should say, wouldn't you, that men were an adventure to her, not a need?"
26,"And would any woman, Miss Marple wondered, come to Bertram’s Hotel for an assignation with a man?"
27,quote
28,"""Another day,"""
29,quote
30,"“Pockets, I suppose…And quite difficult to find….”"
31,“Would that account for that curious feeling of uneasiness she had had last night? That feeling that something was wrong…..”
32,"“All those elderly people—really very much like those she remembered when she had stayed here fifty years ago. They had been natural then—but they weren’t very natural now. Elderly people nowadays weren’t like elderly people then—they had that worried harried look of domestic anxieties with which they are too tired to cope, or they rushed around to committees and tried to appear bustling and competent, or they dyed their hair gentian blue, or wore wigs, and their hands were not the hands she remembered, tapering, delicate hands—they were harsh from washing up and detergents…..”"
33,"“And so—well, so these people didn’t look real. But the point was that they were real. Selina Hazy was real. And that rather handsome old military man in the corner was real—she had met him once, although she did not recall his name—and the Bishop (dear Robbie!) was dead.”"
34,“Miss Marple glanced at her little clock. It was eight thirty. Time for her breakfast.”
35,“She examined the instructions given by the hotel—splendid big print so that it wasn’t necessary to put one’s spectacles on.”
36,"“Meals could be ordered through the telephone by asking for Room Service, or you could press the bell labelled Chambermaid.”"
37,“Miss Marple did the latter. Talking to Room Service always flustered her.”
