number,quote
1,quote
2,"Not that I am aware of, Mrs. Reed. Why—has anyone—been saying something of the kind?"
3,You’ve never felt or seen anything yourself? Nobody’s died here?
4,"In a house which was presumably built about a hundred years ago, there would normally be deaths during that period. Miss Elworthy from whom my dear husband acquired this house seven years ago, was in excellent health, and indeed planning to go abroad and do missionary work, and she did not mention any recent demises in her family."
5,My husband died in the St. Monica’s Nursing Home.
6,quote
7,"Now don't worry, my dear child. Just tuck yourself up warmly with these hot-water bottles."
8,"Oh yes, you do. That's right. And now drink this cup of tea…."
9,"Just lie down now and go to sleep. You've had a shock, you know. We'll talk about it in the morning. Don't worry about anything. Just go to sleep."
10,quote
11,Is she all right?
12,Shock? Just seeing a Jacobean drama?
13,I think there must be a little more to it than that.
14,That you had a bad shock last night.
15,Hadn't you better tell me all about it?
16,"There are excellent mental specialists in London, of course. But are you sure it is necessary?"
17,"Well—surely—that is very nice, isn't it?"
18,"Now suppose you sit down here, dear, and just tell me all about it."
19,Last night?
20,I dare say you won't believe this.
21,Last night?
22,You'll think I'm hysterical or queer or something.
23,Are they—are they very mad with me?
24,"Oh no, my dear. They quite understand."
25,That you had a bad shock last night.
26,Hadn’t you better tell me all about it?
27,I think I’d better go and see a psychiatrist or someone.
28,"There are excellent mental specialists in London, of course. But are you sure it is necessary?"
29,Well—I think I’m going mad…
30,"Well—surely—that is very nice, isn't it?"
31,"Is it? When I’m not sure if I’m mad or not? If I’m mad I ought never to have married Giles. And the house and everything. I can’t go back there. Oh, I don’t know what to do."
32,"Now suppose you sit down here, dear, and just tell me all about it."
33,"And so I got rather frightened… And I thought I’d come up to London—get away from it all. Only, you see, I couldn’t get away from it. It followed me. Last night—"
34,Last night?
35,I dare say you won't believe this.
36,You’ll think I'm hysterical or queer or something.
37,That you had a bad shock last night.
38,Who was dead?
39,Hadn’t you better tell me all about it.
40,Why did I say that?
41,Why did
42,quote
43,"Well, I think so, my dear … I think we must face the position that if the other things are memories, that is a memory too…."
44,"I don’t suppose you knew consciously that she was strangled, that was suggested by the play last night and fits in with your adult recognition of what a blue convulsed face must mean. I think a very young child, creeping down the stairs, would realize violence and death and evil and associate them with a certain series of words—for I think there’s no doubt that the murderer actually said those words. It would be a very severe shock to a child. Children are odd little creatures. If they are badly frightened, especially by something they don’t understand, they don’t talk about it. They bottle it up. Seemingly, perhaps, they forget it. But the memory is still there deep down."
45,"One can’t remember to order. And often when one tries to, the memory goes further away. But I think there are one or two indications that that is what did happen. For instance when you told me just now about your experience in the theatre last night you used a very revealing turn of words. You said you seemed to be looking “through the banisters”—but normally, you know, one doesn’t look down into a hall through the banisters but over them. Only a child would look through."
46,"I think the obvious thing to do is to find out definitely if you ever were in England as a child, or if you could have been. Your relatives—”"
47,"“Aunt Alison. She would know, I’m sure.”"
48,Then I should write to her by airmail. Tell her circumstances have arisen which make it imperative for you to know if you have ever been in England. You would probably get an answer by airmail by the time your husband arrives.
49,"“I hope it turns out as we think. I am going to stay with some old friends of mine in the North of England the day after tomorrow. I shall be passing back through London in about ten days. If you and your husband are here then, or if you have received an answer to your letter, I should be very curious to know the result.”"
50,"“Of course, dear Miss Marple! Anyway, I want you to meet Giles. He’s a"
51,quote
52,"yes,”"
53,I think you might.”
54,”
55,"I know. There are times when it is one’s duty—an innocent person accused—suspicion resting on various other people—a dangerous criminal at large who may strike again. But you must realize that this murder is very much in the past. Presumably it wasn’t known for murder—if so, you would have heard fast enough from your old gardener or someone down there—a murder, however long ago, is always news. No, the body must have been disposed of somehow, and the whole thing never suspected. Are you sure—are you really sure, that you are wise to dig it all up again?”"
56,dear. Just advising you (because I’ve lived a long time and know how very upsetting human nature can be) to let well alone. That’s my advice: let well alone.”
57,”
58,”
59,"sea air. You’d better go to Eastbourne right away, or your health may suffer seriously.”"
60,"by accident, you turned up a fact that seemed to indicate that many years ago—nineteen or twenty—a murder had occurred. That fact was known to you alone, nothing of the kind had ever been suspected or reported. What would you do about it?”"
61,"manages to get away with it, and is darned careful never to stick his neck out again. I won’t say they live happily ever after—I don’t believe that’s true—there are many kinds of retribution. But outwardly at least all goes well. Perhaps that was so in"
62,"Haydock’s not such a fool as some doctors,"""
63,"Dolly, about that cook of yours."""
64,"Jane. You couldn’t do better. Mrs. Saunders will look after you well, and as it’s out of the season they’ll be glad to get you and won’t charge very much. With good cooking and sea air you’ll soon pick up."""
65,"Dolly,"""
66,quote
67,"“I’m afraid it’s not possible to tell you, Mr. Reed. Our records do not go back that far—not, that is, of furnished or short-period lets. Very sorry I can’t help you, Mr. Reed. As a matter of fact if our old head clerk, Mr. Narracott, had still been alive—he died last winter—he might have been able to assist you. A most remarkable memory, really quite remarkable. He had been with the firm for nearly thirty years.”"
68,“There’s no one else who would possibly remember?”
69,"“Halliday, you say? No, I don’t remember the name. Knew a boy at school in Yorkshire—but that’s seventy-odd years ago.”"
70,“Findeyson lived there. Fine woman.”
