number,quote
1,quote
2,"""Been doing some work at them new houses over at the Development. Want their gardens laid out nice, they do. More plants than they needed so I brought along a few, and I’ve put ’em in where them old-fashioned roses ain’t looking so well."""
3,"""Packets of things one’s never even heard of,"" exclaimed Miss Hartnell. “All these great packets of breakfast cereal instead of cooking a child a proper breakfast of bacon and eggs. And you’re expected to take a basket yourself and go round looking for things—it takes a quarter of an hour sometimes to find all one wants—and usually made up in inconvenient sizes, too much or too little. And then a long queue waiting to pay as you go out. Most tiring. Of course it’s all very well for the people from the Development—"""
4,"she reflected, was because obviously there came a time when oculists, in spite of their luxurious waiting rooms, the up-to-date instruments, the bright lights they flashed into your eyes, and the very high fees they charged, couldn’t do anything much more for you."
5,quote
6,"It’s the drawing room, Cherry."
7,"and,” she went on, confessing her weakness with distaste and shame, “I’ve dropped a stitch."
8,"“You will,” said Miss Marple. “I, alas, am unable to do so.”"
9,"“There,” she said after a few moments. “There you are, dear. Quite all right now.”"
10,"“Please don’t dream of hurrying back,” said Miss Marple politely and sincerely."
11,“I probably shall have” (she closed her eyes) “a little nap.”
12,“Anything I can get you?”
13,“You might go into Longdon’s and see if the curtains are ready. And perhaps another skein of the blue wool from Mrs. Wisley. And a box of black currant lozenges at the chemist’s. And change my book at the library—but don’t let them give you anything that isn’t on my list.
14,"“And if it isn’t too far for you, perhaps you wouldn’t mind going as far as Halletts and see if they have one of those up-and-down egg whisks—not the turn-the-handle kind.”"
15,“If all this isn’t too much—”
16,quote
17,"""Emily Waters, that's who she reminds me of,"""
18,"""Just the same bird brain. Let me see, what happened to Emily?"""
19,"""Nothing much, was her conclusion. She had once nearly got engaged to a curate, but after an understanding of several years the affair had fizzled out."""
20,"""That woman is just like Carry Edwards—and the dark one is just like that Hooper girl—she'll make a mess of her marriage just like Mary Hooper did."""
21,"""Those boys—the dark one is just like Edward Leeke, a lot of wild talk but no harm in him—a nice boy really—the fair one is Mrs. Bedwell's Josh all over again."""
22,"""I expect he's got the same sort of mother…."
23,"""The new world is the same as the old. The houses are different, the streets are called Closes, the clothes are different, the voices are different, but the human beings are the same as they always had been."""
24,"""By dint of turning corners in her exploration, Miss Marple had rather lost her sense of direction and had arrived at the edge of the housing estate again."""
25,"""If I were you, my dear, I shouldn't marry that young man. You want someone whom you can rely upon if you're in danger."""
26,"""Giving me the gipsy's warning if you want to know."""
27,"""You'd better come inside and sit down and rest a bit. I'll make you a cup of tea."""
28,quote
29,"“A kind woman,” she thought. “She reminds me of someone—now who is it?”"
30,"“You’ve been very kind to me,” she said, smiling."
31,"“Oh, that’s nothing. The little ministering angel, that’s me. I love helping people.”"
32,“Here’s my husband home. Arthur—we’ve got a visitor.”
33,"“This lady fell down—right outside our gate, so of course I brought her in.”"
34,"“Your wife is very kind, Mr.—”"
35,“Badcock’s the name.”
36,"“Mr. Badcock, I’m afraid I’ve given her a lot of trouble.”"
37,“Heather! What do you—”
