number,quote
1,quote
2,"“You’re going to recover completely,”"
3,"“We weren’t sure until last Tuesday when you had that final overhaul, but I can tell you so authoritatively now. But—it’s going to be a long business. A long and, if I may so, a wearisome business. When it’s a question of healing nerves and muscles, the brain must help the body. Any impatience, any fretting, will throw you back. And whatever you do, don’t ‘will yourself to get well quickly.’ Anything of that kind and you’ll find yourself back in a nursing home. You’ve got to take life slowly and easily, the tempo is marked Legato. Not only has your body got to recover, but your nerves have been weakened by the necessity of keeping you under drugs for so long."
4,"“That’s why I say, go down to the country, take a house, get interested in local politics, in local scandal, in village gossip. Take an inquisitive and violent interest in your neighbours. If I may make a suggestion, go to a part of the world where you haven’t got any friends scattered about.”"
5,"“But Jerry, you’re looking marvellous—isn’t he? Absolutely. Darling, I must tell you—What do you think Buster has done now?”"
6,"“We won’t put down cigarette ends on your nice furniture, that I do promise you. Nothing makes me so mad myself as to see people do that.”"
7,"“but you see, my dear, things are so different nowadays—taxation, of course, and then my stocks and shares, so safe, as I always imagined, and indeed the bank manager himself recommended some of them, but they seem to be paying nothing at all these days—foreign, of course! And really it makes it all so difficult. One does not (I’m sure you will understand me, my dear, and not take offence, you look so kind) like the idea of letting one’s house to strangers—but something must be done, and really, having seen you, I shall be quite glad to think of you being here—it needs, you know, young life. And I must confess I did shrink from the idea of having Men here!”"
8,"“I didn’t know,” she said in an awestruck voice, “that people really called—with cards"
9,quote
10,"It's rather like Happy Families, isn't it? Mrs. Legal the lawyer’s wife, Miss Dose the doctor’s daughter, etc."
11,Do you think they'll think I'm awful?
12,"It's rather like Happy Families, isn't it? Mrs. Legal the lawyer’s wife, Miss Dose the doctor’s daughter, etc."
13,"You must have been right about my makeup, Jerry. I suppose they think I just must be an abandoned female!"
14,"You did that beautifully. You ought to have been on the stage. It's lucky we still have fires, isn't it?"
15,quote
16,"I gather, sir, that the girl has been Upset."
17,"Oh, I see."
18,No—I suppose not.
19,"That's the best way to take it, I think. As something utterly ridiculous."
20,Quite so. Only is the word!
21,"It was an illiterate sort of letter, written by somebody practically illiterate, I should say."
22,Was it?
23,quote
24,That ought to give you time to pass the time of day with everyone in Lymstock.
25,"I have no doubt, that I shall have seen anybody who is anybody by then."
26,"Hallo, she said breathlessly as she rose and dusted herself off."
27,"I’ve been up to the farm—you know, Lasher’s—to see if they’d got any duck’s eggs."
28,They’ve got an awfully nice lot of little pigs.
29,Shouldn’t they? They all do round here.
30,You’ve torn your stocking.
31,"But it’s got two holes already, so it doesn’t matter very much, does it?"
32,"Don’t you ever mend your stockings, Megan?"
33,Rather. When Mummy catches me.
34,"But she doesn’t notice awfully what I do—so it’s lucky in a way, isn’t it?"
35,You mean I ought to be more like your sister?
36,All dolled up?
37,She’s awfully pretty.
38,"She isn’t a bit like you, is she?"
39,"It’s very rum, isn’t it?"
40,Families.
41,“I suppose they are.”
42,"“You fly, don’t you?”"
43,I crashed.”
44,” I said. “I suppose not.
45,you’re just the person I wanted to see.
46,you’re just the person I wanted to see. I want some help addressing envelopes for the Conservative Association.
47,propped up her bicycle against the kerb and dived in a purposeful way into the International Stores.
48,"” said Miss Griffith, looking after her."
49,"you know, or cookery, or keeping Angora rabbits."
50,quote
