number,quote
1,quote
2,"""“I have always been of the opinion that a clergyman should be unmarried. Why I should have urged Griselda to marry me at the end of twenty-four hours’ acquaintance is a mystery to me. Marriage, I have always held, is a serious affair, to be entered into only after long deliberation and forethought, and suitability of tastes and inclinations is the most important consideration."""
3,"” said Griselda. “But, on the whole, I think things go worse when I’m trying. I’m evidently not a housekeeper by nature. I find it better to leave things to Mary and just make up my mind to be uncomfortable and have nasty things to eat.”"
4,"” said Griselda, quickly interrupting. “Or burnt at the stake. Bad food and lots of dust and dead wasps is really nothing to make a fuss about. Tell me more about Colonel Protheroe. At any rate the early Christians were lucky enough not to have churchwardens.”"
5,” said Dennis. “No wonder his first wife ran away from him.”
6,” said my wife.
7,” I said sharply. “I will not have you speaking in that way.”
8,” said my wife affectionately. “Tell me about him. What was the trouble? Was it Mr. Hawes’s becking and nodding and crossing himself every other minute?”
9,the whole trouble arose out of Mrs. Price Ridley’s wretched pound note.”
10,"darling,” said Griselda. “You’re so transparently above suspicion that really it would be a marvellous opportunity. I wish you’d embezzle the S.P.G. funds. I hate missionaries—I always have.”"
11,” I said with a shudder.
12,"” I went on. “I must finish preparing my talk for the C.E.M.S. today. Looking up a reference, I became so engrossed in Canon Shirley’s Reality that I haven’t got on as well as I should. What are you doing this afternoon, Griselda?”"
13,” said Griselda
14,quote
15,"“You read too many detective stories, Griselda.”"
16,"“What about you?” she retorted. “I was looking everywhere for The Stain on the Stairs the other day when you were in here writing a sermon. And at last I came in to ask you if you’d seen it anywhere, and what did I find?”"
17,“I picked it up at random. A chance sentence caught my eye and….”
18,"“‘And then a very curious thing happened—Griselda rose, crossed the room and kissed her elderly husband affectionately.’” She suited the action to the word."
19,“Is that a very curious thing?”
20,"“Of course it is,” said Griselda. “Do you realize, Len, that I might have married a Cabinet Minister, a Baronet, a rich Company Promoter, three subalterns and a ne’er-do-weel with attractive manners, and that instead I chose you?”"
21,"“At the time it did,” I replied. “I have often wondered why you did it.”"
22,"“It made me feel so powerful,” she murmured. “The others thought me simply wonderful and of course it would have been very nice for them to have me. But I’m everything you most dislike and disapprove of, and yet you couldn’t withstand me! My vanity couldn’t hold out against that. It’s so much nicer to be a secret and delightful sin to anybody than to be a feather in their cap. I make you frightfully uncomfortable and stir you up the wrong way the whole time, and yet you adore me madly. You adore me madly, don’t you?”"
23,"“Naturally I am very fond of you, my dear.”"
24,"“Oh! Len, you adore me. Do you remember that day when I stayed up in town and sent you a wire you never got because the postmistress’s sister was having twins and she forgot to send it round? The state you got into and you telephoned Scotland Yard and made the most frightful fuss.”"
25,"“If you don’t mind, dear, I want to get on with the C.E.M.S.”"
26,“You don’t deserve me. You really don’t. I’ll have an affair with the artist. I will—
27,""" and shut her thin lips disapprovingly."
28,""" said Miss Marple. ""I think married ones are the worst. Remember poor Mollie Carter."""
29,"of course, notorious,"" said Miss Wetherby."
30,""" murmured Miss Marple. “I remember….”"
31,""" I said, “in these days a girl can take a post in just the same way as a man does."""
32,"you can see that."""
33,"I call it,"" continued Miss Hartnell, with her usual tactlessness. “The man must be at least twenty-five years older than she is.”"
34,"” said my wife, “that Miss Cram may just like having an interesting job? And that she considers Dr. Stone just as an employer?”"
35,"” said Miss Marple, unheeding of the protest, “you think the best of everyone.”"
36,"” said Miss Marple. “Rather a violent temper, I’m afraid. He had quite a serious quarrel with Colonel Protheroe the other day.”"
37,"and how absurd,” said Mrs. Price Ridley."
38,"but I don’t know about it being absurd,” said Miss Marple. “You remember the woman who came down here and said she represented Welfare, and after taking subscriptions she was never heard of again and proved to having nothing whatever to do with Welfare. One is so inclined to be trusting and take people at their own valuation.”"
39,"Mr. Redding, hasn’t there?"" asked Miss Wetherby."
40,quote
41,She never is. That kind of old cat is always right.
42,"You do believe me, don't you? I mean, that there's nothing between Lawrence and me."
43,"My dear Griselda, of course."
44,"I wish you weren't so terribly easy to deceive, Len. You'd believe me whatever I said."
45,"But, my dear, I do beg of you to guard your tongue and be careful of what you say. These women are singularly deficient in humour, remember, and take everything seriously."
46,"What they need, is a little immorality in their lives. Then they wouldn't be so busy looking for it in other people's."
47,If there is anything I can do—
48,quote
49,"""I thought it best to come,"""
50,“We love each other….”
51,“I suppose to you that seems very wrong?”
52,"“No—no, I suppose not.”"
53,“Are you going to tell my husband?”
54,“Oh! I know—I know. Do you think I haven’t gone over all that again and again? I’m not a bad woman really—I’m not. And things aren’t—aren’t—as you might think they are.”
55,“I’m so unhappy. Oh! I’m so dreadfully unhappy. I can’t go on. I simply can’t go on. And I don’t know what to do.”
56,"“You don’t know what my life is like. I’ve been miserable with Lucius from the beginning. No woman could be happy with him. I wish he were dead … It’s awful, but I do … I’m desperate.”"
57,quote
58,"""Nobody knows a thing about it except you, padre."""
59,"you underestimate the detective instinct of village life. In St. Mary Mead everyone knows your most intimate affairs. There is no detective in England equal to a spinster lady of uncertain age with plenty of time on her hands."""
60,""" I asked, ""that possibly Lettice might think so herself?"""
61,"he said, didn’t care a hang about him. He was sure of that."
62,"” he said. “Always seems in a kind of dream, and yet underneath I believe she’s really rather practical. I believe all that vague stuff is a pose. Lettice knows jolly well what she’s doing. And there’s a funny vindictive streak in her. The queer thing is that she hates Anne. Simply loathes her. And yet Anne’s been a perfect angel to her always."""
63,"of course, take his word for this last. To infatuated young men, their inamorata always behaves like an angel. Still, to the best of my observation, Anne had always behaved to her step-daughter with kindness and fairness. I had been surprised myself that afternoon at the bitterness of Lettice’s tone."
64,"” Dennis said again. “Going round and saying things. Not even saying them. Hinting them. No, I’m damned—sorry—if I’ll tell you! It’s too absolutely rotten.”"
65,"but I did not press him further. I wondered very much, though."
66,quote
67,"You were right in what you said about Anne. I'll only bring trouble on her by staying here. She's—she's too good for anything else. I see I've got to go. I've made things hard enough for her as it is, heaven help me."
68,"I think you have made the only decision possible. I know that it is a hard one, but believe me, it will be for the best in the end."
69,You'll look after Anne? She needs a friend.
70,You can rest assured that I will do everything in my power.
71,"Thank you, sir. You're a good sort, Padre. I shall see her to say good-bye this evening, and I shall probably pack up and go tomorrow. No good prolonging the agony. Thanks for letting me have the shed to paint in. I'm sorry not to have finished Mrs. Clement's portrait."
72,"Don't worry about that, my dear boy. Good-bye, and God bless you."
