number,quote
1,quote
2,"""My dear Mr. Shaitana,"""
3,"“Simply divine, aren’t they, my dear?”"
4,"“Alas, Monsieur,”"
5,"“I see,”"
6,"“Your tastes are catholic,”"
7,"“And what do you consider the best objects, artistically speaking, in crime?”"
8,quote
9,“It is true that I have a thoroughly bourgeois attitude to murder.”
10,“But he is still a murderer!”
11,"“I am not as insensitive to art in crime as you think. I can admire the perfect murder—I can also admire a tiger—that splendid tawny-striped beast. But I will admire him from outside his cage. I will not go inside. That is to say, not unless it is my duty to do so. For you see, Mr. Shaitana, the tiger might spring….”"
12,"“Might murder,”"
13,"“You do not quite understand me, Mr. Shaitana. My words were in the nature of a warning. You asked me just now to admit that your idea of a collection of murderers was amusing. I said I could think of another word other than amusing. That word was dangerous. I fancy, Mr. Shaitana, that your hobby might be a dangerous one!”"
14,"“You may expect me, then, on the 18th?”"
15,“Mille remerciments.”
16,“You may expect me on the 18th. Mille remerciments.”
17,quote
18,"“Such as foxhunting, eh?”"
19,"“No, no tortuous, I said.”"
20,“But certainly I am human!”
21,"“Mademoiselle, you should not be intimidated—you should be thrilled! You should have all ready your autograph book and your fountain pen.”"
22,“Alas!” he murmured. “What would I not give at this minute to be even the most minor of film stars!”
23,“I happen to be Belgian.”
24,"“Same thing where the ladies are concerned, I expect, my boy.”"
25,“But certainly I am human!”
26,“But certainly I am human!”
27,“But certainly I am human!”
28,“But certainly I am human!”
29,“But certainly I am human!”
30,“But certainly I am human!”
31,“But certainly I am human!”
32,“But certainly I am human!”
33,“But certainly I am human!”
34,“But certainly I am human!”
35,“But certainly I am human!”
36,“But certainly I am human!”
37,“But certainly I am human!”
38,“But certainly I am human!”
39,“But certainly I am human!”
40,“But certainly I am human!”
41,“But certainly I am human!”
42,“But certainly I am human!”
43,“But certainly I am human!”
44,“But certainly I am human!”
45,“But certainly I am human!”
46,“But certainly I am human!”
47,“But certainly I am human!”
48,“But certainly I am human!”
49,“But certainly I am human!”
50,“But certainly I am human!”
51,“But certainly I am human!”
52,“But certainly I am human!”
53,“But certainly I am human!”
54,“But certainly I am human!”
55,“But certainly I am human!”
56,“But certainly I am human!”
57,“But certainly I am human!”
58,“But certainly I am human!”
59,quote
60,“Something wrong?”
61,“Something wrong?”
62,"“Just a minute, please,”"
63,"“Stabbed,”"
64,“Any of you leave the bridge table during the evening?”
65,"“I think every one of us, at one time or another, moved from the bridge table—either to get drinks or to put wood on the fire. I did both. When I went to the fire Shaitana was asleep in the chair.”"
66,“Or he may have been dead then. We’ll go into that presently.”
67,"“The stupid little man! Oh, the stupid little man,”"
68,"“Before I have those four in, I want to hear what you’ve got to tell me. According to you there was something behind this party tonight?”"
69,“Exhibits—eh? Murderers all alive oh! And you think he meant it? You don’t think he was pulling your leg?”
70,"“Oh, no, he meant it. Shaitana was a man who prided himself on his Mephistophelian attitude to life. He was a man of great vanity. He was also a stupid man—that is why he is dead.”"
71,quote
72,"“In a book, I mean,”"
73,"“Real life’s a bit different,”"
