number,quote
1,quote
2,"Ha! but that, it is not strictly true."
3,"Yes, but what appeal is there? What mystery? I, I am old, of the old school, When I was young, one saw barely the ankle. The glimpse of a foamy petticoat, how alluring! The gentle swelling of the calf—a knee—a beribboned garter—"
4,quote
5,“It is deplorable!”
6,“To remove all the romance—all the mystery! Today everything is standardized!”
7,“Bodies—arranged on slabs—like butcher’s meat!”
8,"“It may be, yes.”"
9,“I very much fear she would have believed me.”
10,"“But why not, Mademoiselle? Why should there not be what you call a ‘body’ here on Smugglers’ Island?”"
11,"“Let us say, you have an enemy. If you seek him out in his flat, in his office, in the street—eh bien, you must have a reason—you must account for yourself. But here at the seaside it is necessary for no one to account for himself. You are at Leathercombe Bay, why? Parbleu! it is August—one goes to the seaside in August—one is on one’s holiday. It is quite natural, you see, for you to be here and for Mr. Lane to be here and for Major Barry to be here and for Mrs. Redfern and her husband to be here. Because it is the custom in England to go to the seaside in August.”"
12,“You see—a good deal.”
13,quote
14,I understand your meaning. Up to a point I agree with you. Evil does walk the earth and can be recognized as such.
15,C’est possible.
16,She is not young.
17,"Yes, she is beautiful. But it is not beauty that counts in the end. It is not beauty that makes every head (except one) turn on the beach to look at her."
18,I am looking at the exception. At the one man who did not look up when she passed.
19,"Yes, I know."
20,It is difficult to be sure.
21,"Slowly, Hercule Poirot nodded his head."
22,quote
23,“Was it a painful ghost?”
24,"“Unexpectedly painful. It took me back, you know….”"
25,“Was it a very English childhood?”
26,"“Oh, incredibly so! The country—a big shabby house—horses, dogs—walks in the rain—wood fires—apples in the orchard—lack of money—old tweeds—evening dresses that went on from year to year—a neglected garden—with Michaelmas daisies coming out like great banners in the autumn….”"
27,“And you want to go back?”
28,"“One can’t go back, can one? That—never. But I’d like to have gone on—a different way.”"
29,“I wonder.”
30,"“So do I, really!”"
31,"“When I was young (and that, Mademoiselle, is indeed a long time ago) there was a game entitled, ‘If not yourself, who would you be?’ One wrote the answer in young ladies’ albums. They had gold edges and were bound in blue leather. The answer? Mademoiselle, is not really very easy to find.”"
32,"“No—I suppose not. It would be a big risk. One wouldn’t like to take on being Mussolini or Princess Elizabeth. As for one’s friends, one knows too much about them. I remember once meeting a charming husband and wife. They were so courteous and delightful to one another and seemed on such good terms after years of marriage that I envied the woman. I’d have changed places with her willingly. Somebody told me afterwards that in private they’d never spoken to each other for eleven years!”"
33,"“That shows, doesn’t it, that you never know?”"
34,"“Many people, Mademoiselle, must envy you.”"
35,"“Oh, yes. Naturally.”"
36,"“Mademoiselle, if you are not married, it is because none of my sex have been sufficiently eloquent. It is from choice, not necessity, that you remain single.”"
37,"“And yet, like all men, I’m sure you believe in your heart that no woman is content unless she is married and has children.”"
38,quote
39,quote
40,"""Besides, mon cher, it was a question of murder."""
41,"""It was, according to him, inevitable."""
42,"""And Hercule Poirot, with a sigh, said as he had said once before in Egypt, that if a person is determined to commit murder it is not easy to prevent them."""
43,quote
44,“Not necessarily.”
45,"“Ah! but it is interesting, that.”"
46,quote
47,"“There’s a lot of pixy lore on Dartmoor still. There are tors that are said to pixy-ridden, and I expect that farmers coming home after a thick night still complain of being pixy-led.”"
48,“You mean when they’ve had a couple?”
49,“That’s certainly the commonsense explanation!”
50,"“I’m going in to dinner. On the whole, Redfern, pirates are my favourites, not pixies.”"
51,"“Faith, I’d like to see the old boy pixy-led himself!”"
52,"“For a hard-bitten business man, M. Blatt seems to have a very romantic imagination.”"
53,“That’s because he’s only half-educated. Or so my wife says. Look at what he reads! Nothing but thrillers or Wild West stories.”
54,“You mean that he has still the mentality of a boy?”
55,"“Me, I have not seen very much of him.”"
56,“I haven’t either. I’ve been out sailing with him once or twice—but he doesn’t really like having anyone with him. He prefers to be on his own.”
57,“That is indeed curious. It is singularly unlike his practice on land.”
58,"“I think, M. Redfern, that you enjoy living.”"
59,“Indeed I do. Why not?”
60,"“Why not indeed,” agreed Poirot. “I make you my felicitation on the fact.”"
61,"“That is why, as an older man, a very much older man, I venture to offer you a piece of advice.”"
