number,quote
1,quote
2,"""The last time I saw one of these,"""
3,"""I've never really known the difference between a pumpkin and a vegetable marrow. What's this one?"""
4,"""My fault,"""
5,"""I'm standing about and getting in the way. But it was rather remarkable, seeing so many pumpkins or vegetable marrows, whatever they are."""
6,"""Now I've always associated pumpkins with Hallowe'en and that's the end of October."""
7,"""All Souls' Day? That's when in Paris you go to cemeteries and put flowers on graves. Not a sad sort of feast."""
8,"""And after All Souls' Day and cemeteries,"""
9,"""I think I'm right?"""
10,"""I'm not calling this a Hallowe'en party, although of course it is one really."""
11,"""Because we've abolished the eleven-plus some time ago."""
12,"""Now what can I do next?"""
13,"""What lovely apples!"""
14,"""Lovely red ones."""
15,"""They're not really very good."""
16,"""You like apples, don't you,"""
17,"""Yes,"""
18,"""Never again."""
19,"""Well, I did once, and it didn't turn out much of a success,"""
20,"""But you've written lots of books,"""
21,"""In a way,"""
22,"""A Finn,"""
23,"""I've often wondered,"""
24,"""What about this,"""
25,"""Galvanized bucket's better. Won't tip over so easily."""
26,"""We'll take them along."""
27,"""Let me help,"""
28,"""Lovely red ones,"""
29,"""There's a green baize to put on that and then the rubber sheet over it."""
30,"""What about the looking glasses? Shall we really see our husbands in them?"""
31,"""Now, if I was going to make a book about all these people, how should I do it?"""
32,"""They're nice people, I should think, on the whole, but who knows?"""
33,"""In a way, she felt, it was rather fascinating not to know anything about them."""
34,quote
35,"“He had a nasty cold,”"
36,"“and no doubt, in spite of the remedies that I have handy here, he would probably have given it to me. It is better that he should not come. Tout de même,”"
37,“it will mean that now I shall pass a dull evening.”
38,"“Many of the evenings were dull now, Hercule Poirot thought. His mind, magnificent as it was (for he had never doubted that fact) required stimulation from outside sources.”"
39,"“He had a nasty cold,”"
40,“He has only a nasty cold. Everyone always thinks they have ’flu. It sounds more important. One gets more sympathy. The trouble with a catarrhal cold is that it is hard to glean the proper amount of sympathetic consideration from one’s friends.”
41,"“It would be extremely tedious,”"
42,“And now who has a cold?”
43,"“Hercule Poirot speaks,”"
44,“Why should you think that?”
45,“And who are you?”
46,"“You are my friend, Ariadne.”"
47,"“And I’m in a terrible state,”"
48,"“Yes, yes, I can hear that. Have you also been running? You are very breathless, are you not?”"
49,“Something has upset you?”
50,"“Yes. Of course I’m upset. I don’t know what to do. I don’t know—oh, I don’t know anything. What I feel is that I’ve got to come and tell you—tell you just what’s happened, for you’re the only person who might know what to do. Who might tell me what I ought to do. So can I come?”"
51,quote
52,"“But certainly, but certainly. I shall be delighted to receive you.”"
53,"“Mrs. Oliver will be here in about ten minutes,”"
54,"“It’s a pity,”"
55,"“that she is so scatty. And yet, she has originality of mind. It could be that I am going to enjoy what she is coming to tell me. It could be—”"
56,"“Eh bien, one must take one’s risks in life.”"
57,"“Assuredly, she has excited herself,”"
58,“What on earth are you wearing?”
59,“Let George take it from you. It’s very wet.”
60,"“Will you have some lemon barley water,”"
61,"“I hate it. I’ve never thought about it before. What it can do, and everything.”"
62,"“My dear friend,”"
