number,quote
1,quote
2,""" said he. ""How do you define the word 'grotesque'?"""
3,"we must look upon you as a man of letters,"" he. ""How do you define the word 'grotesque'?"""
4,""" said he; ""some underlying suggestion of the tragic and the terrible.  If you cast your mind back to some of those narratives with which you have afflicted a long-suffering public, you will recognize how often the grotesque has deepened into the criminal.  Think of that little affair of the red-headed men.  That was grotesque enough in the outset, and yet it ended in a desperate attempt at robbery.  Or, again, there was that most grotesque affair of the five orange pips, which let straight to a murderous conspiracy. The word puts me on the alert."""
5,"man, of course. No woman would ever send a reply-paid telegram. She would have come."""
6,"you know how bored I have been since we locked up Colonel Carruthers. My mind is like a racing engine, tearing itself to pieces because it is not connected up with the work for which it was built. Life is commonplace, the papers are sterile; audacity and romance seem to have passed forever from the criminal world. Can you ask me, then, whether I am ready to look into any new problem, however trivial it may prove? But here, unless I am mistaken, is our client."""
7,"and a moment later a stout, tall, gray-whiskered and solemnly respectable person was ushered into the room.  His life history was written in his heavy features and pompous manner.  From his spats to his gold-rimmed spectacles he was a Conservative, a churchman, a good citizen, orthodox and conventional to the last degree. But some amazing experience had disturbed his native composure and left its traces in his bristling hair, his flushed, angry cheeks, and his flurried, excited manner. He plunged instantly into his business."""
8,"Mr. Holmes,"" said he. ""Never in my life have I been placed in such a situation. It is most improper--most"
9,"quote"""
10,"Mr. Baynes"""
11,"I did.Garcia rolled it up and threw it into the fire."""
12,"Mr. Baynes?"""
13,"Mr. Holmes, and he overpitched it. I picked this out unburned from the back of it."""
14,"Mr. Holmes. It's my way. Shall I read it, Mr. Gregson?"""
15,"put on hurriedly and pressed down with some flat oval object. It is addressed to Mr. Garcia, Wisteria Lodge. It says: Our own colours, green and white. Green open, white shut. Main stair, first corridor, seventh right, green baize. Godspeed. D."""
16,""""
17,"Mr. Baynes, upon your attention to detail in your examination of it. A few trifling points might perhaps be added. The oval seal is undoubtedly a plain sleeve-link--what else is of such a shape? The scissors were bent nail scissors. Short as the two snips are, you can distinctly see the same slight curve in each."""
18,quote
19,"I am glad you found the note, since it corroborates my story"
20,But I beg to point out that I have not yet heard what has
21,"As to Garcia, that is easily answered. He was found"
22,Robbed?
23,"This is very painful--very painful and terrible, but it is"
24,"Very simply, sir, The only document found in the pocket"
25,"I think now, we had best put this matter into an official"
26,"Certainly, I will come at once. But I retain your services, Mr."
27,I suppose that you have no objection to my collaborating
28,You appear to have been very prompt and businesslike in all
29,"But that is perfectly impossible, Mr. Baynes, His voice is"
30,You have a clue?
31,"On the face of it the case is not a very complex one, though it"
32,But what possible connection?
33,"Let us take it link by link. There is, on the face of it, something"
34,But what could he supply? I see no charm in the man. He is
35,But what was he to witness?
36,"Exactly, my dear Watson; he might have proved an alibi."
37,"Yes, yes, I see that. But how about the disappearance of"
38,"I have not all my facts yet, but I do not think there are"
39,"And the message? 'Our own colours, green and white.'"
40,"The man was a Spaniard. I suggest that 'D' stands for Dolores, a"
41,"Good, Watson, very good--but quite inadmissable. A Spaniard would"
