number,quote
1,formatted as CSV:
2,""""
3,"how do you know?"""
4,""""
5,"but as I have changed my clothes I can't imagine how you deduce it. As to Mary Jane, she is incorrigible, and my wife has given her notice, but there, again, I fail to see how you work it out."""
6,""""
7,"just where the firelight strikes it, the leather is scored by six almost parallel cuts. Obviously they have been caused by someone who has very carelessly scraped round the edges of the sole in order to remove crusted mud from it. Hence, you see, my double deduction that you had been out in vile weather, and that you had a particularly malignant boot-slitting specimen of the London slavey. As to your practice, if a gentleman walks into my rooms smelling of iodoform, with a black mark of nitrate of silver upon his right forefinger, and a bulge on the right side of his top-hat to show where he has secreted his stethoscope, I must be dull, indeed, if I do not pronounce him to be an active member of the medical profession."""
8,"the thing always appears to me to be so ridiculously simple that I could easily do it myself, though at each successive instance of your reasoning I am baffled until you explain your process. And yet I believe that my eyes are as good as yours."""
9,""""
10,"and since you are good enough to chronicle one or two of my trifling experiences, you may be interested in this."""
11,""""
12,"at a quarter to eight o'clock,"""
13,""""
14,""""
15,""" said Holmes. ""It is not an English paper at all. Hold it up to the light."""
16,"no doubt; or his monogram, rather."""
17,"' which is the German for 'Company.' It is a customary contraction like our 'Co.' 'P,' of course, stands for 'Papier.' Now for the 'Eg.' Let us glance at our Continental Gazetteer."""
18,""""
19,"therefore, to discover what is wanted by this German who writes upon Bohemian paper and prefers wearing a mask to showing his face. And here he comes, if I am not mistaken, to resolve all our doubts."""
20,"Holmes."""
21,"Doctor. Stay where you are. I am lost without my Boswell. And this promises to be interesting. It would be a pity to miss it."""
22,"and so may he. Here he comes. Sit down in that armchair, Doctor, and give us your best attention."""
23,"by the sound,"""
24,"Holmes."""
25,"Doctor. Stay where you are. I am lost without my Boswell. And this promises to be interesting. It would be a pity to miss it."""
26,"and so may he. Here he comes. Sit down in that armchair, Doctor, and give us your best attention."""
27,"by the sound,"""
28,""" he continued, glancing out of the window. ""A nice little brougham and a pair of beauties. A hundred and fifty guineas apiece. There's money in this case, Watson, if there is nothing else."""
29,"Holmes."""
30,Doctor. Stay where you are. I am
31,quote
32,"I can't imagine. I suppose that you have been watching the habits, and perhaps the house, of Miss Irene Adler."
33,I am following you closely
34,"I was still balancing the matter in my mind when a hansom cab drove up to Briony Lodge, and a gentleman sprang out. He was a remarkably handsome man, dark, aquiline, and moustached--evidently the man of whom I had heard. He appeared to be in a great hurry, shouted to the cabman to wait, and brushed past the maid who opened the door with the air of a man who was thoroughly at home."
35,quote
36,"""Drive like the devil, first to Gross & Hankey's in Regent Street, and then to the Church of St. Monica in the Edgeware Road. Half a guinea if you do it in twenty minutes!"""
37,"""'The Church of St. Monica, John,' she cried, 'and half a sovereign if you reach it in twenty minutes.'"
38,"""This was quite too good to lose, Watson. I was just balancing whether I should run for it, or whether I should perch behind her landau when a cab came through the street."
39,"""'The Church of St. Monica,' said I, 'and half a sovereign if you reach it in twenty minutes.'"
40,"""My cabby drove fast. I don't think I ever drove faster, but the others were there before us."
41,"""'Thank God,' he cried. 'You'll do. Come! Come!"
42,"""'What then?'"
43,"""Come, man, come, only three minutes, or it won't be legal.'"
44,"""I was half-dragged up to the altar, and before I knew where I was I found myself mumbling responses which were whispered in my ear, and vouching for things of which I knew nothing, and generally assisting in the secure tying up of Irene Adler, spinster, to Godfrey Norton, bachelor."
45,"""This is a very unexpected turn of affairs,"" said I; ""and what then?"""
46,"""Well, I found my plans very seriously menaced. It looked as if the pair might take an immediate departure, and so necessitate very prompt and energetic measures on my part."
47,"""'I shall drive out in the park at five as usual,' she said as she left him."
48,"""Which are?"""
49,"""Some cold beef and a glass of beer,"" he answered, ringing the bell."
50,"""I have been too busy to think of food, and I am likely to be busier still this evening. By the way, Doctor, I shall want your co-operation."""
51,"""You don't mind breaking the law?"""
52,"""Nor running a chance of arrest?"""
53,"""Not in a good cause."""
54,"""Oh, the cause is excellent!"""
55,"""Then I am your man."""
56,"""I was sure that I might rely on you."""
57,"Doctor, Nothing could have been better. It is all right."""
58,"quote"""
59,""""
60,"Mr. Wilson, has been my partner and helper in many of my most successful cases, and I have no doubt that he will be of the utmost use to me in yours also."""
61,""""
62,""""
63,"Doctor, but none the less you must come round to my view,"""
64,quote
65,
66,"that he takes snuff, that he is a Freemason, that he has been in China, and that he has done a considerable amount of writing lately, I can deduce nothing else."""
67,
68,"Watson, that I make a mistake in explaining. 'Omne ignotum pro magnifico,' you know, and my poor little reputation, such as it is, will suffer shipwreck if I am so candid. Can you not find the advertisement, Mr. Wilson?"""
69,
70,"isn't it?"""
71,
72,"Mr. Wilson?"""
73,
74,"indeed? You seem most fortunate in having an employee who comes under the full market price. It is not a common experience among employers in this age. I don't know that your assistant is not as remarkable as your advertisement."""
75,
76,"I presume?"""
77,
78,"he came down into the office just this day eight weeks, with this very paper in his hand, and he says:"""
79,
80,"Mr. Wilson, that I was a red-headed man.'"""
81,
82,
83,"' says he, 'here's another vacancy on the League of the Red-headed Men. It's worth quite a little fortune to any man who gets it, and I understand that there are more vacancies than there are men, so that the trustees are at their wits' end what to do with the money.'"""
84,quote
85,Your experience has been a most entertaining one. Pray continue your very interesting statement.
86,Your experience has been a most entertaining one. Pray continue your very interesting statement.
87,"My name is Mr. Duncan Ross, and I am myself one of the pensioners upon the fund left by our noble benefactor. Are you a married man, Mr. Wilson? Have you a family?"
88,I answered that I had not.
89,"His face fell immediately. Dear me! that is very serious indeed! I am sorry to hear you say that. The fund was, of course, for the propagation and spread of the red-heads as well as for their maintenance. It is exceedingly unfortunate that you should be a bachelor."
90,"My face lengthened at this, Mr. Holmes, for I thought that I was not to have the vacancy after all; but after thinking it over for a few minutes he said that it would be all right."
91,"In the case of another, the objection might be fatal, but we must stretch a point in favour of a man with such a head of hair as yours. When shall you be able to enter upon your new duties?"
92,"Well, it is a little awkward, for I have a business already."
93,"Oh, never mind about that, Mr. Wilson! I should be able to look after that for you."
94,What would be the hours?
95,Ten to two.
96,And the pay?
97,Is £4 a week.
98,And the work?
99,Is purely nominal.
100,What do you call purely nominal?
101,"Well, you have to be in the office, or at least in the building, the whole time. If you leave, you forfeit your whole position forever. The will is very clear upon that point. You don't comply with the conditions if you budge from the office during that time."
102,"It's only four hours a day, and I should not think of leaving,"
103,"No excuse will avail; neither sickness nor business nor anything else. There you must stay, or you lose your billet."
104,quote
105,"""To an end?"""
106,"""I make nothing of it,"""
107,"""What are you going to do, then?"""
108,"""I have nothing to do to-day."""
109,quote
110,"""Thank you,"""
111,"""Smart fellow, that,"""
112,"""He is, in my judgment, the fourth smartest man in London, and for daring I am not sure that he has not a claim to be third."""
113,"""Not him."""
114,"""What then?"""
115,"""The knees of his trousers."""
116,"""And what did you see?"""
117,"""What I expected to see."""
118,"""Why did you beat the pavement?"""
119,"""My dear doctor, this is a time for observation, not for talk."""
120,"""Let us now explore the parts which lie behind it."""
121,"""You want to go home, no doubt, Doctor,"""
122,"""Yes, it would be as well."""
123,"""And I have some business to do which will take some hours. This business at Coburg Square is serious."""
124,"""Why serious?"""
