number,quote
1,quote
2,"""It can't hurt now,"""
3,"""Well, if you will be so good, Watson."""
4,"""Then you have the hour--4.30. Until then we can put the matter out of our heads."""
5,"""I have had several opponents to whom that flattering term has been applied,"""
6,"""You mean the Austrian murderer?"""
7,"""It is my business to follow the details of Continental crime."""
8,quote
9,"""You hardly realize the effect of your own action, Mr. Holmes, you place me in a most serious dilemma, for I am perfectly certain that you would be proud to take over the case if I could give you the facts, and yet a promise forbids me from revealing them all. May I, at least, lay all that I can before you?"""
10,"""By all means, so long as it is understood that I commit myself to nothing."""
11,"""That is understood. In the first place, you have no doubt heard of General de Merville?"""
12,"""De Merville of Khyber fame? Yes, I have heard of him."""
13,"""He has a daughter, Violet de Merville, young, rich, beautiful, accomplished, a wonder-woman in every way. It is this daughter, this lovely, innocent girl, whom we are endeavouring to save from the clutches of a fiend."""
14,"""Baron Gruner has some hold over her, then?"""
15,"""The strongest of all holds where a woman is concerned--the hold of love. The fellow is, as you may have heard, extraordinarily handsome, with a most fascinating manner, a gentle voice, and that air of romance and mystery which means so much to a woman. He is said to have the whole sex at his mercy and to have made ample use of the fact."""
16,"""But how came such a man to meet a lady of the standing of Miss Violet de Merville?"""
17,"""It was on a Mediterranean yachting voyage. The company, though select, paid their own passages. No doubt the promoters hardly realized the Baron's true character until it was too late. The villain attached himself to the lady, and with such effect that he has completely and absolutely won her heart. To say that she loves him hardly expresses it. She dotes upon him; she is obsessed by him. Outside of him there is nothing on earth. She will not hear one word against him. Everything has been done to cure her of her madness, but in vain. To sum up, she proposes to marry him next month. As she is of age and has a will of iron, it is hard to know how to prevent her."""
18,"""Does she know about the Austrian episode?"""
19,"""The cunning devil has told her every unsavoury public scandal of his past life"
20,quote
21,"but this is the sort of man who says rather less than he means."""
22,"I should say it mattered very much. Besides, the client!"""
23,"for the blithe Shinwell will be there with his report."""
24,"sir?"""
25,"a huge, coarse, red-faced, scorbutic man, with a pair of vivid black eyes which were the only external sign of the very cunning mind within."""
26,""" said Shinwell Johnson, waving his fat hand as an introduction."
27,""""
28,quote
29,"""What was it, then?"""
30,"Mr. Holmes, this man collects women, and takes a pride"
31,as some men collect moths or butterflies. He had
32,"names, details, everything"
33,even if he had come
34,could have put together. But it was Adelbert
35,that's neither
36,"for the book would not serve you, and, if it would,"
37,tidy cat of a
38,so maybe it is still in the pigeon-hole of
39,""" said Holmes."
40,though? You haven't been slow on the job if you only
41,
42,""" said Shinwell Johnson with the decided voice of the"
43,""" said Holmes. ""Well, now, Miss Winter, if you would call"
44,I would consider in the meanwhile
45,"Mr. Holmes,"" cried the young woman. """
46,quote
47,"""With an oath Miss Winter darted forward, and if I had not caught her"
48,for she was beside herself with rage. In
49,"Watson, for there was"
50,and it is clear that I must
51,for this gambit won't work. I'll keep
52,"Watson, for it is more than likely that you will"
53,though it is just possible that the next move
54,"""No immediate danger,"" was his report. ""Two lacerated scalp wounds"
55,but an interview
56,"""Thank God for that!"""
