number,quote
1,quote
2,"To James Mortimer, M.R.C.S., from his friends of the C.C.H."
3,How did you know what I was doing? I believe you have eyes in the back of your head.
4,"But, tell me, Watson, what do you make of our visitor's stick? Since we have been so unfortunate as to miss him and have no notion of his errand, this accidental souvenir becomes of importance. Let me hear you reconstruct the man by an examination of it."
5,Good! Excellent!
6,Why so?
7,"Because this stick, though originally a very handsome one has been so knocked about that I can hardly imagine a town practitioner carrying it. The thick-iron ferrule is worn down, so it is evident that he has done a great amount of walking with it."
8,Perfectly sound!
9,"And then again, there is the 'friends of the C.C.H.' I should guess that to be the Something Hunt, the local hunt to whose members he has possibly given some surgical assistance, and which has made him a small presentation in return."
10,"Really, Watson, you excel yourself. I am bound to say that in all the accounts which you have been so good as to give of my own small achievements you have habitually underrated your own abilities. It may be that you are not yourself luminous, but you are a conductor of light. Some people without possessing genius have a remarkable power of stimulating it. I confess, my dear fellow, that I am very much in your debt."
11,You know my methods. Apply them!
12,"No mention of that local hunt, Watson, but a country doctor, as you very astutely observed."
13,"I think that I am fairly justified in my inferences. As to the adjectives, I said, if I remember right, amiable, unambitious, and absent-minded. It is my experience that it is only an amiable man in this world who receives testimonials, only an unambitious one who abandons a London career for the country, and only an absent-minded one who leaves his stick and not his visiting-card after waiting an hour in your room."
14,And the dog?
15,"Has been in the habit of carrying this stick behind his master. Being a heavy stick the dog has held it tightly by the middle,"
16,"""quote"""
17,"""My dear fellow, how can you possibly be so sure of that?"""
18,"""For the very simple reason that I see the dog himself on our very door-step, and there is the ring of its owner. Don't move, I beg you, Watson. He is a professional brother of yours, and your presence may be of assistance to me. Now is the dramatic moment of fate, Watson, when you hear a step upon the stair which is walking into your life, and you know not whether for good or ill. What does Dr. James Mortimer, the man of science, ask of Sherlock Holmes, the specialist in crime? Come in!"""
19,"""A presentation, I see."""
20,"""From Charing Cross Hospital?"""
21,"""From one or two friends there on the occasion of my marriage."""
22,"""Dear, dear, that's bad!"""
23,"""Why was it bad?"""
24,"""Come, come, we are not so far wrong, after all."""
25,"""Mister, sir, Mister--a humble M.R.C.S."""
26,"""And a man of precise mind, evidently."""
27,"""A dabbler in science, Mr. Holmes, a picker up of shells on the shores of the great unknown ocean. I presume that it is Mr. Sherlock Holmes whom I am addressing and not--"""
28,"""No, this is my friend Dr. Watson."""
29,"""Glad to meet you, sir. I have heard your name mentioned in connection with that of your friend. You interest me very much, Mr. Holmes. I had hardly expected so dolichocephalic a skull or such well-marked supra-orbital development. Would you have any objection to my running my finger along your parietal fissure? A cast of your skull, sir, until the original is available, would be an ornament to any anthropological museum. It is not my intention to be fulsome, but I confess that I covet your skull."""
30,"""You are an enthusiast in your line of thought, I perceive, sir, as I am in mine."""
31,"""I observe from your forefinger that you make your own cigarettes."
32,quote
33,"It chanced that some little time later Hugo left his guests to carry food and drink--with other worse things, perchance--to his captive,"
34,"Then, as it would seem, he became as one that hath a devil, for, rushing down the stairs into the dining-hall, he sprang upon the great table, flagons and trenchers flying before him, and he cried aloud before all the company that he would that very night render his body and soul to the Powers of Evil if he might but overtake the wench."
35,"Whereat Hugo ran from the house, crying to his grooms that they should saddle his mare and unkennel the pack, and giving the hounds a kerchief of the maid's, he swung them to the line, and so off full cry in the moonlight over the moor."
36,"They had gone a mile or two when they passed one of the night shepherds upon the moorlands, and they cried to him to know if he had seen the hunt."
37,So the drunken squires cursed the shepherd and rode onward.
38,"Then the revellers rode close together, for a great fear was on them, but they still followed over the moor, though each, had he been alone, would have been right glad to have turned his horse's head."
39,"The company had come to a halt, more sober men, as you may guess, than when they started."
40,"The most of them would by no means advance, but three of them, the boldest, or it may be the most drunken, rode forward down the goyal."
41,"And even as they looked the thing tore the throat out of Hugo Baskerville, on which, as it turned its blazing eyes and dripping jaws upon them, the three shrieked with fear and rode for dear life, still screaming, across the moor."
42,And there ran mute behind him such a hound of hell as God forbid should ever be at my heels.
43,"To that Providence, my sons, I hereby commend you, and I counsel you by way of caution to forbear from crossing the moor in those dark hours when the powers of evil are exalted."
44,Well
45,quote
46,"Those are the public facts, Mr. Holmes, in connection with the death of Sir Charles Baskerville."
47,"I must thank you, for calling my attention to a case which certainly presents some features of interest. I had observed some newspaper comment at the time, but I was exceedingly preoccupied by that little affair of the Vatican cameos, and in my anxiety to oblige the Pope I lost touch with several interesting English cases. This article, you say, contains all the public facts?"
48,It does.
49,"Then let me have the private ones. He leaned back, put his finger-tips together, and assumed his most impassive and judicial expression."
50,"In doing so, I am telling that which I have not confided to anyone. My motive for withholding it from the coroner's inquiry is that a man of science shrinks from placing himself in the public position of seeming to indorse a popular superstition. I had the further motive that Baskerville Hall, as the paper says, would certainly remain untenanted if anything were done to increase its already rather grim reputation. For both these reasons I thought that I was justified in telling rather less than I knew, since no practical good could result from it, but with you there is no reason why I should not be perfectly frank."
51,"The moor is very sparsely inhabited, and those who live near each other are thrown very much together. For this reason I saw a good deal of Sir Charles Baskerville. With the exception of Mr. Frankland, of Lafter Hall, and Mr. Stapleton, the naturalist, there are no other men of education within many miles. Sir Charles was a retiring man, but the chance of his illness brought us together, and a community of interests in science kept us so. He had brought back much scientific information from South Africa, and many a charming evening we have spent together discussing the comparative anatomy of the Bushman and the Hottentot."
52,"Within the last few months it became increasingly plain to me that Sir Charles's nervous system was strained to the breaking point. He had taken this legend which I have read you exceedingly to heart--so much so that, although he would walk in his own grounds, nothing would induce him to go out upon the moor at night. Incredible as it may appear to you, Mr. Holmes, he was honestly convinced that"
