number,quote
1,quote
2,"""I owe you a thousand apologies. I had no idea that you would be so affected."""
3,"""Holmes!"" I cried. ""Is it really you? Can it indeed be that you are alive? Is it possible that you succeeded in climbing out of that awful abyss?"""
4,"""I am all right, but indeed, Holmes, I can hardly believe my eyes. Good heavens, to think that you--you of all men--should be standing in my study!"""
5,"""Well, you're not a spirit, anyhow,"""
6,"""My dear chap, I am overjoyed to see you. Sit down and tell me how you came alive out of that dreadful chasm."""
7,"""But the tracks!"" I cried. ""I saw with my own eyes that two went down the path and none returned."""
8,"quote"""
9,"at last, when you had all formed your inevitable and totally erroneous conclusions, you departed for the hotel and I was left alone."""
10,"I did not take long to think about it. Again I saw that grim face look over the cliff, and I knew that it was the precursor of another stone."""
11,"I scrambled down on to the path. I don't think I could have done it in cold blood. It was a hundred times more difficult than getting up. But I had no time to think of the danger, for another stone sang past me as I hung by my hands from the edge of the ledge."""
12,"I had only one confidant--my brother Mycroft. I owe you many apologies, my dear Watson, but it was all-important that it should be thought I was dead, and it is quite certain that you would not have written so convincing an account of my unhappy end had you not yourself thought that it was true."""
13,"You will hear and see enough before morning. We have three years of the past to discuss. Let that suffice until half-past nine, when we start upon the notable adventure of the empty house."""
14,""""
15,"of Grenoble, who spent some days in doing the moulding. It is a bust in wax. The rest I arranged myself during my visit to Baker Street this afternoon."""
16,""""
17,"Watson, that I should erect an obvious dummy and expect that some of the sharpest men in Europe would be deceived by it?"
18,"""quote"""
