number,quote
1,quote
2,"""morphine or cocaine?"""
3,"""It is cocaine,"" he said,""a seven-per-cent solution. Would you care to try it?"""
4,"""No, indeed,"" I answered, brusquely. ""My constitution has not got over the Afghan campaign yet. I cannot afford to throw any extra strain upon it."""
5,"""Perhaps you are right, Watson,"" he said. ""I suppose that its influence is physically a bad one. I find it, however, so transcendently stimulating and clarifying to the mind that its secondary action is a matter of small moment."""
6,"""But consider!"" I said, earnestly. ""Count the cost! Your brain may, as you say, be roused and excited, but it is a pathological and morbid process, which involves increased tissue-change and may at last leave a permanent weakness. You know, too, what a black reaction comes upon you. Surely the game is hardly worth the candle. Why should you, for a mere passing pleasure, risk the loss of those great powers with which you have been endowed?  Remember that I speak not only as one comrade to another, but as a medical man to one for whose constitution he is to some extent answerable."""
7,"""My mind,"" he said, ""rebels at stagnation. Give me problems, give me work, give me the most abstruse cryptogram or the most intricate analysis, and I am in my own proper atmosphere. I can dispense then with artificial stimulants. But I abhor the dull routine of existence. I crave for mental exaltation. That is why I have chosen my own particular profession,--or rather created it, for I am the only one in the world."""
8,"""The only unofficial detective?"" I said, raising my eyebrows."
9,"""The only unofficial consulting detective,"" he answered.  ""I am the last and highest court of appeal in detection. When Gregson or Lestrade or Athelney Jones are out of their depths--which, by the way, is their normal state--the matter is laid before me. I examine the data, as an expert, and pronounce a specialist's opinion. I claim no credit in such cases. My name figures in no newspaper. The work itself, the pleasure of finding a field for my peculiar powers, is my highest reward. But you have yourself had some experience of my methods of work in the Jefferson Hope case."""
10,"""Yes"
11,quote
12,"you are right,"""
13,""" I answered, earnestly. ""It is of the greatest interest"
14,especially since I have had the opportunity of observing your
15,and
16,""" he remarked, chuckling at my"
17,"--""so absurdly simple that an explanation is superfluous;"
18,as far as
19,nowhere else in the neighborhood. So much is observation. The
20,"then, did you deduce the telegram?"""
21,"of course I knew that you had not written a letter, since I sat"
22,"then, but to send a wire?"
23,and the one which remains must be the
24,""" I replied, after a little thought."
25,"however, is, as you say, of the simplest.  Would you"
26,""" he answered, ""it would prevent me from taking a"
27,I
28,quote
29,"I have come to you, Mr. Holmes, because you once enabled my employer, Mrs. Cecil Forrester, to unravel a little domestic complication. She was much impressed by your kindness and skill."
30,"I believe that I was of some slight service to her. The case, however, as I remember it, was a very simple one."
31,"more utterly inexplicable, than the situation in which I find myself."
32,"said he, in brisk, business tones."
33,"I am sure, excuse me, rising from my chair."
34,"the young lady held up her gloved hand to detain me. ""If your friend,"" she said, ""would be good enough to stop, he might be of inestimable service to me."""
35,"the facts are these. My father was an officer in an Indian regiment who sent me home when I was quite a child. My mother was dead, and I had no relative in England. I was placed, however, in a comfortable boarding establishment at Edinburgh, and there I remained until I was seventeen years of age."
36,"who was senior captain of his regiment, obtained twelve months' leave and came home. He telegraphed to me from London that he had arrived all safe, and directed me to come down at once, giving the Langham Hotel as his address. His message, as I remember, was full of kindness and love. On reaching London I drove to the Langham, and was informed that Captain Morstan was staying there, but that he had gone out the night before and had not yet returned. I waited all day without news of him. That night, on the advice of the manager of the hotel, I communicated with the police, and next morning we advertised in all the papers. Our inquiries let to no result; and from that day to this no word has ever been heard of my unfortunate father. He came home with his heart full of hope, to find some peace, some comfort, and instead—"
37,opening his note-book.
38,"--some clothes, some books, and a considerable number of curiosities from the Andaman Islands"
39,quote
40,I never make exceptions. An exception disproves the rule. Have you ever had occasion to study character in handwriting? What do you make of this fellow's scribble?
41,"I may be very obtuse, Holmes, but I fail to see what this suggests."
42,There is no great mystery in this matter. The facts appear to admit of only one explanation.
43,What! you have solved it already?
44,"Well, that would be too much to say. I have discovered a suggestive fact, that is all. It is, however, very suggestive. The details are still to be added."
45,"I am going out now. I have some few references to make. Let me recommend this book,--one of the most remarkable ever penned. It is Winwood Reade's Martyrdom of Man. I shall be back in an hour."
46,"But what a strange compensation! And how strangely made! Why, too, should he write a letter now, rather than six years ago? Again, the letter speaks of giving her justice. What justice can she have? It is too much to suppose that her father is still alive. There is no other injustice in her case that you know of."
47,There are difficulties; there are certainly difficulties. But our expedition of to-night will solve them all.
48,quote
49,"""Rochester Row,"" said he. ""Now Vincent Square. Now we come out on the Vauxhall Bridge Road. We are making for the Surrey side, apparently. Yes, I thought so. Now we are on the bridge. You can catch glimpses of the river."""
50,"""Wordsworth Road,"" said my companion. ""Priory Road. Lark Hall Lane. Stockwell Place. Robert Street. Cold Harbor Lane. Our quest does not appear to take us to very fashionable regions."""
51,"""For my part,"" said Holmes, ""whatever you may choose to say will go no further."""
52,"""That is well! That is well!"" said he. ""May I offer you a glass of Chianti, Miss Morstan? Or of Tokay? I keep no other wines. Shall I open a flask? No? Well, then, I trust that you have no objection to tobacco-smoke, to the mild balsamic odor of the Eastern tobacco. I am a little nervous, and I find my hookah an invaluable sedative."""
53,quote
54,"""You will excuse me, Mr. Sholto,"" said Miss Morstan, ""but I am here"
55,"and I should desire the interview to be as short as possible."""
56,"""At the best it must take some time,"" he answered; ""for we shall"
57,"""If we are to go to Norwood it would perhaps be as well to start at"
58,""" I ventured to remark."
