number,quote
1,
2,"Watson, is a nom-de-plume, a mere identification mark; but behind it lies a shifty and evasive personality. In a former letter he frankly informed me that the name was not his own, and defied me ever to trace him among the teeming millions of this great city. Porlock is important, not for himself, but for the great man with whom he is in touch. Picture to yourself the pilot fish with the shark, the jackal with the lion--anything that is insignificant in companionship with what is formidable: not only formidable, Watson, but sinister--in the highest degree sinister. That is where he comes within my purview. You have heard me speak of Professor Moriarty?"""
3,"as famous among crooks as--"""
4,"Watson!"""
5,"Watson, against which I must learn to guard myself. But in calling Moriarty a criminal you are uttering libel in the eyes of the law--and there lie the glory and the wonder of it! The greatest schemer of all time, the organizer of every deviltry, the controlling brain of the underworld, a brain which might have made or marred the destiny of nations--that's the man! But so aloof is he from general suspicion, so immune from criticism, so admirable in his management and self-effacement, that for those very words that you have uttered he could hale you to a court and emerge with your year's pension as a solatium for his wounded character. Is he not the celebrated author of The Dynamics of an Asteroid, a book which ascends to such rarefied heights of pure mathematics that it is said that there was no man in the scientific press capable of criticizing it? Is this a man to traduce? Foul-mouthed doctor and slandered professor--such would be your respective roles! That's genius, Watson. But if I am spared by lesser men, our day will surely come."""
6,"yes--the so-called Porlock is a link in the chain some little way from its great attachment. Porlock is not quite a sound link--between ourselves. He is the only flaw in that chain so far as I have been able to test it."""
7,my dear Watson! Hence
8,"no doubt."""
9,"scrambling way of expressing his meaning!"""
10,"as no man knows better than your own self. But--but--"""
11,quote
12,"""I was going down to Birlstone this morning,"""
13,"""I rather think not,"""
14,"""Hang it all, Mr. Holmes!"""
15,"""No doubt, Mr. Mac. But how do you propose to lay your hands on the so-called Porlock?"""
16,"""Posted in Camberwell--that doesn't help us much. Name, you say, is assumed. Not much to go on, certainly. Didn't you say that you have sent him money?"""
17,"""And how?"""
18,"""Did you ever trouble to see who called for them?"""
19,"""Because I always keep faith. I had promised when he first wrote that I would not try to trace him."""
20,"""You think there is someone behind him?"""
21,"""I know there is."""
22,"""This professor that I've heard you mention?"""
23,"""Exactly!"""
24,"""I'm glad you've got so far as to recognize the talent."""
25,"""Man, you can't but recognize it! After I heard your view I made it my business to see him."""
26,"""I was going down to Birlstone this morning,"""
27,"""I rather think not,"""
28,"""Hang it all, Mr. Holmes!"""
29,"""No doubt, Mr. Mac. But how do you propose to lay your hands on the so-called Porlock?"""
30,"""Posted in Camberwell--that doesn't help us much. Name, you say, is assumed. Not much to go on, certainly. Didn't you say that you have sent him money?"""
31,"""And how?"""
32,"""Twice."""
33,"""And how?"""
34,"""In notes to Camberwell post-office."""
35,"""Did you ever trouble to see who called for them?"""
36,"""No."""
37,"""Because I always keep faith. I had promised when he first wrote that I would not try to trace him."""
38,"""You think there is someone behind him?"""
39,"""I know there is."""
40,"""This professor that I've heard you mention?"""
41,"""Exactly!"""
42,"""I'm glad you've got"
43,"certainly! But what do you gather from it?"""
44,""""
45,"with your permission, we will leave it at that, Mr. Mac. The temptation to form premature theories upon insufficient data is the bane of our profession. I can see only two things for certain at present--a great brain in London, and a dead man in Sussex. It's the chain between that we are going to trace."""
46,but they are not spoken by Watson.
47,"free-handed gentleman,"" said Ames, the butler. ""But, my word! I had rather not be the man that crossed him!"""
48,"since there are other characters in the text, here is the list of dialogue lines spoken by other characters:"
49,quote
50,"""A real downright snorter, Mr. MacDonald! We'll have the pressmen down like flies when they understand it. I'm hoping we will get our work done before they get poking their noses into it and messing up all the trails. There has been nothing like this that I can remember. There are some bits that will come home to you, Mr. Holmes, or I am mistaken. And you also, Dr. Watson; for the medicos will have a word to say before we finish. Your room is at the Westville Arms. There's no other place; but I hear that it is clean and good. The man will carry your bags. This way, gentlemen, if you please."""
51,"""I thought you would say so, Mr. Holmes. We're well up with the times in Sussex. I've told you now how matters were, up to the time when I took over from Sergeant Wilson between three and four this morning. My word! I made the old mare go! But I need not have been in such a hurry, as it turned out; for there was nothing immediate that I could do. Sergeant Wilson had all the facts. I checked them and considered them and maybe added a few of my own."""
52,"""Well, I first had the hammer examined. There was Dr. Wood there to help me. We found no signs of violence upon it. I was hoping that if Mr. Douglas defended himself with the hammer, he might have left his mark upon the murderer before he dropped it on the mat. But there was no stain."""
53,"""That, of course, proves nothing at all. There has been many a hammer murder and no trace on the hammer."""
54,"""Quite so. It doesn't prove it wasn't used. But there might have been stains, and that would have helped us. As a matter of fact there were none. Then I examined the gun. They were buckshot cartridges, and, as Sergeant Wilson pointed out, the triggers were wired together so that, if you pulled on the hinder one, both barrels were discharged. Whoever fixed that up had made up his mind that he was going to take no chances of missing his man. The sawed gun was not more than two foot long--one could carry it easily under one"
55,quote
56,"""I am sure we are honoured by your presence and to show you all we"
57,""""
58,"""That's the window,"""
59,"""It looks rather narrow for a man to pass."""
60,"""Well, it wasn't a fat man, anyhow. We don't need your deductions,"
61,to tell us that. But you or I could squeeze through all
62,"""I've had a good look, Mr. Holmes,"""
63,"""Is the water always turbid?"""
64,"""Generally about this colour. The stream brings down the clay."""
65,"""How deep is it?"""
66,"""About two feet at each side and three in the middle."""
67,"""So we can put aside all idea of the man having been drowned in"
68,"""No, a child could not be drowned in it."""
69,"""Anything fresh, Sergeant Wilson?"""
70,"""Then you can go home. You've had enough. We can send for you if we"
71,"Mrs. Douglas, and the housekeeper that we may want a"
72,"""Is it suicide, or is it murder--that's our first question,"
73,"is it not?"""
74,"""We can surely dismiss that,"""
75,"""Well, let's hear the argument."""
76,"""That's all clear enough."""
77,"""Well, now, we can reconstruct things on those lines."""
78,"""Man, it would be absolute nonsense if it wasn't that anything else"
79,quote
80,"Yes, sir, he cut himself in shaving yesterday morning."
81,"No, sir, nothing."
82,I don't think so.
83,"No, Mr. Holmes, it's in better hands than mine."
84,"That's my idea, too."
85,"It would be a grand help to the police, if these things were numbered and registered. But we must be thankful for what we've got. If we can't find where he went to, at least we are likely to get where he came from. But what in the name of all that is wonderful made the fellow leave it behind? And how in the world has he got away without it? We don't seem to get a gleam of light in the case, Mr. Holmes."
86,Have you seen all you want of the study?
87,For the time.
88,"Then perhaps you would now like to hear the evidence of some of the people in the house. We could use the dining-room, Ames. Please come yourself first and tell us what you know."
89,"The butler's account was a simple and a clear one, and he gave a convincing impression of sincerity. He had been engaged five years before, when Douglas first came to Birlstone. He understood that Mr. Douglas was a rich gentleman who had made his money in America. He had been a kind and considerate employer—not quite what Ames was used to, perhaps; but one can't have everything. He never saw any signs of apprehension in Mr. Douglas: on the contrary, he was the most fearless man he had ever known. He ordered the drawbridge to be pulled up every night because it was the ancient custom of the old house, and he liked to keep the old ways up."
90,"Mr. Douglas seldom went to London or left the village; but on the day before the crime he had been shopping at Tunbridge Wells. He (Ames) had observed some restlessness and excitement on the part of Mr. Douglas that day; for he had seemed impatient and irritable, which was unusual with him. He had not gone to bed that night; but was in the pantry at the back of the house, putting away the silver, when he heard the bell ring violently. He heard no shot; but it was hardly possible he would, as the pantry and kitchens were at the very back of the house and there were several"
91,quote
92,
93,""""
94,"was there not?"""
95,"Mr. Holmes,' he answered after a pause. 'The candle threw a very bad light. My first thought was to get a better one. The lamp was on the table; so I lit it.'"""
96,"and Barker, with a deliberate look from one to the other of us, which had, as it seemed to me, something of defiance in it, turned and left the room."""
97,"a tall and beautiful woman of thirty, reserved and self-possessed to a remarkable degree, very different from the tragic and distracted figure I had pictured. It is true that her face was pale and drawn, like that of one who has endured a great shock; but her manner was composed, and the finely moulded hand which she rested upon the edge of the table was as steady as my own. Her sad, appealing eyes travelled from one to the other of us with a curiously inquisitive expression. That questioning gaze transformed itself suddenly into abrupt speech."""
98,"Mrs. Douglas,"" said the inspector. ""You may rest assured that nothing will be neglected."""
99,""" she said in a dead, even tone. ""It is my desire that every possible effort should be made."""
100,"he turned me back upon the stairs. He begged me to return to my room."""
101,"and you had at once come down."""
102,"quote"""
103,"what's the game?"""
104,""""
105,""""
106,"and it may make a very great difference to me. You know Mr. Holmes and his relations with the police better than anyone else can. Supposing that a matter were brought confidentially to his knowledge, is it absolutely necessary that he should pass it on to the detectives?"""
107,"Dr. Watson! I assure you that you will be helping us--helping me greatly if you will guide us on that point."""
108,""""
109,"he would naturally feel loyalty towards the officials who were working on the same case, and he would not conceal from them anything which would help them in bringing a criminal to justice. Beyond this I can say nothing, and I would refer you to Mr. Holmes himself if you wanted fuller information."""
110,""""
111,"when I have exterminated that fourth egg I shall be ready to put you in touch with the whole situation. I don't say that we have fathomed it--far from it--but when we have traced the missing dumb-bell--"""
112,"Watson, is it possible that you have not penetrated the fact that the case hangs upon the missing dumb-bell? Well, well, you need not be downcast; for between ourselves I don't think that either Inspector Mac or the excellent local practitioner has grasped the overwhelming importance of this incident. One dumb-bell, Watson! Consider an athlete with one dumb-bell! Picture to yourself the unilateral development, the imminent danger of a spinal curvature. Shocking, Watson, shocking!"""
113,quote
114,"""A lie, Watson--a great, big, thumping, obtrusive, uncompromising lie--that's what meets us on the threshold! There is our starting point. The whole story told by Barker is a lie. But Barker's story is corroborated by Mrs. Douglas. Therefore she is lying also. They are both lying, and in a conspiracy. So now we have the clear problem. Why are they lying, and what is the truth which they are trying so hard to conceal? Let us try, Watson, you and I, if we can get behind the lie and reconstruct the truth."""
