number,quote
1,quote
2,"""For instance Mrs. Carruthers had a very strange experience yesterday morning. She bought two gills of picked shrimps at Elliot's. She called at two other shops and when she got home she found she had not got the shrimps with her. She went back to the two shops she had visited but these shrimps had completely disappeared. Now that seems to me very remarkable."""
3,"there are, of course, all kinds of possible explanations. For instance, somebody else—"""
4,"My dear Aunt,""I didn't mean that sort of village incident. I was thinking of murders and disappearances—the kind of thing that Sir Henry could tell us about by the hour if he liked."""
5,"But I never talk shop,"""
6,"I suppose there are a lot of murders and things that never are solved by the police,"""
7,"I know, dear,"" that your books are very clever. But do you think that people are really so unpleasant as you make them out to be?"""
8,"I mean,"" that so many people seem to me not to be either bad or good, but simply, you know, very silly."""
9,"Don't you think, Raymond,"" that you attach too much weight to imagination? Imagination is a very dangerous thing, as we lawyers know only too well. To be able to sift evidence impartially, to take the facts and look at them as facts—that seems to me the only logical method of arriving at the truth. I may add that in my experience it is the only one that succeeds."""
10,"""I don't know about that, dear,"" very painful and distressing things happen in villages sometimes."""
11,"""May I speak?"""
12,"""That would be lovely, Miss Marple,"" I didn't think you would care to play."""
13,quote
14,"“I think it would be very interesting,”"
15,"“especially with so many clever gentlemen present. I am afraid I am not clever myself, but living all these years in St. Mary Mead does give one an insight into human nature.”"
16,"“There was talk, I suppose,”"
17,“that usually is.”
18,quote
19,"""I have dropped another stitch. I have been so interested in the story. A sad case, a very sad case. It reminds me of old Mr. Hargraves who lived up at the Mount. His wife never had the least suspicion—until he died, leaving all his money to a woman he had been living with and by whom he had five children. She had at one time been their housemaid. Such a nice girl, Mrs. Hargraves always said—thoroughly to be relied upon to turn the mattresses every day—except Fridays, of course. And there was old Hargraves keeping this woman in a house in the neighbouring town and continuing to be a Churchwarden and to hand round the plate every Sunday."""
20,"""This story made me think of him at once. The facts are so very alike, aren’t they? I suppose the poor girl has confessed now and that is how you know, Sir Henry."""
21,"""That poor girl, Gladys Linch, of course—the one who was so terribly agitated when the doctor spoke to her—and well she might be, poor thing. I hope that wicked Jones is hanged, I am sure, making that poor girl a murderess. I suppose they will hang her too, poor thing."""
22,"""Cooks nearly always put hundreds and thousands on trifle, dear,”"
