number,quote
1,"I was thinking of actual bare prosaic facts, things that have happened and that no one has ever explained."
2,"I know just the sort of thing you mean, dear,"
3,For instance Mrs. Carruthers had a very strange experience yesterday morning. She bought two gills of picked shrimps at Elliots. She called at two other shops and when she got home she found she had not got the shrimps with her. She went back to the two shops she had visited but these shrimps had completely disappeared. Now that seems to me very remarkable.
4,"One sees, perhaps, motives that the ordinary person would pass by."
5,that your books are very clever. But do you think that people are really so unpleasant as you make them out to be?
6,keep your beliefs. Heaven forbid that I should in any way shatter them.
7,"I bet I could beat you all at this game. I am not only a woman—and say what you like, women have an intuition that is denied to men—I am an artist as well. I see things that you dont. And then, too, as an artist I have knocked about among all sorts and conditions of people. I know life as darling Miss Marple here cannot possibly know it."
8,"it seems to me we are a pretty representative gathering. How would it be if we formed a Club? What is today? Tuesday? We will call it The Tuesday Night Club. It is to meet every week, and each member in turn has to propound a problem. Some mystery of which they have personal knowledge, and to which, of course, they know the answer. Let me see, how many are we? One, two, three, four, five. We ought really to be six."
9,"especially with so many clever gentlemen present. I am afraid I am not clever myself, but living all these years in St. Mary Mead does give one an insight into human nature."
10,"As I say, the facts as such were very simple. Death was considered to be due to ptomaine poisoning, a certificate was given to that effect, and the victim was duly buried. But things did not rest at that."
11,What has dead and gone Hargraves got to do with the case?
12,"The facts are so very alike, arent they? I suppose the poor girl has confessed now and that is how you know, Sir Henry."
13,"The companion was banting, you remember. You never eat anything like trifle if you are banting; and I expect Jones just scraped the hundreds and thousands off his share and left them at the side of his plate. It was a clever idea, but a very wicked one."
14,"Well, Aunt Jane, this is one up to you. I cant think how on earth you managed to hit upon the truth. I should never have thought of the little maid in the kitchen being connected with the case."
15,"but you dont know as much of life as I do. A man of that Joness type—coarse and jovial. As soon as I heard there was a pretty young girl in the house I felt sure that he would not have left her alone. It is all very distressing and painful, and not a very nice thing to talk about. I cant tell you the shock it was to Mrs. Hargraves, and a nine days wonder in the village."
16,Since then I have never laughed at the people who use the word atmosphere. There is such a thing. There are certain places imbued and saturated with good or evil influences which can make their power felt.
