number,character,quote
1,hp,"Yes, that is so. But it was to be expected, was it not?"
2,mm,"Yes, Miss Marple. I have learned one thing through bitter experience. Never say to yourself that anyone is above suspicion. I gave you reasons just now why three of these people might after all be guilty, unlikely as it seemed. I did not at that time apply the same process to Charles Templeton. But I came to it at last through pursuing the rule I have just mentioned. And I was forced to recognize this: That every army and every navy and every police force has a certain number of traitors within its ranks, much as we hate to admit the idea. And I examined dispassionately the case against Charles Templeton.

“I asked myself very much the same questions as Miss Helier has just asked. Why should he, alone of all the house, not be able to produce the letter he had received—a letter, moreover, with a German stamp on it. Why should he have letters from Germany?

“The last question was an innocent one, and I actually put it to him. His reply came simply enough. His mother’s sister was married to a German. The letter had been from a German girl cousin. So I learned something I did not know before—that Charles Templeton had relations with people in Germany. And that put him definitely on the list of suspects—very much so. He is my own man—a lad I have always liked and trusted; but in common justice and fairness I must admit that he heads that list.

“But there it is—I do not know! I do not know . . . And in all probability I never shall know. It is not a question of punishing a murderer. It is a question that to me seems a hundred times more important. It is the blighting, perhaps, of an honourable man’s whole career . . . because of suspicion—a suspicion that I dare not disregard."
3,hp,"What I’m going to say now is quite true, Monsieur Poirot. Even though Linnet is dead, it doesn’t alter the truth. That’s why I’m not really sorry about her, even now. She went all out to get Simon away from me. That’s the absolute truth! I don’t think she even hesitated for more than about a minute. I was her friend, but she didn’t care. She just went bald-headed for Simon….

“And Simon didn’t care a damn about her! I talked a lot to you about glamour, but of course that wasn’t true. He didn’t want Linnet. He thought her good-looking but terribly bossy, and he hated bossy women! The whole thing embarrassed him frightfully. But he did like the thought of her money.

“Of course I saw that…and at last I suggested to him that it might be a good thing if he—got rid of me and married Linnet. But he scouted the idea. He said, money or no money, it would be hell to be married to her. He said his idea of having money was to have it himself—not to have a rich wife holding the purse strings. ‘I’d be a kind of damned Prince Consort,’ he said to me. He said, too, that he didn’t want anyone but me….

“I think I know when the idea came into his head. He said one day: ‘If I’d any luck, I’d marry her and she’d die in about a year and leave me all the boodle.’ And then a queer startled look came into his eyes. That was when he first thought of it….

“He talked about it a good deal, one way and another—about how convenient it would be if Linnet died. I said it was an awful idea, and then he shut up about it. Then, one day, I found him reading up all about arsenic. I taxed him with it then, and he laughed and said: ‘Nothing venture, nothing have! It’s about the only time in my life I shall be near to touching a far lot of money.’

“After a bit I saw that he’d made up his mind. And I was terrified—simply terrified. Because, you see, I realized that he’d never pull it off. He’s so childishly simple. He’d have no kind of subtlety about it—and he’s got no imagination. He would probably have just bunged arsenic into her and assumed the doctor would say she’d died of gastritis. He always thought things would go right.

“So I had to come into it, too, to look after him…."
4,hp,"Very well, Monsieur Fanthorp. Will you give me a brief account of your own movements last night after the events we have just been narrating?"
5,hp,"You call it guessing. I call it knowing, my friend."
6,mm,That’s the point of the telephone call. Kind of alibi. Knew we’d connect it with the first one. I’m going to look into this. She may have bribed some village lad to do the phoning for her. He’d never think of connecting it with the murder.
7,mm,Built I suppose in the 1700s. Am I right?
8,hp,"The window of M. Ratchett’s compartment was found wide open, leading one to suppose that the murderer escaped that way. But in my opinion that open window is a blind. Anyone departing that way would have left distinct traces in the snow. There were none."
9,hp,"Well, I do assure you that they’re very, very interesting. What with Moscow being exactly a thousand miles due north of—now what was it?—would it be Nineveh?—but anyway you take a circle and it just shows the most surprising things—and one can just see that there must have been special guidance, and that those ancient Egyptians couldn’t have thought of what they did all by themselves. And when you’ve gone into the theory of the numbers and their repetition, why it’s all just so clear that I can’t see how anyone can doubt the truth of it for a moment."
10,sh,"He was morbidly nervous of fire, and always kept this
     beside him, so that he might escape by the window in case the stairs
     were burning."
11,sh,"This great and sombre stage is set for something more worthy than
     that,"
12,mm,I’m sure it was nothing that she said—
13,mm,"I think we’ll stay at the Golden Boar for a little. That’s what you’re going to do, isn’t it, Miss Marple?"
14,mm,do you mean that there wasn’t any remorse? That there wasn’t—that she didn’t drown herself?
15,mm,"But you must admit that he could have invented the story quite easily. He could write the letter purporting to be from you himself. He could also dope himself after successfully committing the burglary. But I confess I don’t see where the point of all that would be. Easier to enter the house, help himself, and disappear quietly—unless just possibly he was observed by someone in the neighbourhood and knew himself to have been observed. Then he might hastily concoct this plan for diverting suspicion from himself and accounting for his presence in the neighbourhood."
16,sh,"The man motioned me to a chair, and turned to resume his own. As he
     did so I caught a glimpse of his face in the mirror over the
     mantelpiece. I could have sworn that it was set in a malicious and
     abominable smile. Yet I persuaded myself that it must have been some
     nervous contraction which I had surprised, for he turned to me an
     instant later with genuine concern upon his features."
17,hp,"My stomach, it is not happy on the sea."
18,hp,"It is a busy time for this young M. Raymond,"
19,mm,"Yes, I have heard of cases like that where these difficulties do arise."
20,mm,I really believe that wizened-up old maid thinks she knows everything there is to know. And hardly been out of this village all her life. Preposterous. What can she know of life?
21,sh,"I think I can promise you that you
     will feel even less humorous as the evening advances. Now, look here,
     Count Sylvius. I'm a busy man and I can't waste time. I'm going into
     that bedroom. Pray make yourselves quite at home in my absence. You
     can explain to your friend how the matter lies without the restraint
     of my presence. I shall try over the Hoffman 'Barcarole' upon my
     violin. In five minutes I shall return for your final answer. You
     quite grasp the alternative, do you not? Shall we take you, or shall
     we have the stone?"
22,hp,"We’re very sorry to bother you, Miss Otterbourne,"
23,sh,"Have you your stethoscope?
     Might I ask you--would you have the kindness? I have grave doubts as
     to my mitral valve, if you would be so very good. The aortic I may
     rely upon, but I should value your opinion upon the mitral."
