number,character,quote
1,hp,"I see, perhaps, more than you know, mademoiselle,"
2,sh,"We were gradually coming to that conclusion, were we not, Watson?"
3,sh,"Mr. Henry Wood, late of India, I believe,"
4,sh,"I have no doubt
     that you have been annoyed more than enough already over this
     business."
5,hp,"She’s got her eye on Patrick Redfern now. He’s a good-looking man—and rather the simple kind—you know, fond of his wife, and not a philanderer. That’s the kind that’s meat and drink to Arlena. I like little Mrs. Redfern—she’s nice looking in her fair washed-out way—but I don’t think she’ll stand a dog’s chance against that man-eating tiger, Arlena."
6,mm,I suppose you don’t know. I’ve forgotten to tell you. Miss Bradbury-Scott very kindly asked me to come back and stay another night—or two nights—here.
7,hp,"You do not comprehend, Captain Marshall. There is no such thing as a plain fact of murder. Murder springs, nine times out of ten, out of the character and circumstances of the murdered person. Because the victim was the kind of person he or she was, therefore was he or she murdered! Until we can understand fully and completely exactly what kind of a person Arlena Marshall was, we shall not be able to see clearly exactly the kind of person who murdered her. From that springs the necessity of our questions."
8,hp,"Terrible shock to them, of course. I left them to recover a bit before questioning them, so you can start from the beginning there."
9,sh,"I hope you preserved all precautions, Mrs. Hudson?"
10,hp,Get a doctor—as quick as you possibly can. But I’m afraid—very much afraid—it may be too late.
11,sh,"Until we got three-quarters down Regent Street. Then my gentleman
     threw up the trap, and he cried that I should drive right away to
     Waterloo Station as hard as I could go. I whipped up the mare and we
     were there under the ten minutes. Then he paid up his two guineas,
     like a good one, and away he went into the station. Only just as he
     was leaving he turned round and he said: 'It might interest you to
     know that you have been driving Mr. Sherlock Holmes.' That's how I
     come to know the name."
12,hp,"And how do you propose that that should be accomplished, Madame?"
13,sh,I believe that you are the devil himself!
14,mm,"I think so. She’s the same person who visited me—I won’t say visited me exactly, but she was outside my garden fence in St. Mary Mead, the village where I live. She expressed pleasure at my garden and talked about gardening with me. Told me she was living in the village and working in somebody’s garden, who’d moved into a new house there. I rather think,"
15,hp,I’ve never known her anything but sweet to him. I suppose she was fond of him. He’s a dear—wrapped up in his own world—his digging and his theories. And he worshipped her and thought her perfection. That might have annoyed some women. It didn’t annoy her. In a sense he lived in a fool’s paradise—and yet it wasn’t a fool’s paradise because to him she was what he thought her. Though it’s hard to reconcile that with—
16,sh,"And now it is
     time that we arranged our little plans. I expect that within an hour
     matters will come to a head. In the meantime Mr. Merryweather, we
     must put the screen over that dark lantern."
17,sh,The way you kept on my trail was a caution.
18,mm,"She’d have to change a bit if she was to be suitable,"
19,mm,"Oh yes. Well, if I did, I shouldn’t be at all satisfied to trust to fright. I know one reads of people dying of it, but it seems a very uncertain sort of thing, and the most nervous people are far more brave than one really thinks they are. I should like something definite and certain, and make a thoroughly good plan about it."
20,hp,"whatever else I may be, I
am not a fool."
21,hp,"when you broke down the door with Dr.
Sheppard last night, and found your master dead, what was the state of
the fire?"
22,hp,And the letter reached New York after the Carmanic sailed?
23,hp,"You need not make a long business of this, Messieurs. Your next question will be—how did my handkerchief come to be lying by a murdered man’s body? My reply to that is that I have no idea."
24,mm,I don’t think I should have enjoyed much more of it.
25,hp,You mean that he has still the mentality of a boy?
26,sh,"I'll give you one. This case
     is quite sufficiently complicated to start with without the further
     difficulty of false information."
27,hp,"No, I would not say that. But I think more force than an elderly woman could display, and Princess Dragomiroff’s physique is particularly frail."
28,sh,"Well, Watson, there seemed to be no more to say, so I took my leave
     with as much cold dignity as I could summon, but, as I had my hand on
     the door-handle, he stopped me."
29,sh,"Well, well, you may see for yourself. If not, there's no harm done.
     Of course, we always have the optician clue to fall back upon, but I
     take a short cut when I can get it. Ah, here is the good Mrs. Marker!
     Let us enjoy five minutes of instructive conversation with her."
30,hp,"Ecoutez, Madame. I will recount to you a little history. It is that one day, a month or two ago, I am dining in a restaurant in London. At the table next to me are two people, a man and a girl. They are very happy, so it seems, very much in love. They talk with confidence of the future. It is not that I listen to what is not meant for me; they are quite oblivious of who hears them and who does not. The man’s back is to me, but I can watch the girl’s face. It is very intense. She is in love—heart, soul, and body—and she is not of those who love lightly and often. With her it is clearly the life and the death. They are engaged to be married, these two; that is what I gather; and they talk of where they shall pass the days of their honeymoon. They plan to go to Egypt."
31,sh,"the more bizarre a thing is the less
     mysterious it proves to be. It is your commonplace, featureless
     crimes which are really puzzling, just as a commonplace face is the
     most difficult to identify. But I must be prompt over this matter."
32,mm,One always does. Is Miss Instow a pretty girl? I suppose she plays golf?
33,mm,"It’s all much the same kind, really, isn’t it?"
34,hp,"My friend, do not be impatient. In a case like this everything must be approached with order and method. In fact, that is my rule in every case. Having disposed of certain possibilities, we now approach a very important point. It is vital that, as you say—all the cards should be on the table—there must be nothing kept back."
35,mm,"About herself, you know, and her people. They all seem to be dead or in India. Very sad. By the way, she has gone to Old Hall for the weekend."
36,mm,"I expect you saw the notice of Mr. Rafiel’s death,"
37,sh,"I will not cause you
     any unnecessary trouble, Lady Brackenstall, and my whole desire is to
     make things easy for you, for I am convinced that you are a
     much-tried woman. If you will treat me as a friend and trust me you
     may find that I will justify your trust."
38,mm,"You must go on believing as you do,"
39,sh,"I think that what you have been good enough to
     tell us makes the matter fairly clear, and that I can deduce all that
     remains. Mr. Rucastle then, I presume, took to this system of
     imprisonment?"
40,sh,"Possibly it is
     familiar to you. In any case, my business is that of every other good
     citizen--to uphold the law. It seems to me that you have much to
     answer for."
41,hp,"It certainly doesn’t seem to make sense to me,"
42,sh,"But
     we had no trouble of any kind."
43,sh,"I confess that I had my doubts myself when I reflected upon the great
     traffic which had passed along the London road in the interval. My
     fears were soon appeased, however. Toby never hesitated or swerved,
     but waddled on in his peculiar rolling fashion. Clearly, the pungent
     smell of the creasote rose high above all other contending scents."
44,hp,"we’ve done our job. I’ve arranged for Richetti to be taken ashore first. Glad we’ve got him. He’s been a slippery customer, I can tell you. Given us the slip dozens of times."
45,mm,"I didn’t mean that. I mean, there seems to be in you, or so I feel it, a very strong belief that those two loved each other, that they meant to marry, but that something happened that prevented it. Something that ended in her death, but you still really believe that they were coming to you to get married that day?"
46,sh,"Ah, yes, the box. The professor brought back a little wooden box
     from his travels. It was the one thing which suggested a Continental
     tour, for it was one of those quaint carved things which one
     associates with Germany. This he placed in his instrument cupboard.
     One day, in looking for a canula, I took up the box. To my surprise
     he was very angry, and reproved me in words which were quite savage
     for my curiosity. It was the first time such a thing had happened,
     and I was deeply hurt. I endeavoured to explain that it was a mere
     accident that I had touched the box, but all the evening I was
     conscious that he looked at me harshly and that the incident was
     rankling in his mind."
47,sh,"It was very nice and complimentary of you,"
48,mm,Let me see—how had I better go on?
49,sh,"I wished Mr. Acton to be present while I demonstrated this small
     matter to you,"
50,sh,"Is it really you? Can it indeed be that you are
     alive? Is it possible that you succeeded in climbing out of that
     awful abyss?"
51,mm,The one Mrs. Bantry calls the Pussy woman.
52,mm,Fancy her turning up. I thought she’d died a long time ago.
53,mm,"To creep up, shoot him, alter the clock hands back to 6:20, and leave again would have taken him all his time. I shall never forget his face when I met him outside the gate, or the way he said, ‘You want to see Protheroe—oh, you’ll see him all right!’ That in itself ought to have made me suspicious of what had just taken place a few minutes before."
54,hp,Whereas one cannot command a crime to order? Very true.
55,mm,"Romantic is the last thing that I am,"
56,sh,"You are a private individual. You have no warrant for my arrest. The
     whole proceeding is absolutely illegal and outrageous."
57,mm,I really believe that wizened-up old maid thinks she knows everything there is to know. And hardly been out of this village all her life. Preposterous. What can she know of life?
58,sh,From one or two friends there on the occasion of my marriage.
59,mm,"Miss Cram came to see me this afternoon,"
60,mm,you wouldn’t do that. You loved her and you would not be able to do that.
61,sh,"Watson, I think that we shall
     accompany Dr. Huxtable back to the North of England. And now, Dr.
     Huxtable, when you have consumed that milk you will kindly tell me
     what has happened, when it happened, how it happened, and, finally,
     what Dr. Thorneycroft Huxtable, of the Priory School, near Mackleton,
     has to do with the matter, and why he comes three days after an
     event--the state of your chin gives the date--to ask for my humble
     services."
62,sh,"I have given you the chance. Here
     are your lodgings. Good-bye. I shall drop you a line before I leave."
63,hp,"Superficially, that is easy. The Gardeners are a middle-aged married couple, pleasant, travelled. All the talking is done by the lady. The husband is acquiescent. He plays tennis and golf and has a form of dry humour that is attractive when one gets him to oneself."
64,mm,"It’s a nice day, it is. I see you’ve got your curtains drawn back already. You’ve slept well then?"
65,hp,"Why, it does seem kind of familiar—only I always thought it was a woman’s dressmaker."
66,sh,"and beneath were the following
     enigmatical notices:


     4th. Hudson came. Same old platform.
     7th. Set the pips on McCauley, Paramore, and John Swain, of St.
     Augustine.
     9th. McCauley cleared.
     10th. John Swain cleared.
     12th. Visited Paramore. All well."
