no.,character,quote
1,holmes,Who knew that you were going to the Northumberland Hotel?
2,holmes,"When you
     entered the room there was only a candle lighted on the table, was
     there not?"
3,holmes,"You have already imperilled the whole success of our
     expedition. Might I beg that you would have the goodness to sit down
     upon one of those boxes, and not to interfere?"
4,holmes,"And yet it may be premature to abandon the
     case. After all, important fresh evidence is a two-edged thing, and
     may possibly cut in a very different direction to that which Lestrade
     imagines. Take your breakfast, Watson, and we will go out together
     and see what we can do. I feel as if I shall need your company and
     your moral support to-day."
5,holmes,"I fancy
     that my pal is all right, though I see you have got his coat-tails."
6,holmes,"Our lady must have picked her steps carefully, must
     she not, since on the one side she would leave a track on the path,
     and on the other an even clearer one on the soft bed?"
7,holmes,"It seemed to me incredible that such a charge could be sustained. I
     thought that if we waited the whole thing must clear itself up
     without our being compelled to enter into painful details of the
     inner life of the family. But I understand that far from clearing it
     has become even more serious."
8,holmes,"I perceive that you
     are not yourself a member of the family."
9,holmes,"because you once enabled
     my employer, Mrs. Cecil Forrester, to unravel a little domestic
     complication. She was much impressed by your kindness and skill."
10,holmes,"I thought you Londoners were
     never at fault. You dont seem to be so very quick, after all."
11,holmes,"And now it is
     time that we arranged our little plans. I expect that within an hour
     matters will come to a head. In the meantime Mr. Merryweather, we
     must put the screen over that dark lantern."
12,holmes,"Tavernier, the French modeller, made it. He is as good at
     waxworks as your friend Straubenzee is at air-guns."
13,holmes,"Ah, thats the question, of course. But I commend the idea to your
     mind. You might possibly find that there was something in it. You
     wont stop for dinner? Well, good-bye, and let us know how you get
     on."
14,holmes,"There are three men waiting for him at the door,"
15,holmes,Mr. Nathan Garrideb shrugged his shoulders with a disconsolate air.
16,holmes,"If they are not worth more than the last ones they are not of much
     use,"
17,holmes,"The facts, as you state them, are certainly most remarkable,"
18,holmes,"Down on the beach. Exactly where poor McPherson met his end. If this
     mans heart had been weak as McPhersons was, he would not be here
     now. More than once I thought he was gone as I brought him up. It was
     too far to The Gables, so I made for you."
