number,quote
1,"As he spoke there was a sharp ring at the bell. Sherlock Holmes rose
     softly and moved his chair in the direction of the door. We heard the
     servant pass along the hall, and the sharp click of the latch as she
     opened it."
2,I was afraid that you were engaged.
3,"I
     thought at first that you had done something clever, but I see that
     there was nothing in it, after all."
4,"that I make a mistake in
     explaining. Omne ignotum pro magnifico, you know, and my poor
     little reputation, such as it is, will suffer shipwreck if I am so
     candid. Can you not find the advertisement, Mr. Wilson?"
5,"That will do, Mr. Wilson. I shall be happy to give you an opinion
     upon the subject in the course of a day or two. To-day is Saturday,
     and I hope that by Monday we may come to a conclusion."
6,"what do
     you make of it all?"
7,"Sarasate plays at the St. Jamess Hall this afternoon,"
8,"My experience of camp life in Afghanistan had at least had the effect
     of making me a prompt and ready traveller. My wants were few and
     simple, so that in less than the time stated I was in a cab with my
     valise, rattling away to Paddington Station. Sherlock Holmes was
     pacing up and down the platform, his tall, gaunt figure made even
     gaunter and taller by his long grey travelling-cloak and
     close-fitting cloth cap."
9,"just sit
     down in this chair and let me preach to you for a little. I dont
     know quite what to do, and I should value your advice. Light a cigar
     and let me expound."
10,"Just tell us the truth,"
11,"We sat in silence for some minutes, Holmes more depressed and shaken
     than I had ever seen him."
12,"There was a movement and an exclamation from my right, and peering
     through the gloom, I saw Whitney, pale, haggard, and unkempt, staring
     out at me."
13,"He put his two forefingers between his teeth and whistled shrilly--a
     signal which was answered by a similar whistle from the distance,
     followed shortly by the rattle of wheels and the clink of horses
     hoofs."
14,Game for a morning drive?
15,"I want to test a little theory of mine,"
16,"but its the common
     lot this morning. Mrs. Hudson has been knocked up, she retorted upon
     me, and I on you."
17,"She dropped her thick black veil over her face and glided
     from the room."
18,"His conduct was
     certainly not very gracious."
19,"perhaps you would not be very
     gracious either, if, after all the trouble of wooing and wedding, you
     found yourself deprived in an instant of wife and of fortune. I think
     that we may judge Lord St. Simon very mercifully and thank our stars
     that we are never likely to find ourselves in the same position. Draw
     your chair up and hand me my violin, for the only problem we have
     still to solve is how to while away these bleak autumnal evenings."
20,"I cried with all the enthusiasm
     of a man fresh from the fogs of Baker Street.

     But Holmes shook his head gravely."
21,How do you define the word grotesque?
22,"We sat for some time in silence after our visitors had left. Holmes
     smoked hard, with his browns drawn down over his keen eyes, and his
     head thrust forward in the eager way characteristic of the man."
23,"Theyve gone, Mr. Holmes. They went by the last train. The lady
     broke away, and Ive got her in a cab downstairs."
24,"It does seem a most preposterous
     way of settling a dispute."
25,"Yes, sir; prints it in pencil. Just the word, nothing more. Heres
     the one I brought to show you--soap. Heres another--match. This is
     one he left the first morning--daily gazette. I leave that paper with
     his breakfast every morning."
26,That he desired to conceal his handwriting.
27,"But why? What can it matter to him that his landlady should have a
     word of his writing? Still, it may be as you say. Then, again, why
     such laconic messages?"
28,"Exactly. There was evidently some mark, some thumbprint, something
     which might give a clue to the persons identity. Now. Mrs. Warren,
     you say that the man was of middle size, dark, and bearded. What age
     would he be?"
29,"So it proved; for in the morning I found my friend standing on the
     hearthrug with his back to the fire and a smile of complete
     satisfaction upon his face."
30,"At half-past twelve we found ourselves upon the steps of Mrs.
     Warrens house--a high, thin, yellow-brick edifice in Great Orme
     Street, a narrow thoroughfare at the northeast side of the British
     Museum. Standing as it does near the corner of the street, it
     commands a view down Howe Street, with its ore pretentious houses.
     Holmes pointed with a chuckle to one of these, a row of residential
     flats, which projected so that they could not fail to catch the eye."
31,My companion gave a sudden chuckle of comprehension.
32,"There is some devilry going
     forward! Why should such a message stop in such a way? I should put
     Scotland Yard in touch with this business--and yet, it is too
     pressing for us to leave."
33,"All my instincts are against this explanation. Use your powers! Go
     to the scene of the crime! See the people concerned! Leave no stone
     unturned! In all your career you have never had so great a chance of
     serving your country."
34,"We certainly owe Brother Mycroft a debt for
     having introduced us to what promises to be a really very remarkable
     case."
35,"He gave an exclamation; that was all. I waited but he never
     returned. Then I walked home. Next morning, after the office opened,
     they came to inquire. About twelve oclock we heard the terrible
     news. Oh, Mr. Holmes, if you could only, only save his honour! It was
     so much to him."
36,"our ways lie elsewhere. Our next station
     must be the office from which the papers were taken."
37,"So far we are justified,"
38,A masterpiece. You have never risen to a greater height.
39,"This was
     not the bird that I was looking for."
40,"He was indeed a deplorable spectacle. In the dim light of a foggy
     November day the sick room was a gloomy spot, but it was that gaunt,
     wasted face staring at me from the bed which sent a chill to my
     heart. His eyes had the brightness of fever, there was a hectic flush
     upon either cheek, and dark crusts clung to his lips; the thin hands
     upon the coverlet twitched incessantly, his voice was croaking and
     spasmodic. He lay listlessly as I entered the room, but the sight of
     me brought a gleam of recognition to his eyes."
41,"The incident left a most unpleasant impression upon my mind. The
     violent and causeless excitement, followed by this brutality of
     speech, so far removed from his usual suavity, showed me how deep was
     the disorganization of his mind. Of all ruins, that of a noble mind
     is the most deplorable. I sat in silent dejection until the
     stipulated time had passed. He seemed to have been watching the clock
     as well as I, for it was hardly six before he began to talk with the
     same feverish animation as before."
42,"To tell the truth, my desire to fetch a doctor had somewhat weakened,
     for poor Holmes was so obviously delirious that it seemed dangerous
     to leave him. However, he was as eager now to consult the person
     named as he had been obstinate in refusing."
43,"said he. There was a whisk of feminine
     skirts down the passage, and the hall door was opened and shut."
44,"The authority in Holmess voice had its effect upon the bearers.
     Peters had suddenly vanished into the house, and they obeyed these
     new orders."
45,"Let us walk along the
     cliffs together and search for flint arrows. We are more likely to
     find them than clues to this problem. To let the brain work without
     sufficient material is like racing an engine. It racks itself to
     pieces. The sea air, sunshine, and patience, Watson--all else will
     come."
46,"The
     famous doctor strode out of our cottage in considerable ill-humour,
     and within five minutes Holmes had followed him. I saw him no more
     until the evening, when he returned with a slow step and haggard face
     which assured me that he had made no great progress with his
     investigation. He glanced at a telegram which awaited him and threw
     it into the grate."
47,"I owe you both my thanks and an apology. It was an unjustifiable
     experiment even for ones self, and doubly so for a friend. I am
     really very sorry."
48,"A candid
     observer would certainly declare that we were so already before we
     embarked upon so wild an experiment. I confess that I never imagined
     that the effect could be so sudden and so severe."
49,"Some fumes which are not poisonous would be a welcome change,"
50,"I think you must agree, Watson, that it is not a case in which
     we are called upon to interfere. Our investigation has been
     independent, and our action shall be so also. You would not denounce
     the man?"
51,"I feel twenty years younger, Holmes. I have seldom felt so happy as
     when I got your wire asking me to meet you at Harwich with the car.
     But you, Holmes--you have changed very little--save for that horrible
     goatee."
52,"To-morrow it will be but a
     dreadful memory. With my hair cut and a few other superficial changes
     I shall no doubt reappear at Claridges to-morrow as I was before
     this American stunt--I beg your pardon, Watson, my well of English
     seems to be permanently defiled--before this American job came my
     way."
53,Do you know anything of this man Damery?
54,"His collaboration may be very necessary, for we are
     dealing on this occasion, Mr. Holmes, with a man to whom violence is
     familiar and who will, literally, stick at nothing. I should say that
     there is no more dangerous man in Europe."
55,I should think you had better see the young lady herself.
56,What are you going to do now?
57,"That was what I read in the inspectors
     smile."
