number,quote
1,"I was thinking of actual bare prosaic facts, things that have happened and that no one has ever explained."
2,"I know just the sort of thing you mean, dear,"
3,For instance Mrs. Carruthers had a very strange experience yesterday morning. She bought two gills of picked shrimps at Elliot’s. She called at two other shops and when she got home she found she had not got the shrimps with her. She went back to the two shops she had visited but these shrimps had completely disappeared. Now that seems to me very remarkable.
4,"There are, of course, all kinds of possible explanations,"
5,"For instance, somebody else—"
6,"One sees, perhaps, motives that the ordinary person would pass by."
7,"I know, dear,"
8,that your books are very clever. But do you think that people are really so unpleasant as you make them out to be?
9,keep your beliefs. Heaven forbid that I should in any way shatter them.
10,"I mean,"
11,"I bet I could beat you all at this game. I am not only a woman—and say what you like, women have an intuition that is denied to men—I am an artist as well. I see things that you don’t. And then, too, as an artist I have knocked about among all sorts and conditions of people. I know life as darling Miss Marple here cannot possibly know it."
12,"I don’t know about that, dear,"
13,Very painful and distressing things happen in villages sometimes.
14,"it seems to me we are a pretty representative gathering. How would it be if we formed a Club? What is today? Tuesday? We will call it The Tuesday Night Club. It is to meet every week, and each member in turn has to propound a problem. Some mystery of which they have personal knowledge, and to which, of course, they know the answer. Let me see, how many are we? One, two, three, four, five. We ought really to be six."
15,"You have forgotten me, dear,"
16,I didn’t think you would care to play.
17,"I think it would be very interesting,"
18,"especially with so many clever gentlemen present. I am afraid I am not clever myself, but living all these years in St. Mary Mead does give one an insight into human nature."
19,"As I say, the facts as such were very simple. Death was considered to be due to ptomaine poisoning, a certificate was given to that effect, and the victim was duly buried. But things did not rest at that."
20,there usually is.
21,"And now, Sir Henry, tell us,"
22,"One moment,"
23,Miss Marple has not yet spoken.
24,"I have dropped another stitch. I have been so interested in the story. A sad case, a very sad case. It reminds me of old Mr. Hargraves who lived up at the Mount. His wife never had the least suspicion—until he died, leaving all his money to a woman he had been living with and by whom he had five children. She had at one time been their housemaid. Such a nice girl, Mrs. Hargraves always said—thoroughly to be relied upon to turn the mattresses every day—except Fridays, of course. And there was old Hargraves keeping this woman in a house in the neighbouring town and continuing to be a Churchwarden and to hand round the plate every Sunday."
25,What has dead and gone Hargraves got to do with the case?
