number,quote
1,"I see it, I deduce it. How do I know that you have been getting
     yourself very wet lately, and that you have a most clumsy and
     careless servant girl?"
2,"this is too much. You would certainly have
     been burned, had you lived a few centuries ago. It is true that I had
     a country walk on Thursday and came home in a dreadful mess, but as I
     have changed my clothes I can't imagine how you deduce it. As to Mary
     Jane, she is incorrigible, and my wife has given her notice, but
     there, again, I fail to see how you work it out."
3,"Such paper could
     not be bought under half a crown a packet. It is peculiarly strong
     and stiff."
4,"Peculiar--that is the very word,"
5,"It is not an English
     paper at all. Hold it up to the light."
6,What do you make of that?
7,"The name of the maker, no doubt; or his monogram, rather."
8,"Yes,"
9,Come in!
10,"Pray take a seat,"
11,"This is my friend and colleague,
     Dr. Watson, who is occasionally good enough to help me in my cases.
     Whom have I the honour to address?"
12,"by binding you both to absolute secrecy for two years; at the end of
     that time the matter will be of no importance. At present it is not
     too much to say that it is of such weight it may have an influence
     upon European history."
13,"I promise,"
14,And I.
15,"You will excuse this mask,"
16,"The
     august person who employs me wishes his agent to be unknown to you,
     and I may confess at once that the title by which I have just called
     myself is not exactly my own."
17,"I was aware of it,"
18,"The circumstances are of great delicacy, and every precaution has to
     be taken to quench what might grow to be an immense scandal and
     seriously compromise one of the reigning families of Europe. To speak
     plainly, the matter implicates the great House of Ormstein,
     hereditary kings of Bohemia."
19,"you can
     understand that I am not accustomed to doing such business in my own
     person. Yet the matter was so delicate that I could not confide it to
     an agent without putting myself in his power. I have come incognito
     from Prague for the purpose of consulting you."
20,"Then, pray consult,"
21,"The facts are briefly these: Some five years ago, during a lengthy
     visit to Warsaw, I made the acquaintance of the well-known
     adventuress, Irene Adler. The name is no doubt familiar to you."
22,Let me see!
23,"Hum! Born in New Jersey in the year 1858.
     Contralto--hum! La Scala, hum! Prima donna Imperial Opera of
     Warsaw--yes! Retired from operatic stage--ha! Living in London--quite
     so! Your Majesty, as I understand, became entangled with this young
     person, wrote her some compromising letters, and is now desirous of
     getting those letters back."
24,Absolutely none.
25,"But a very serious one to me,"
26,"Because she has said that she would send it on the day when the
     betrothal was publicly proclaimed. That will be next Monday."
27,"Oh, then we have three days yet,"
28,"That is
     very fortunate, as I have one or two matters of importance to look
     into just at present. Your Majesty will, of course, stay in London
     for the present?"
29,"There are three hundred pounds in gold and seven hundred in notes,"
30,"Is Briony Lodge, Serpentine Avenue, St. John's Wood."
31,"Was the
     photograph a cabinet?"
