number,quote
1,"that Dr. Mortimer is a successful, elderly medical man,
     well-esteemed since those who know him give him this mark of their
     appreciation."
2,Good!
3,Excellent!
4,"I think also that the probability is in favour of his being a
     country practitioner who does a great deal of his visiting on foot."
5,"Because this stick, though originally a very handsome one has been
     so knocked about that I can hardly imagine a town practitioner
     carrying it. The thick-iron ferrule is worn down, so it is evident
     that he has done a great amount of walking with it."
6,Perfectly sound!
7,"And then again, there is the 'friends of the C.C.H.' I should guess
     that to be the Something Hunt, the local hunt to whose members he has
     possibly given some surgical assistance, and which has made him a
     small presentation in return."
8,"Really, Watson, you excel yourself,"
9,"I am bound to say that in all the
     accounts which you have been so good as to give of my own small
     achievements you have habitually underrated your own abilities. It
     may be that you are not yourself luminous, but you are a conductor of
     light. Some people without possessing genius have a remarkable power
     of stimulating it. I confess, my dear fellow, that I am very much in
     your debt."
10,"Mortimer, James, M.R.C.S., 1882, Grimpen, Dartmoor, Devon.
     House-surgeon, from 1882 to 1884, at Charing Cross Hospital. Winner
     of the Jackson prize for Comparative Pathology, with essay entitled
     'Is Disease a Reversion?' Corresponding member of the Swedish
     Pathological Society. Author of 'Some Freaks of Atavism' (Lancet
     1882). 'Do We Progress?' (Journal of Psychology, March, 1883).
     Medical Officer for the parishes of Grimpen, Thorsley, and High
     Barrow."
11,"No mention of that local hunt, Watson,"
12,"but a country doctor, as you very astutely
     observed. I think that I am fairly justified in my inferences. As to
     the adjectives, I said, if I remember right, amiable, unambitious,
     and absent-minded. It is my experience that it is only an amiable man
     in this world who receives testimonials, only an unambitious one who
     abandons a London career for the country, and only an absent-minded
     one who leaves his stick and not his visiting-card after waiting an
     hour in your room."
13,"I was not sure whether I had left it here or in the
     Shipping Office. I would not lose that stick for the world."
14,"A presentation, I see,"
15,"Yes, sir."
16,From Charing Cross Hospital?
17,From one or two friends there on the occasion of my marriage.
18,"Dear, dear, that's bad!"
19,"Yes, sir. I married, and so left the hospital, and with it all hopes
     of a consulting practice. It was necessary to make a home of my own."
20,"Come, come, we are not so far wrong, after all,"
21,"And
     now, Dr. James Mortimer--"
22,"Mister, sir, Mister--a humble M.R.C.S."
23,"Indeed, sir! May I inquire who has the honour to be the first?"
24,"To the man of precisely scientific mind the work of Monsieur
     Bertillon must always appeal strongly."
25,"I said, sir, to the precisely scientific mind. But as a practical
     man of affairs it is acknowledged that you stand alone. I trust, sir,
     that I have not inadvertently--"
26,"Just a little,"
27,"I think, Dr. Mortimer, you would do
     wisely if without more ado you would kindly tell me plainly what the
     exact nature of the problem is in which you demand my assistance."
28,"I observed it as you entered the room,"
29,It is an old manuscript.
30,"Early eighteenth century, unless it is a forgery."
31,
32,"Why, yes,"
33,Who knew that you were going to the Northumberland Hotel?
34,No one could have known. We only decided after I met Dr. Mortimer.
35,"Now,"
36,"You shall share our knowledge before you leave this room, Sir Henry.
     I promise you that,"
37,"We will confine ourselves
     for the present with your permission to this very interesting
     document, which must have been put together and posted yesterday
     evening. Have you yesterday's Times, Watson?"
38,"What do you think of that, Watson?"
39,"Don't you think that
     is an admirable sentiment?"
40,"But this is my special hobby, and the differences are equally
     obvious. There is as much difference to my eyes between the leaded
     bourgeois type of a Times article and the slovenly print of an
     evening half-penny paper as there could be between your negro and
     your Esquimau. The detection of types is one of the most elementary
     branches of knowledge to the special expert in crime, though I
     confess that once when I was very young I confused the Leeds Mercury
     with the Western Morning News. But a Times leader is entirely
     distinctive, and these words could have been taken from nothing else.
     As it was done yesterday the strong probability was that we should
     find the words in yesterday's issue."
41,someone cut out this message with a scissors--
42,"Nail-scissors,"
43,"You can see that it was a very
     short-bladed scissors, since the cutter had to take two snips over
     'keep away.'"
44,"That is so. Someone, then, cut out the message with a pair of
     short-bladed scissors, pasted it with paste--"
45,"Gum,"
46,"With gum on to the paper. But I want to know why the word 'moor'
     should have been written?"
47,"It is a blank half-sheet of
     paper, without even a water-mark upon it. I think we have drawn as
     much as we can from this curious letter; and now, Sir Henry, has
     anything else of interest happened to you since you have been in
     London?"
48,"Well, he asked me for anything outside the ordinary routine."
49,"Exactly,"
50,"however foolish the incident may seem. You
     have lost one of your boots, you say?"
51,"I did a good deal of shopping. Dr. Mortimer here went round with me.
     You see, if I am to be squire down there I must dress the part, and
     it may be that I have got a little careless in my ways out West.
     Among other things I bought these brown boots--gave six dollars for
     them--and had one stolen before ever I had them on my feet."
52,"It seems a singularly useless thing to steal,"
53,"I confess that I share Dr. Mortimer's belief that it will not be
     long before the missing boot is found."
54,"it seems to
     me that I have spoken quite enough about the little that I know. It
     is time that you kept your promise and gave me a full account of what
     we are all driving at."
55,"Your request is a very reasonable one,"
56,"Dr.
     Mortimer, I think you could not do better than to tell your story as
     you told it to us."
57,"It seems to show that someone knows more than we do about what goes
     on upon the moor,"
58,"And also,"
59,"that someone is not ill-disposed towards
     you, since they warn you of danger."
60,There now!
61,"There is no object in our following them,"
62,"The shadow
     has departed and will not return. We must see what further cards we
     have in our hands and play them with decision. Could you swear to
     that man's face within the cab?"
63,"Let me have the Hotel Directory,"
64,"Thank you! Now,
     Cartwright, there are the names of twenty-three hotels here, all in
     the immediate neighbourhood of Charing Cross. Do you see?"
65,He asked me to show you up at once when you came.
66,Have you any objection to my looking at your register?
67,Not in the least.
68,"Surely that must be the same Johnson whom I used to know,"
69,"A lawyer, is he not, gray-headed, and walks
     with a limp?"
70,"I just don't attempt to explain it. It seems the very maddest,
     queerest thing that ever happened to me."
71,The queerest perhaps--
72,What do you make of it yourself?
73,"Well, I don't profess to understand it yet. This case of yours is
     very complex, Sir Henry. When taken in conjunction with your uncle's
     death I am not sure that of all the five hundred cases of capital
     importance which I have handled there is one which cuts so deep. But
     we hold several threads in our hands, and the odds are that one or
     other of them guides us to the truth. We may waste time in following
     the wrong one, but sooner or later we must come upon the right."
74,To go to Baskerville Hall.
75,And when?
76,At the end of the week.
77,"On the whole,"
78,"I think that your decision is a wise
     one. I have ample evidence that you are being dogged in London, and
     amid the millions of this great city it is difficult to discover who
     these people are or what their object can be. If their intentions are
     evil they might do you a mischief, and we should be powerless to
     prevent it. You did not know, Dr. Mortimer, that you were followed
     this morning from my house?"
79,That is true.
80,Did Barrymore profit at all by Sir Charles's will?
81,He and his wife had five hundred pounds each.
82,Ha! Did they know that they would receive this?
83,"I do not know how I could
     employ my time better."
84,"And you will report very carefully to me,"
85,"When a
     crisis comes, as it will do, I will direct how you shall act. I
     suppose that by Saturday all might be ready?"
86,My missing boot!
87,May all our difficulties vanish as easily!
88,"But it is a very singular thing,"
89,"I searched
     this room carefully before lunch."
90,"I've driven my cab this seven
     years and never a word of complaint. I came here straight from the
     Yard to ask you to your face what you had against me."
91,"I have nothing in the world against you, my good man,"
92,"On the contrary, I have half a sovereign for you if you will give me
     a clear answer to my questions."
93,"Oh, he mentioned his
     name, did he? That was imprudent. What was the name that he
     mentioned?"
94,"His name,"
95,"He hailed me at half-past nine in Trafalgar Square. He said that he
     was a detective, and he offered me two guineas if I would do exactly
     what he wanted all day and ask no questions. I was glad enough to
     agree. First we drove down to the Northumberland Hotel and waited
     there until two gentlemen came out and took a cab from the rank. We
     followed their cab until it pulled up somewhere near here."
96,"This very door,"
97,"Well, I couldn't be sure of that, but I dare say my fare knew all
     about it. We pulled up half-way down the street and waited an hour
     and a half. Then the two gentlemen passed us, walking, and we
     followed down Baker Street and along--"
98,"I know,"
99,"Until we got three-quarters down Regent Street. Then my gentleman
     threw up the trap, and he cried that I should drive right away to
     Waterloo Station as hard as I could go. I whipped up the mare and we
     were there under the ten minutes. Then he paid up his two guineas,
     like a good one, and away he went into the station. Only just as he
     was leaving he turned round and he said: 'It might interest you to
     know that you have been driving Mr. Sherlock Holmes.' That's how I
     come to know the name."
100,"But
     we had no trouble of any kind."
101,"It was imprudent, all the same,"
102,"I beg, Sir Henry, that you will not go about
     alone. Some great misfortune will befall you if you do. Did you get
     your other boot?"
103,Sir Henry put his hand upon my shoulder with a pleasant smile.
104,
105,"CHAPTER XII
          Death on the Moor


     For a moment or two I sat breathless, hardly able to believe my ears.
     Then my senses and my voice came back to me, while a crushing weight
     of responsibility seemed in an instant to be lifted from my soul.
     That cold, incisive, ironical voice could belong to but one man in
     all the world."
106,I cried--
107,
108,"said he,"
109,"I stooped under the rude lintel, and there he sat upon a stone
     outside, his gray eyes dancing with amusement as they fell upon my
     astonished features. He was thin and worn, but clear and alert, his
     keen face bronzed by the sun and roughened by the wind. In his tweed
     suit and cloth cap he looked like any other tourist upon the moor,
     and he had contrived, with that cat-like love of personal cleanliness
     which was one of his characteristics, that his chin should be as
     smooth and his linen as perfect as if he were in Baker Street."
110,"The last red streaks had faded away in the west and night had settled
     upon the moor. A few faint stars were gleaming in a violet sky."
111,"Again the agonized cry swept through the silent night, louder and
     much nearer than ever. And a new sound mingled with it, a deep,
     muttered rumble, musical and yet menacing, rising and falling like
     the low, constant murmur of the sea."
