number,quote
1,"I am afraid, Watson, that I shall have to go,"
2,Go! Where to?
3,"that the incised wound upon
     Straker may have been caused by his own knife in the convulsive
     struggles which follow any brain injury?"
4,"It is more than possible; it is probable,"
5,"In that
     case one of the main points in favor of the accused disappears."
6,"The Inspector here has done all that could possibly be
     suggested, but I wish to leave no stone unturned in trying to avenge
     poor Straker and in recovering my horse."
7,Have there been any fresh developments?
8,"I am sorry to say that we have made very little progress,"
9,"I think that I should prefer to stay here a little and go into one
     or two questions of detail. Straker was brought back here, I
     presume?"
10,"This is a very singular knife,"
11,"I presume, as I see blood-stains upon it,
     that it is the one which was found in the dead man's grasp. Watson,
     this knife is surely in your line?"
12,"Three of them are receipted hay-dealers' accounts. One of them is a
     letter of instructions from Colonel Ross. This other is a milliner's
     account for thirty-seven pounds fifteen made out by Madame Lesurier,
     of Bond Street, to William Derbyshire. Mrs. Straker tells us that
     Derbyshire was a friend of her husband's and that occasionally his
     letters were addressed here."
13,"Madam Derbyshire had somewhat expensive tastes,"
14,"Twenty-two guineas is rather heavy for a
     single costume. However there appears to be nothing more to learn,
     and we may now go down to the scene of the crime."
15,"Surely I met you in Plymouth at a garden-party some little time ago,
     Mrs. Straker?"
16,"No, sir; you are mistaken."
17,"Dear me! Why, I could have sworn to it. You wore a costume of
     dove-colored silk with ostrich-feather trimming."
18,"I never had such a dress, sir,"
19,"Ah, that quite settles it,"
20,"There was no wind that night, I understand,"
21,None; but very heavy rain.
22,"In that case the overcoat was not blown against the furze-bush, but
     placed there."
23,"I
     have examined the ground very carefully for a hundred yards in each
     direction."
24,Indeed!
25,"I should not have the impertinence to
     do it again after what you say. But I should like to take a little
     walk over the moor before it grows dark, that I may know my ground
     to-morrow, and I think that I shall put this horseshoe into my pocket
     for luck."
26,"There are several points on which I should like your advice, and
     especially as to whether we do not owe it to the public to remove our
     horse's name from the entries for the Cup."
27,"Certainly not,"
28,"I should let the name
     stand."
29,"See the value of imagination,"
30,"It is the one quality
     which Gregory lacks. We imagined what might have happened, acted upon
     the supposition, and find ourselves justified. Let us proceed."
31,"One for you, Watson,"
32,"You have
     saved us a long walk, which would have brought us back on our own
     traces. Let us follow the return track."
33,"We don't want any loiterers about here,"
34,"I only wished to ask a question,"
35,"Should I be too early to see your
     master, Mr. Silas Brown, if I were to call at five o'clock to-morrow
     morning?"
36,"No gossiping! Go about your
     business! And you, what the devil do you want here?"
37,"Ten minutes' talk with you, my good sir,"
38,"I've no time to talk to every gadabout. We want no stranger here. Be
     off, or you may find a dog at your heels."
39,"Your instructions will be done. It shall all be done,"
40,"There must be no mistake,"
41,"I shall write to you about it. No tricks, now, or--"
