number,quote
1,"My practice has extended recently to the Continent,"
2,"I was consulted
     last week by Francois Le Villard, who, as you probably know, has come
     rather to the front lately in the French detective service. He has
     all the Celtic power of quick intuition, but he is deficient in the
     wide range of exact knowledge which is essential to the higher
     developments of his art. The case was concerned with a will, and
     possessed some features of interest. I was able to refer him to two
     parallel cases, the one at Riga in 1857, and the other at St. Louis
     in 1871, which have suggested to him the true solution. Here is the
     letter which I had this morning acknowledging my assistance."
3,"He speaks as a pupil to his master,"
4,"Oh, he rates my assistance too highly,"
5,"He has considerable gifts himself. He possesses two out of
     the three qualities necessary for the ideal detective. He has the
     power of observation and that of deduction. He is only wanting in
     knowledge; and that may come in time. He is now translating my small
     works into French."
6,"I could not have believed
     that you would have descended to this. You have made inquires into
     the history of my unhappy brother, and you now pretend to deduce this
     knowledge in some fanciful way. You cannot expect me to believe that
     you have read all this from his old watch! It is unkind, and, to
     speak plainly, has a touch of charlatanism in it."
7,"because you once enabled
     my employer, Mrs. Cecil Forrester, to unravel a little domestic
     complication. She was much impressed by your kindness and skill."
8,The date?
9,"He disappeared upon the 3d of December, 1878,--nearly ten years
     ago."
10,"Only one that we know of,--Major Sholto, of his own regiment, the
     34th Bombay Infantry. The major had retired some little time before,
     and lived at Upper Norwood. We communicated with him, of course, but
     he did not even know that his brother officer was in England."
11,"A singular case,"
12,"I have not yet described to you the most singular part. About six
     years ago--to be exact, upon the 4th of May, 1882--an advertisement
     appeared in the Times asking for the address of Miss Mary Morstan and
     stating that it would be to her advantage to come forward. There was
     no name or address appended. I had at that time just entered the
     family of Mrs. Cecil Forrester in the capacity of governess. By her
     advice I published my address in the advertisement column. The same
     day there arrived through the post a small card-board box addressed
     to me, which I found to contain a very large and lustrous pearl. No
     word of writing was enclosed. Since then every year upon the same
     date there has always appeared a similar box, containing a similar
     pearl, without any clue as to the sender. They have been pronounced
     by an expert to be of a rare variety and of considerable value. You
     can see for yourselves that they are very handsome."
13,"Your statement is most interesting,"
14,"Has
     anything else occurred to you?"
15,"Yes, and no later than to-day. That is why I have come to you.  This
     morning I received this letter, which you will perhaps read for
     yourself."
16,"Thank you,"
17,"The envelope too, please. Postmark,
     London, S.W. Date, July 7. Hum! Man's thumb-mark on corner,--probably
     postman. Best quality paper. Envelopes at sixpence a packet.
     Particular man in his stationery. No address. 'Be at the third pillar
     from the left outside the Lyceum Theatre to-night at seven o'clock.
     If you are distrustful, bring two friends. You are a wronged woman,
     and shall have justice. Do not bring police. If you do, all will be
     in vain. Your unknown friend.' Well, really, this is a very pretty
     little mystery.  What do you intend to do, Miss Morstan?"
18,"I have led a retired life,
     and have no friends whom I could appeal to. If I am here at six it
     will do, I suppose?"
19,"You must not be later,"
20,"There is one other point,
     however. Is this handwriting the same as that upon the pearl-box
     addresses?"
21,"A man of business habits
     and some force of character."
22,"They
     hardly rise above the common herd. That d might be an a, and that l
     an e. Men of character always differentiate their long letters,
     however illegibly they may write. There is vacillation in his k's and
     self-esteem in his capitals. I am going out now. I have some few
     references to make. Let me recommend this book,--one of the most
     remarkable ever penned. It is Winwood Reade's Martyrdom of Man. I
     shall be back in an hour."
23,"There are difficulties; there are certainly difficulties,"
24,"But our expedition of to-night will
     solve them all. Ah, here is a four-wheeler, and Miss Morstan is
     inside. Are you all ready? Then we had better go down, for it is a
     little past the hour."
25,"Have you your stethoscope?
     Might I ask you--would you have the kindness? I have grave doubts as
     to my mitral valve, if you would be so very good. The aortic I may
     rely upon, but I should value your opinion upon the mitral."
26,"For my part,"
27,"whatever you may choose to say will go
     no further."
28,
29,
30,
31,
32,"He was, indeed, half
     blubbering with fear, and his twitching feeble face peeping out from
     the great Astrakhan collar had the helpless appealing expression of a
     terrified child."
33,pleaded Thaddeus Sholto.
34,"I stooped to the hole, and recoiled in horror. Moonlight was
     streaming into the room, and it was bright with a vague and shifty
     radiance. Looking straight at me, and suspended, as it were, in the
     air, for all beneath was in shadow, there hung a face,--the very face
     of our companion Thaddeus. There was the same high, shining head, the
     same circular bristle of red hair, the same bloodless countenance.
     The features were set, however, in a horrible smile, a fixed and
     unnatural grin, which in that still and moonlit room was more jarring
     to the nerves than any scowl or contortion. So like was the face to
     that of our little friend that I looked round at him to make sure
     that he was indeed with us. Then I recalled to mind that he had
     mentioned to us that his brother and he were twins."
35,
36,"he answered, and, springing against it, he
     put all his weight upon the lock. It creaked and groaned, but did not
     yield. Together we flung ourselves upon it once more, and this time
     it gave way with a sudden snap, and we found ourselves within
     Bartholomew Sholto's chamber.

     It appeared to have been fitted up as a chemical laboratory. A double
     line of glass-stoppered bottles was drawn up upon the wall opposite
     the door, and the table was littered over with Bunsen burners,
     test-tubes, and retorts. In the corners stood carboys of acid in
     wicker baskets. One of these appeared to leak or to have been broken,
     for a stream of dark-colored liquid had trickled out from it, and the
     air was heavy with a peculiarly pungent, tar-like odor. A set of
     steps stood at one side of the room, in the midst of a litter of lath
     and plaster, and above them there was an opening in the ceiling large
     enough for a man to pass through. At the foot of the steps a long
     coil of rope was thrown carelessly together.

     By the table, in a wooden arm-chair, the master of the house was
     seated all in a heap, with his head sunk upon his left shoulder, and
     that ghastly, inscrutable smile upon his face. He was stiff and cold,
     and had clearly been dead many hours. It seemed to me that not only
     his features but all his limbs were twisted and turned in the most
     fantastic fashion. By his hand upon the table there lay a peculiar
     instrument,--a brown, close-grained stick, with a stone head like a
     hammer, rudely lashed on with coarse twine. Beside it was a torn
     sheet of note-paper with some words scrawled upon it. Holmes glanced
     at it, and then handed it to me."
37,"He jerked his arms and stamped his feet in a kind of convulsive
     frenzy."
