number,quote
1,I am inclined to think--
2,"I should do so,"
3,"you are a little trying at
     times."
4,"I was about to say, as he is unknown to the public."
5,A touch! A distinct touch!
6,"You are developing a
     certain unexpected vein of pawky humour, Watson, against which I must
     learn to guard myself. But in calling Moriarty a criminal you are
     uttering libel in the eyes of the law--and there lie the glory and
     the wonder of it! The greatest schemer of all time, the organizer of
     every deviltry, the controlling brain of the underworld, a brain
     which might have made or marred the destiny of nations--that's the
     man! But so aloof is he from general suspicion, so immune from
     criticism, so admirable in his management and self-effacement, that
     for those very words that you have uttered he could hale you to a
     court and emerge with your year's pension as a solatium for his
     wounded character. Is he not the celebrated author of The Dynamics of
     an Asteroid, a book which ascends to such rarefied heights of pure
     mathematics that it is said that there was no man in the scientific
     press capable of criticizing it? Is this a man to traduce?
     Foul-mouthed doctor and slandered professor--such would be your
     respective roles! That's genius, Watson. But if I am spared by lesser
     men, our day will surely come."
7,"The same writing,"
8,"and
     actually signed,"
9,said I.
10,
11,said Holmes.
12,cried the inspector.
13,The inspector's eyes grew abstracted.
14,
15,
16,"Official requisition for your services is in separate envelope. This
     is for your private eye. Wire me what train in the morning you can
     get for Birlstone, and I will meet it--or have it met if I am too
     occupied. This case is a snorter. Don't waste a moment in getting
     started. If you can bring Mr. Holmes, please do so; for he will find
     something after his own heart. We would think the whole thing had
     been fixed up for theatrical effect if there wasn't a dead man in the
     middle of it. My word! it is a snorter."
17,"Your friend seems to be no fool,"
18,"No, sir, White Mason is a very live man, if I am any judge."
19,"most remarkable!
     I can hardly recall any case where the features have been more
     peculiar."
20,"We're well up with the times in Sussex. I've told you now
     how matters were, up to the time when I took over from Sergeant
     Wilson between three and four this morning. My word! I made the old
     mare go! But I need not have been in such a hurry, as it turned out;
     for there was nothing immediate that I could do. Sergeant Wilson had
     all the facts. I checked them and considered them and maybe added a
     few of my own."
21,What were they?
22,"Well, I first had the hammer examined. There was Dr. Wood there to
     help me. We found no signs of violence upon it. I was hoping that if
     Mr. Douglas defended himself with the hammer, he might have left his
     mark upon the murderer before he dropped it on the mat. But there was
     no stain."
23,"Quite so. It doesn't prove it wasn't used. But there might have been
     stains, and that would have helped us. As a matter of fact there were
     none. Then I examined the gun. They were buckshot cartridges, and, as
     Sergeant Wilson pointed out, the triggers were wired together so
     that, if you pulled on the hinder one, both barrels were discharged.
     Whoever fixed that up had made up his mind that he was going to take
     no chances of missing his man. The sawed gun was not more than two
     foot long--one could carry it easily under one's coat. There was no
     complete maker's name; but the printed letters P-E-N were on the
     fluting between the barrels, and the rest of the name had been cut
     off by the saw."
24,"A big P with a flourish above it, E and N smaller?"
25,Exactly.
26,"Pennsylvania Small Arms Company--well-known American firm,"
27,"I'm asking you to conseedar what it involves if you
     suppose that this gun was ever brought into the house, and that all
     these strange things were done by a person from outside. Oh, man,
     it's just inconceivable! It's clean against common sense! I put it to
     you, Mr. Holmes, judging it by what we have heard."
28,"Well, state your case, Mr. Mac,"
